artist_name;song_title
Frank Sinatra;(Ah, The Apple Trees) When The World Was Young
Frank Sinatra;(I Don't Stand) A Ghost Of A Chance With You
Frank Sinatra;(Love Is) The Tender Trap
Frank Sinatra;(On The Island Of) Stromboli
Frank Sinatra;A Baby Just Like You
Frank Sinatra;A Cottage For Sale
Frank Sinatra;A Day In The Life Of A Fool
Frank Sinatra;A Fine Romance
Frank Sinatra;A Foggy Day
Frank Sinatra;A Garden In The Rain
Frank Sinatra;A Hundred Years From Today
Frank Sinatra;A Long Night
Frank Sinatra;A Man Alone
Frank Sinatra;A Man Alone (Reprise)
Frank Sinatra;A Million Dreams Ago
Frank Sinatra;A Nightingale Sang In Berkeley Square
Frank Sinatra;A Sinner Kissed An Angel
Frank Sinatra;Accidents Will Happen
Frank Sinatra;After You've Gone
Frank Sinatra;Ain't She Sweet
Frank Sinatra;All Alone
Frank Sinatra;All I Need Is The Girl
Frank Sinatra;All My Tomorrows
Frank Sinatra;All Of Me
Frank Sinatra;All Of You
Frank Sinatra;All Or Nothing At All
Frank Sinatra;All The Things You Are
Frank Sinatra;All The Way
Frank Sinatra;All The Way Home
Frank Sinatra;Almost Like Being In Love
Frank Sinatra;Always
Frank Sinatra;America The Beautiful
Frank Sinatra;American Beauty Rose
Frank Sinatra;An Old-Fashioned Christmas
Frank Sinatra;Angel Eyes
Frank Sinatra;Any Time At All
Frank Sinatra;Anything Goes
Frank Sinatra;Anytime (I'll Be There)
Frank Sinatra;Anytime-Anywhere
Frank Sinatra;April In Paris
Frank Sinatra;Are You Lonesome Tonight?
Frank Sinatra;Around The World
Frank Sinatra;As Time Goes By
Frank Sinatra;As You Desire Me
Frank Sinatra;At Long Last Love
Frank Sinatra;Autumn In New York
Frank Sinatra;Autumn Leaves
Frank Sinatra;Available
Frank Sinatra;Baby It's Cold Outside
Frank Sinatra;Baby, Won't You Please Come Home
Frank Sinatra;Bad, Bad Leroy Brown
Frank Sinatra;Bali Ha'i
Frank Sinatra;Bang Bang (My Baby Shot Me Down)
Frank Sinatra;Barbara
Frank Sinatra;Baubles, Bangles And Beads
Frank Sinatra;Be Careful, It's My Heart
Frank Sinatra;Bein' Green
