artist_name;song_title;token
50 cent;AYO Technology;somethin'
50 cent;AYO Technology;special
50 cent;AYO Technology;unforgettable
50 cent;AYO Technology;50
50 cent;AYO Technology;cent
50 cent;AYO Technology;cent
50 cent;AYO Technology;justin
50 cent;AYO Technology;'tin
50 cent;AYO Technology;timbaland
50 cent;AYO Technology;'land
50 cent;AYO Technology;goddamn
50 cent;AYO Technology;damn
50 cent;AYO Technology;she
50 cent;AYO Technology;she
50 cent;AYO Technology;she
50 cent;AYO Technology;want
50 cent;AYO Technology;it
50 cent;AYO Technology;i
50 cent;AYO Technology;wanna
50 cent;AYO Technology;give
50 cent;AYO Technology;it
50 cent;AYO Technology;to
50 cent;AYO Technology;her
50 cent;AYO Technology;she
50 cent;AYO Technology;know
50 cent;AYO Technology;that
50 cent;AYO Technology;it
50 cent;AYO Technology;right
50 cent;AYO Technology;here
50 cent;AYO Technology;for
50 cent;AYO Technology;her
50 cent;AYO Technology;i
50 cent;AYO Technology;wanna
50 cent;AYO Technology;see
50 cent;AYO Technology;her
50 cent;AYO Technology;break
50 cent;AYO Technology;it
50 cent;AYO Technology;down
50 cent;AYO Technology;i'm
50 cent;AYO Technology;ballin'
50 cent;AYO Technology;throwing
50 cent;AYO Technology;money
50 cent;AYO Technology;around
50 cent;AYO Technology;she
50 cent;AYO Technology;a
50 cent;AYO Technology;working
50 cent;AYO Technology;girl
50 cent;AYO Technology;she
50 cent;AYO Technology;work
50 cent;AYO Technology;the
50 cent;AYO Technology;pole
50 cent;AYO Technology;she
50 cent;AYO Technology;break
50 cent;AYO Technology;it
50 cent;AYO Technology;down
50 cent;AYO Technology;she
50 cent;AYO Technology;take
50 cent;AYO Technology;it
50 cent;AYO Technology;low
50 cent;AYO Technology;somethin'
50 cent;AYO Technology;special
50 cent;AYO Technology;unforgettable
50 cent;AYO Technology;50
50 cent;AYO Technology;cent
50 cent;AYO Technology;cent
50 cent;AYO Technology;justin
50 cent;AYO Technology;'tin
50 cent;AYO Technology;timbaland
50 cent;AYO Technology;'land
50 cent;AYO Technology;goddamn
50 cent;AYO Technology;damn
50 cent;AYO Technology;she
50 cent;AYO Technology;she
50 cent;AYO Technology;she
50 cent;AYO Technology;want
50 cent;AYO Technology;it
50 cent;AYO Technology;i
50 cent;AYO Technology;wanna
50 cent;AYO Technology;give
50 cent;AYO Technology;it
50 cent;AYO Technology;to
50 cent;AYO Technology;her
50 cent;AYO Technology;she
50 cent;AYO Technology;know
50 cent;AYO Technology;that
50 cent;AYO Technology;it
50 cent;AYO Technology;right
50 cent;AYO Technology;here
50 cent;AYO Technology;for
50 cent;AYO Technology;her
50 cent;AYO Technology;i
50 cent;AYO Technology;wanna
50 cent;AYO Technology;see
50 cent;AYO Technology;her
50 cent;AYO Technology;break
50 cent;AYO Technology;it
50 cent;AYO Technology;down
50 cent;AYO Technology;i'm
50 cent;AYO Technology;ballin'
50 cent;AYO Technology;throwing
50 cent;AYO Technology;money
50 cent;AYO Technology;around
50 cent;AYO Technology;she
50 cent;AYO Technology;a
50 cent;AYO Technology;working
50 cent;AYO Technology;girl
50 cent;AYO Technology;she
50 cent;AYO Technology;work
50 cent;AYO Technology;the
50 cent;AYO Technology;pole
50 cent;AYO Technology;she
50 cent;AYO Technology;break
50 cent;AYO Technology;it
50 cent;AYO Technology;down
50 cent;AYO Technology;she
50 cent;AYO Technology;take
50 cent;AYO Technology;it
50 cent;AYO Technology;low
50 cent;AYO Technology;she
50 cent;AYO Technology;fine
50 cent;AYO Technology;as
50 cent;AYO Technology;hell
50 cent;AYO Technology;she
50 cent;AYO Technology;'bout
50 cent;AYO Technology;the
50 cent;AYO Technology;dough
50 cent;AYO Technology;she
50 cent;AYO Technology;doing
50 cent;AYO Technology;her
50 cent;AYO Technology;thing
50 cent;AYO Technology;out
50 cent;AYO Technology;on
50 cent;AYO Technology;the
50 cent;AYO Technology;floor
50 cent;AYO Technology;her
50 cent;AYO Technology;money
50 cent;AYO Technology;money
50 cent;AYO Technology;she
50 cent;AYO Technology;make
50 cent;AYO Technology;it
50 cent;AYO Technology;make
50 cent;AYO Technology;it
50 cent;AYO Technology;look
50 cent;AYO Technology;at
50 cent;AYO Technology;the
50 cent;AYO Technology;way
50 cent;AYO Technology;she
50 cent;AYO Technology;shake
50 cent;AYO Technology;it
50 cent;AYO Technology;shake
50 cent;AYO Technology;it
50 cent;AYO Technology;make
50 cent;AYO Technology;you
50 cent;AYO Technology;wan'
50 cent;AYO Technology;touch
50 cent;AYO Technology;it
50 cent;AYO Technology;make
50 cent;AYO Technology;you
50 cent;AYO Technology;wan'
50 cent;AYO Technology;taste
50 cent;AYO Technology;it
50 cent;AYO Technology;have
50 cent;AYO Technology;you
50 cent;AYO Technology;lustin'
50 cent;AYO Technology;for
50 cent;AYO Technology;it
50 cent;AYO Technology;going
50 cent;AYO Technology;crazy
50 cent;AYO Technology;face
50 cent;AYO Technology;it
50 cent;AYO Technology;now
50 cent;AYO Technology;don't
50 cent;AYO Technology;stop
50 cent;AYO Technology;get
50 cent;AYO Technology;it
50 cent;AYO Technology;get
50 cent;AYO Technology;it
50 cent;AYO Technology;the
