artist_name;song_title;token
50 cent;Ching Ching Ching;frumoasa
50 cent;Ching Ching Ching;esti
50 cent;Ching Ching Ching;iubita
50 cent;Ching Ching Ching;mea
50 cent;Ching Ching Ching;la
50 cent;Ching Ching Ching;ceas
50 cent;Ching Ching Ching;tarziu
50 cent;Ching Ching Ching;in
50 cent;Ching Ching Ching;noapte
50 cent;Ching Ching Ching;tu
50 cent;Ching Ching Ching;stralucesti
50 cent;Ching Ching Ching;in
50 cent;Ching Ching Ching;viata
50 cent;Ching Ching Ching;mea
50 cent;Ching Ching Ching;te
50 cent;Ching Ching Ching;rog
50 cent;Ching Ching Ching;asculta-mi
50 cent;Ching Ching Ching;inima
50 cent;Ching Ching Ching;priveste-ma
50 cent;Ching Ching Ching;si
50 cent;Ching Ching Ching;nu
50 cent;Ching Ching Ching;pleca
50 cent;Ching Ching Ching;ramai
50 cent;Ching Ching Ching;te
50 cent;Ching Ching Ching;rog
50 cent;Ching Ching Ching;in
50 cent;Ching Ching Ching;viata
50 cent;Ching Ching Ching;mea
50 cent;Ching Ching Ching;cand
50 cent;Ching Ching Ching;vine
50 cent;Ching Ching Ching;noaptea
50 cent;Ching Ching Ching;eu
50 cent;Ching Ching Ching;adorm
50 cent;Ching Ching Ching;cu
50 cent;Ching Ching Ching;gandul
50 cent;Ching Ching Ching;iar
50 cent;Ching Ching Ching;la
50 cent;Ching Ching Ching;tine
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;vii
50 cent;Ching Ching Ching;din
50 cent;Ching Ching Ching;nou
50 cent;Ching Ching Ching;in
50 cent;Ching Ching Ching;visul
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;vii
50 cent;Ching Ching Ching;inapoi
50 cent;Ching Ching Ching;la
50 cent;Ching Ching Ching;mine
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;te
50 cent;Ching Ching Ching;opresc
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;ma
50 cent;Ching Ching Ching;trezesc
50 cent;Ching Ching Ching;si
50 cent;Ching Ching Ching;tu
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;fii
50 cent;Ching Ching Ching;cu
50 cent;Ching Ching Ching;mine
50 cent;Ching Ching Ching;frumoasa
50 cent;Ching Ching Ching;esti
50 cent;Ching Ching Ching;iubita
50 cent;Ching Ching Ching;mea
50 cent;Ching Ching Ching;la
50 cent;Ching Ching Ching;ceas
50 cent;Ching Ching Ching;tarziu
50 cent;Ching Ching Ching;in
50 cent;Ching Ching Ching;noapte
50 cent;Ching Ching Ching;tu
50 cent;Ching Ching Ching;stralucesti
50 cent;Ching Ching Ching;in
50 cent;Ching Ching Ching;viata
50 cent;Ching Ching Ching;mea
50 cent;Ching Ching Ching;te
50 cent;Ching Ching Ching;rog
50 cent;Ching Ching Ching;asculta-mi
50 cent;Ching Ching Ching;inima
50 cent;Ching Ching Ching;priveste-ma
50 cent;Ching Ching Ching;si
50 cent;Ching Ching Ching;nu
50 cent;Ching Ching Ching;pleca
50 cent;Ching Ching Ching;ramai
50 cent;Ching Ching Ching;te
50 cent;Ching Ching Ching;rog
50 cent;Ching Ching Ching;in
50 cent;Ching Ching Ching;viata
50 cent;Ching Ching Ching;mea
50 cent;Ching Ching Ching;cand
50 cent;Ching Ching Ching;vine
50 cent;Ching Ching Ching;noaptea
50 cent;Ching Ching Ching;eu
50 cent;Ching Ching Ching;adorm
50 cent;Ching Ching Ching;cu
50 cent;Ching Ching Ching;gandul
50 cent;Ching Ching Ching;iar
50 cent;Ching Ching Ching;la
50 cent;Ching Ching Ching;tine
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;vii
50 cent;Ching Ching Ching;din
50 cent;Ching Ching Ching;nou
50 cent;Ching Ching Ching;in
50 cent;Ching Ching Ching;visul
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;vii
50 cent;Ching Ching Ching;inapoi
50 cent;Ching Ching Ching;la
50 cent;Ching Ching Ching;mine
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;te
50 cent;Ching Ching Ching;opresc
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;ma
50 cent;Ching Ching Ching;trezesc
50 cent;Ching Ching Ching;si
50 cent;Ching Ching Ching;tu
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;fii
50 cent;Ching Ching Ching;cu
50 cent;Ching Ching Ching;mine
50 cent;Ching Ching Ching;frumoasa
50 cent;Ching Ching Ching;mea
50 cent;Ching Ching Ching;in
50 cent;Ching Ching Ching;noaptea
50 cent;Ching Ching Ching;asta
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;ne
50 cent;Ching Ching Ching;iubim
50 cent;Ching Ching Ching;ca
50 cent;Ching Ching Ching;doi
50 cent;Ching Ching Ching;nebuni
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;fiu
50 cent;Ching Ching Ching;altarul
50 cent;Ching Ching Ching;vietii
50 cent;Ching Ching Ching;tale
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;fiu
50 cent;Ching Ching Ching;iubitul
50 cent;Ching Ching Ching;tau
50 cent;Ching Ching Ching;dintai
50 cent;Ching Ching Ching;frumoasa
50 cent;Ching Ching Ching;mea
50 cent;Ching Ching Ching;in
50 cent;Ching Ching Ching;noaptea
50 cent;Ching Ching Ching;asta
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;ne
50 cent;Ching Ching Ching;iubim
50 cent;Ching Ching Ching;ca
50 cent;Ching Ching Ching;doi
50 cent;Ching Ching Ching;nebuni
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;fiu
50 cent;Ching Ching Ching;altarul
50 cent;Ching Ching Ching;vietii
50 cent;Ching Ching Ching;tale
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;fiu
50 cent;Ching Ching Ching;iubitul
50 cent;Ching Ching Ching;tau
50 cent;Ching Ching Ching;dintai
50 cent;Ching Ching Ching;as
50 cent;Ching Ching Ching;vrea
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;pot
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;te
50 cent;Ching Ching Ching;opresc
50 cent;Ching Ching Ching;dar
50 cent;Ching Ching Ching;vraja
50 cent;Ching Ching Ching;ta
50 cent;Ching Ching Ching;se
50 cent;Ching Ching Ching;stinge
50 cent;Ching Ching Ching;as
50 cent;Ching Ching Ching;vrea
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;pot
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;te
50 cent;Ching Ching Ching;opresc
50 cent;Ching Ching Ching;dar
50 cent;Ching Ching Ching;vraja
50 cent;Ching Ching Ching;ta
50 cent;Ching Ching Ching;se
50 cent;Ching Ching Ching;stinge
50 cent;Ching Ching Ching;ce
50 cent;Ching Ching Ching;mult
50 cent;Ching Ching Ching;as
50 cent;Ching Ching Ching;vrea
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;te-ntalnesc
50 cent;Ching Ching Ching;cand
50 cent;Ching Ching Ching;soarele
50 cent;Ching Ching Ching;apare
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;fim
50 cent;Ching Ching Ching;doar
50 cent;Ching Ching Ching;doar
50 cent;Ching Ching Ching;noi
50 cent;Ching Ching Ching;doi
50 cent;Ching Ching Ching;pe
50 cent;Ching Ching Ching;pamant
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;ne
50 cent;Ching Ching Ching;iubim
50 cent;Ching Ching Ching;in
50 cent;Ching Ching Ching;mare
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;fim
50 cent;Ching Ching Ching;doar
50 cent;Ching Ching Ching;noi
50 cent;Ching Ching Ching;doi
50 cent;Ching Ching Ching;tu
50 cent;Ching Ching Ching;si
50 cent;Ching Ching Ching;eu
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;ne
50 cent;Ching Ching Ching;iubim
50 cent;Ching Ching Ching;in
50 cent;Ching Ching Ching;mare
50 cent;Ching Ching Ching;frumoasa
50 cent;Ching Ching Ching;mea
50 cent;Ching Ching Ching;in
50 cent;Ching Ching Ching;noaptea
50 cent;Ching Ching Ching;asta
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;ne
50 cent;Ching Ching Ching;iubim
50 cent;Ching Ching Ching;ca
50 cent;Ching Ching Ching;doi
50 cent;Ching Ching Ching;nebuni
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;fiu
50 cent;Ching Ching Ching;altarul
50 cent;Ching Ching Ching;vietii
50 cent;Ching Ching Ching;tale
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;fiu
50 cent;Ching Ching Ching;iubitul
50 cent;Ching Ching Ching;tau
50 cent;Ching Ching Ching;dintai
50 cent;Ching Ching Ching;frumoasa
50 cent;Ching Ching Ching;mea
50 cent;Ching Ching Ching;in
50 cent;Ching Ching Ching;noaptea
50 cent;Ching Ching Ching;asta
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;ne
50 cent;Ching Ching Ching;iubim
50 cent;Ching Ching Ching;ca
50 cent;Ching Ching Ching;doi
50 cent;Ching Ching Ching;nebuni
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;fiu
50 cent;Ching Ching Ching;altarul
50 cent;Ching Ching Ching;vietii
50 cent;Ching Ching Ching;tale
50 cent;Ching Ching Ching;sa
50 cent;Ching Ching Ching;fiu
50 cent;Ching Ching Ching;iubitul
50 cent;Ching Ching Ching;tau
50 cent;Ching Ching Ching;dintai
