artist_name;song_title;token
50 cent;Material Girl 2000;if
50 cent;Material Girl 2000;a
50 cent;Material Girl 2000;bitch
50 cent;Material Girl 2000;don't
50 cent;Material Girl 2000;like
50 cent;Material Girl 2000;me
50 cent;Material Girl 2000;somethin'
50 cent;Material Girl 2000;wrong
50 cent;Material Girl 2000;with
50 cent;Material Girl 2000;the
50 cent;Material Girl 2000;bitch
50 cent;Material Girl 2000;fuck
50 cent;Material Girl 2000;that
50 cent;Material Girl 2000;bitch
50 cent;Material Girl 2000;why
50 cent;Material Girl 2000;oh
50 cent;Material Girl 2000;why
50 cent;Material Girl 2000;why
50 cent;Material Girl 2000;you
50 cent;Material Girl 2000;want
50 cent;Material Girl 2000;to
50 cent;Material Girl 2000;fuck
50 cent;Material Girl 2000;with
50 cent;Material Girl 2000;me
50 cent;Material Girl 2000;now
50 cent;Material Girl 2000;yo
50 cent;Material Girl 2000;dave
50 cent;Material Girl 2000;that
50 cent;Material Girl 2000;shit
50 cent;Material Girl 2000;come
50 cent;Material Girl 2000;with
50 cent;Material Girl 2000;the
50 cent;Material Girl 2000;game
50 cent;Material Girl 2000;baby
50 cent;Material Girl 2000;the
50 cent;Material Girl 2000;money
50 cent;Material Girl 2000;you
50 cent;Material Girl 2000;know
50 cent;Material Girl 2000;that
50 cent;Material Girl 2000;how
50 cent;Material Girl 2000;the
50 cent;Material Girl 2000;shit
50 cent;Material Girl 2000;work
50 cent;Material Girl 2000;you
50 cent;Material Girl 2000;know
50 cent;Material Girl 2000;what
50 cent;Material Girl 2000;i'm
50 cent;Material Girl 2000;sayin'
50 cent;Material Girl 2000;they
50 cent;Material Girl 2000;supposed
50 cent;Material Girl 2000;to
50 cent;Material Girl 2000;love
50 cent;Material Girl 2000;me
50 cent;Material Girl 2000;now
50 cent;Material Girl 2000;baby
50 cent;Material Girl 2000;i'm
50 cent;Material Girl 2000;doin'
50 cent;Material Girl 2000;it
50 cent;Material Girl 2000;now
50 cent;Material Girl 2000;baby
50 cent;Material Girl 2000;hahahaha
50 cent;Material Girl 2000;if
50 cent;Material Girl 2000;a
50 cent;Material Girl 2000;bitch
50 cent;Material Girl 2000;don't
50 cent;Material Girl 2000;like
50 cent;Material Girl 2000;me
50 cent;Material Girl 2000;somethin'
50 cent;Material Girl 2000;wrong
50 cent;Material Girl 2000;with
50 cent;Material Girl 2000;the
50 cent;Material Girl 2000;bitch
