artist_name;song_title;token
Accept;Carry The Weight;take
Accept;Carry The Weight;the
Accept;Carry The Weight;heat
Accept;Carry The Weight;stand
Accept;Carry The Weight;the
Accept;Carry The Weight;pressure
Accept;Carry The Weight;bearing
Accept;Carry The Weight;a
Accept;Carry The Weight;load
Accept;Carry The Weight;beyond
Accept;Carry The Weight;measure
Accept;Carry The Weight;hold
Accept;Carry The Weight;fast
Accept;Carry The Weight;and
Accept;Carry The Weight;fight
Accept;Carry The Weight;with
Accept;Carry The Weight;fire
Accept;Carry The Weight;always
Accept;Carry The Weight;walking
Accept;Carry The Weight;the
Accept;Carry The Weight;wire
Accept;Carry The Weight;wake
Accept;Carry The Weight;up
Accept;Carry The Weight;that
Accept;Carry The Weight;not
Accept;Carry The Weight;the
Accept;Carry The Weight;answer
Accept;Carry The Weight;it
Accept;Carry The Weight;eats
Accept;Carry The Weight;at
Accept;Carry The Weight;your
Accept;Carry The Weight;ilfe
Accept;Carry The Weight;like
Accept;Carry The Weight;a
Accept;Carry The Weight;cancer
Accept;Carry The Weight;you
Accept;Carry The Weight;want
Accept;Carry The Weight;it
Accept;Carry The Weight;all
Accept;Carry The Weight;can't
Accept;Carry The Weight;fight
Accept;Carry The Weight;the
Accept;Carry The Weight;feeling
Accept;Carry The Weight;you'll
Accept;Carry The Weight;never
Accept;Carry The Weight;win
Accept;Carry The Weight;'cause
Accept;Carry The Weight;the
Accept;Carry The Weight;devil
Accept;Carry The Weight;dealing
Accept;Carry The Weight;take
Accept;Carry The Weight;the
Accept;Carry The Weight;heat
Accept;Carry The Weight;stand
Accept;Carry The Weight;the
Accept;Carry The Weight;pressure
Accept;Carry The Weight;bearing
Accept;Carry The Weight;a
Accept;Carry The Weight;load
Accept;Carry The Weight;beyond
Accept;Carry The Weight;measure
Accept;Carry The Weight;hold
Accept;Carry The Weight;fast
Accept;Carry The Weight;and
Accept;Carry The Weight;fight
Accept;Carry The Weight;with
Accept;Carry The Weight;fire
Accept;Carry The Weight;always
Accept;Carry The Weight;walking
Accept;Carry The Weight;the
Accept;Carry The Weight;wire
Accept;Carry The Weight;wake
Accept;Carry The Weight;up
Accept;Carry The Weight;that
Accept;Carry The Weight;not
Accept;Carry The Weight;the
Accept;Carry The Weight;answer
Accept;Carry The Weight;it
Accept;Carry The Weight;eats
Accept;Carry The Weight;at
Accept;Carry The Weight;your
Accept;Carry The Weight;ilfe
Accept;Carry The Weight;like
Accept;Carry The Weight;a
Accept;Carry The Weight;cancer
Accept;Carry The Weight;you
Accept;Carry The Weight;want
Accept;Carry The Weight;it
Accept;Carry The Weight;all
Accept;Carry The Weight;can't
Accept;Carry The Weight;fight
Accept;Carry The Weight;the
Accept;Carry The Weight;feeling
Accept;Carry The Weight;you'll
Accept;Carry The Weight;never
Accept;Carry The Weight;win
Accept;Carry The Weight;'cause
Accept;Carry The Weight;the
Accept;Carry The Weight;devil
Accept;Carry The Weight;dealing
Accept;Carry The Weight;don't
Accept;Carry The Weight;let
Accept;Carry The Weight;it
Accept;Carry The Weight;control
Accept;Carry The Weight;you
Accept;Carry The Weight;it
Accept;Carry The Weight;dragging
Accept;Carry The Weight;you
Accept;Carry The Weight;down
Accept;Carry The Weight;can't
Accept;Carry The Weight;let
Accept;Carry The Weight;them
Accept;Carry The Weight;control
Accept;Carry The Weight;you
Accept;Carry The Weight;don't
Accept;Carry The Weight;carry
Accept;Carry The Weight;the
Accept;Carry The Weight;weight
Accept;Carry The Weight;of
Accept;Carry The Weight;the
Accept;Carry The Weight;world
Accept;Carry The Weight;on
Accept;Carry The Weight;you
Accept;Carry The Weight;shoulders
Accept;Carry The Weight;carry
Accept;Carry The Weight;the
Accept;Carry The Weight;weight
Accept;Carry The Weight;of
Accept;Carry The Weight;the
Accept;Carry The Weight;world
Accept;Carry The Weight;all
Accept;Carry The Weight;alone
Accept;Carry The Weight;don't
Accept;Carry The Weight;carry
Accept;Carry The Weight;the
Accept;Carry The Weight;weight
Accept;Carry The Weight;of
Accept;Carry The Weight;the
Accept;Carry The Weight;world
Accept;Carry The Weight;on
Accept;Carry The Weight;you
Accept;Carry The Weight;shoulders
Accept;Carry The Weight;don't
Accept;Carry The Weight;carry
Accept;Carry The Weight;that
Accept;Carry The Weight;weight
Accept;Carry The Weight;it
Accept;Carry The Weight;will
Accept;Carry The Weight;turn
Accept;Carry The Weight;your
Accept;Carry The Weight;heart
Accept;Carry The Weight;to
Accept;Carry The Weight;stone
Accept;Carry The Weight;on
Accept;Carry The Weight;the
Accept;Carry The Weight;news
Accept;Carry The Weight;another
Accept;Carry The Weight;bombing
