artist_name;song_title;token
Accept;Making Me Scream;full
Accept;Making Me Scream;moon
Accept;Making Me Scream;in
Accept;Making Me Scream;the
Accept;Making Me Scream;sky
Accept;Making Me Scream;is
Accept;Making Me Scream;like
Accept;Making Me Scream;an
Accept;Making Me Scream;enemy
Accept;Making Me Scream;i
Accept;Making Me Scream;feel
Accept;Making Me Scream;like
Accept;Making Me Scream;everybody
Accept;Making Me Scream;is
Accept;Making Me Scream;going
Accept;Making Me Scream;to
Accept;Making Me Scream;walk
Accept;Making Me Scream;all
Accept;Making Me Scream;over
Accept;Making Me Scream;me
Accept;Making Me Scream;a
Accept;Making Me Scream;never-ending
Accept;Making Me Scream;fall
Accept;Making Me Scream;i
Accept;Making Me Scream;can't
Accept;Making Me Scream;believe
Accept;Making Me Scream;it
Accept;Making Me Scream;real
Accept;Making Me Scream;rolling
Accept;Making Me Scream;down
Accept;Making Me Scream;a
Accept;Making Me Scream;hill
Accept;Making Me Scream;tumbling
Accept;Making Me Scream;like
Accept;Making Me Scream;a
Accept;Making Me Scream;broken
Accept;Making Me Scream;wheel
Accept;Making Me Scream;i'm
Accept;Making Me Scream;caught
Accept;Making Me Scream;in
Accept;Making Me Scream;a
Accept;Making Me Scream;dream
Accept;Making Me Scream;don't
Accept;Making Me Scream;know
Accept;Making Me Scream;where
Accept;Making Me Scream;i've
Accept;Making Me Scream;been
Accept;Making Me Scream;way
Accept;Making Me Scream;too
Accept;Making Me Scream;extrame
Accept;Making Me Scream;it
Accept;Making Me Scream;making
Accept;Making Me Scream;me
Accept;Making Me Scream;scream
Accept;Making Me Scream;climbin'
Accept;Making Me Scream;up
Accept;Making Me Scream;a
Accept;Making Me Scream;mountain
Accept;Making Me Scream;full
Accept;Making Me Scream;moon
Accept;Making Me Scream;in
Accept;Making Me Scream;the
Accept;Making Me Scream;sky
Accept;Making Me Scream;is
Accept;Making Me Scream;like
Accept;Making Me Scream;an
Accept;Making Me Scream;enemy
Accept;Making Me Scream;i
Accept;Making Me Scream;feel
Accept;Making Me Scream;like
Accept;Making Me Scream;everybody
Accept;Making Me Scream;is
Accept;Making Me Scream;going
Accept;Making Me Scream;to
Accept;Making Me Scream;walk
Accept;Making Me Scream;all
Accept;Making Me Scream;over
Accept;Making Me Scream;me
Accept;Making Me Scream;a
Accept;Making Me Scream;never-ending
Accept;Making Me Scream;fall
Accept;Making Me Scream;i
Accept;Making Me Scream;can't
Accept;Making Me Scream;believe
Accept;Making Me Scream;it
Accept;Making Me Scream;real
Accept;Making Me Scream;rolling
Accept;Making Me Scream;down
Accept;Making Me Scream;a
Accept;Making Me Scream;hill
Accept;Making Me Scream;tumbling
Accept;Making Me Scream;like
Accept;Making Me Scream;a
Accept;Making Me Scream;broken
Accept;Making Me Scream;wheel
Accept;Making Me Scream;i'm
Accept;Making Me Scream;caught
Accept;Making Me Scream;in
Accept;Making Me Scream;a
Accept;Making Me Scream;dream
Accept;Making Me Scream;don't
Accept;Making Me Scream;know
Accept;Making Me Scream;where
Accept;Making Me Scream;i've
Accept;Making Me Scream;been
Accept;Making Me Scream;way
Accept;Making Me Scream;too
Accept;Making Me Scream;extrame
Accept;Making Me Scream;it
Accept;Making Me Scream;making
Accept;Making Me Scream;me
Accept;Making Me Scream;scream
Accept;Making Me Scream;climbin'
Accept;Making Me Scream;up
Accept;Making Me Scream;a
Accept;Making Me Scream;mountain
Accept;Making Me Scream;never
Accept;Making Me Scream;getting
Accept;Making Me Scream;to
Accept;Making Me Scream;the
Accept;Making Me Scream;top
Accept;Making Me Scream;walking
Accept;Making Me Scream;on
Accept;Making Me Scream;the
Accept;Making Me Scream;edge
Accept;Making Me Scream;i
Accept;Making Me Scream;fight
Accept;Making Me Scream;to
Accept;Making Me Scream;wake
Accept;Making Me Scream;up
Accept;Making Me Scream;i'm
Accept;Making Me Scream;caught
Accept;Making Me Scream;in
Accept;Making Me Scream;a
Accept;Making Me Scream;draam
Accept;Making Me Scream;don't
Accept;Making Me Scream;know
Accept;Making Me Scream;where
Accept;Making Me Scream;i've
Accept;Making Me Scream;been
Accept;Making Me Scream;way
Accept;Making Me Scream;too
Accept;Making Me Scream;extreme
Accept;Making Me Scream;it
Accept;Making Me Scream;making
Accept;Making Me Scream;me
Accept;Making Me Scream;scream
