artist_name;song_title;token
Accept;Sodom And Gomorra;ever
Accept;Sodom And Gomorra;since
Accept;Sodom And Gomorra;the
Accept;Sodom And Gomorra;stone-age
Accept;Sodom And Gomorra;man
Accept;Sodom And Gomorra;been
Accept;Sodom And Gomorra;on
Accept;Sodom And Gomorra;the
Accept;Sodom And Gomorra;hunt
Accept;Sodom And Gomorra;we
Accept;Sodom And Gomorra;were
Accept;Sodom And Gomorra;born
Accept;Sodom And Gomorra;to
Accept;Sodom And Gomorra;kill
Accept;Sodom And Gomorra;fighting
Accept;Sodom And Gomorra;for
Accept;Sodom And Gomorra;survival
Accept;Sodom And Gomorra;all
Accept;Sodom And Gomorra;in
Accept;Sodom And Gomorra;self-defense
Accept;Sodom And Gomorra;it
Accept;Sodom And Gomorra;was
Accept;Sodom And Gomorra;do
Accept;Sodom And Gomorra;or
Accept;Sodom And Gomorra;die
Accept;Sodom And Gomorra;now
Accept;Sodom And Gomorra;we're
Accept;Sodom And Gomorra;living
Accept;Sodom And Gomorra;in
Accept;Sodom And Gomorra;jungles
Accept;Sodom And Gomorra;the
Accept;Sodom And Gomorra;concrete
Accept;Sodom And Gomorra;age
Accept;Sodom And Gomorra;a
Accept;Sodom And Gomorra;maximum
Accept;Sodom And Gomorra;overdose
Accept;Sodom And Gomorra;of
Accept;Sodom And Gomorra;pleasure
Accept;Sodom And Gomorra;and
Accept;Sodom And Gomorra;pain
Accept;Sodom And Gomorra;self-inflicted
Accept;Sodom And Gomorra;life
Accept;Sodom And Gomorra;corrupting
Accept;Sodom And Gomorra;antisocial
Accept;Sodom And Gomorra;controversial
Accept;Sodom And Gomorra;living
Accept;Sodom And Gomorra;in
Accept;Sodom And Gomorra;sin
Accept;Sodom And Gomorra;sodom
Accept;Sodom And Gomorra;and
Accept;Sodom And Gomorra;gomorra
Accept;Sodom And Gomorra;ever
Accept;Sodom And Gomorra;since
Accept;Sodom And Gomorra;the
Accept;Sodom And Gomorra;stone-age
Accept;Sodom And Gomorra;man
Accept;Sodom And Gomorra;been
Accept;Sodom And Gomorra;on
Accept;Sodom And Gomorra;the
Accept;Sodom And Gomorra;hunt
Accept;Sodom And Gomorra;we
Accept;Sodom And Gomorra;were
Accept;Sodom And Gomorra;born
Accept;Sodom And Gomorra;to
Accept;Sodom And Gomorra;kill
Accept;Sodom And Gomorra;fighting
Accept;Sodom And Gomorra;for
Accept;Sodom And Gomorra;survival
Accept;Sodom And Gomorra;all
Accept;Sodom And Gomorra;in
Accept;Sodom And Gomorra;self-defense
Accept;Sodom And Gomorra;it
Accept;Sodom And Gomorra;was
Accept;Sodom And Gomorra;do
Accept;Sodom And Gomorra;or
Accept;Sodom And Gomorra;die
Accept;Sodom And Gomorra;now
Accept;Sodom And Gomorra;we're
Accept;Sodom And Gomorra;living
Accept;Sodom And Gomorra;in
Accept;Sodom And Gomorra;jungles
Accept;Sodom And Gomorra;the
Accept;Sodom And Gomorra;concrete
Accept;Sodom And Gomorra;age
Accept;Sodom And Gomorra;a
Accept;Sodom And Gomorra;maximum
Accept;Sodom And Gomorra;overdose
Accept;Sodom And Gomorra;of
Accept;Sodom And Gomorra;pleasure
Accept;Sodom And Gomorra;and
Accept;Sodom And Gomorra;pain
Accept;Sodom And Gomorra;self-inflicted
Accept;Sodom And Gomorra;life
Accept;Sodom And Gomorra;corrupting
Accept;Sodom And Gomorra;antisocial
Accept;Sodom And Gomorra;controversial
Accept;Sodom And Gomorra;living
Accept;Sodom And Gomorra;in
Accept;Sodom And Gomorra;sin
Accept;Sodom And Gomorra;sodom
Accept;Sodom And Gomorra;and
Accept;Sodom And Gomorra;gomorra
Accept;Sodom And Gomorra;let
Accept;Sodom And Gomorra;me
Accept;Sodom And Gomorra;tell
Accept;Sodom And Gomorra;you
Accept;Sodom And Gomorra;what
Accept;Sodom And Gomorra;i
Accept;Sodom And Gomorra;see
Accept;Sodom And Gomorra;sodom
Accept;Sodom And Gomorra;and
Accept;Sodom And Gomorra;gomorra
Accept;Sodom And Gomorra;got
Accept;Sodom And Gomorra;not
Accept;Sodom And Gomorra;law
Accept;Sodom And Gomorra;and
Accept;Sodom And Gomorra;order
Accept;Sodom And Gomorra;ruled
Accept;Sodom And Gomorra;by
Accept;Sodom And Gomorra;anarchy
Accept;Sodom And Gomorra;it
Accept;Sodom And Gomorra;here
Accept;Sodom And Gomorra;to
Accept;Sodom And Gomorra;stay
Accept;Sodom And Gomorra;chaos
Accept;Sodom And Gomorra;in
Accept;Sodom And Gomorra;the
Accept;Sodom And Gomorra;classroom
Accept;Sodom And Gomorra;kids
Accept;Sodom And Gomorra;are
Accept;Sodom And Gomorra;killing
Accept;Sodom And Gomorra;kids
Accept;Sodom And Gomorra;getting
Accept;Sodom And Gomorra;outta
Accept;Sodom And Gomorra;hand
Accept;Sodom And Gomorra;mothers
Accept;Sodom And Gomorra;and
Accept;Sodom And Gomorra;fathers
Accept;Sodom And Gomorra;the
Accept;Sodom And Gomorra;sickening
Accept;Sodom And Gomorra;ones
Accept;Sodom And Gomorra;raping
Accept;Sodom And Gomorra;the
Accept;Sodom And Gomorra;children
Accept;Sodom And Gomorra;at
Accept;Sodom And Gomorra;the
Accept;Sodom And Gomorra;end
Accept;Sodom And Gomorra;of
Accept;Sodom And Gomorra;a
Accept;Sodom And Gomorra;gun
Accept;Sodom And Gomorra;self-inflicted
Accept;Sodom And Gomorra;life
Accept;Sodom And Gomorra;corrupting
Accept;Sodom And Gomorra;antisocial
Accept;Sodom And Gomorra;controversial
Accept;Sodom And Gomorra;living
Accept;Sodom And Gomorra;in
Accept;Sodom And Gomorra;sin
Accept;Sodom And Gomorra;sodom
Accept;Sodom And Gomorra;and
Accept;Sodom And Gomorra;gomorra
Accept;Sodom And Gomorra;let
Accept;Sodom And Gomorra;me
Accept;Sodom And Gomorra;tell
Accept;Sodom And Gomorra;you
Accept;Sodom And Gomorra;what
Accept;Sodom And Gomorra;i
Accept;Sodom And Gomorra;see
Accept;Sodom And Gomorra;sodom
Accept;Sodom And Gomorra;and
Accept;Sodom And Gomorra;gomorra
Accept;Sodom And Gomorra;we're
Accept;Sodom And Gomorra;in
Accept;Sodom And Gomorra;a
Accept;Sodom And Gomorra;burning
Accept;Sodom And Gomorra;hell
Accept;Sodom And Gomorra;for
Accept;Sodom And Gomorra;all
Accept;Sodom And Gomorra;eternity
Accept;Sodom And Gomorra;sodom
Accept;Sodom And Gomorra;and
Accept;Sodom And Gomorra;gomorra
Accept;Sodom And Gomorra;you
Accept;Sodom And Gomorra;mustn't
Accept;Sodom And Gomorra;look
Accept;Sodom And Gomorra;back
Accept;Sodom And Gomorra;to
Accept;Sodom And Gomorra;sodom
Accept;Sodom And Gomorra;and
Accept;Sodom And Gomorra;gomorra
Accept;Sodom And Gomorra;don't
Accept;Sodom And Gomorra;you
Accept;Sodom And Gomorra;look
Accept;Sodom And Gomorra;back
Accept;Sodom And Gomorra;to
Accept;Sodom And Gomorra;the
Accept;Sodom And Gomorra;essence
Accept;Sodom And Gomorra;of
Accept;Sodom And Gomorra;evil
Accept;Sodom And Gomorra;this
Accept;Sodom And Gomorra;universe
Accept;Sodom And Gomorra;of
Accept;Sodom And Gomorra;hatred
Accept;Sodom And Gomorra;aggression
Accept;Sodom And Gomorra;is
Accept;Sodom And Gomorra;the
Accept;Sodom And Gomorra;force
Accept;Sodom And Gomorra;heading
Accept;Sodom And Gomorra;for
Accept;Sodom And Gomorra;oblivion
Accept;Sodom And Gomorra;we're
Accept;Sodom And Gomorra;on
Accept;Sodom And Gomorra;collision-course
Accept;Sodom And Gomorra;evolution
Accept;Sodom And Gomorra;over
Accept;Sodom And Gomorra;the
Accept;Sodom And Gomorra;devil
Accept;Sodom And Gomorra;has
Accept;Sodom And Gomorra;prevailed
Accept;Sodom And Gomorra;heaven
Accept;Sodom And Gomorra;screams
Accept;Sodom And Gomorra;for
Accept;Sodom And Gomorra;vengeance
Accept;Sodom And Gomorra;this
Accept;Sodom And Gomorra;is
Accept;Sodom And Gomorra;judgment
Accept;Sodom And Gomorra;day
Accept;Sodom And Gomorra;self-inflicted
Accept;Sodom And Gomorra;life
Accept;Sodom And Gomorra;corrupting
Accept;Sodom And Gomorra;antisocial
Accept;Sodom And Gomorra;controversial
Accept;Sodom And Gomorra;living
Accept;Sodom And Gomorra;in
Accept;Sodom And Gomorra;sin
Accept;Sodom And Gomorra;sodom
Accept;Sodom And Gomorra;and
Accept;Sodom And Gomorra;gomorra
Accept;Sodom And Gomorra;let
Accept;Sodom And Gomorra;me
