artist_name;song_title;token
Adele;Love In The Dark;take
Adele;Love In The Dark;your
Adele;Love In The Dark;eyes
Adele;Love In The Dark;off
Adele;Love In The Dark;of
Adele;Love In The Dark;me
Adele;Love In The Dark;so
Adele;Love In The Dark;i
Adele;Love In The Dark;can
Adele;Love In The Dark;leave
Adele;Love In The Dark;i'm
Adele;Love In The Dark;far
Adele;Love In The Dark;too
Adele;Love In The Dark;ashamed
Adele;Love In The Dark;to
Adele;Love In The Dark;do
Adele;Love In The Dark;it
Adele;Love In The Dark;with
Adele;Love In The Dark;you
Adele;Love In The Dark;watching
Adele;Love In The Dark;me
Adele;Love In The Dark;this
Adele;Love In The Dark;is
Adele;Love In The Dark;never
Adele;Love In The Dark;ending
Adele;Love In The Dark;we
Adele;Love In The Dark;have
Adele;Love In The Dark;been
Adele;Love In The Dark;here
Adele;Love In The Dark;before
Adele;Love In The Dark;but
Adele;Love In The Dark;i
Adele;Love In The Dark;can't
Adele;Love In The Dark;stay
Adele;Love In The Dark;this
Adele;Love In The Dark;time
Adele;Love In The Dark;'cause
Adele;Love In The Dark;i
Adele;Love In The Dark;don't
Adele;Love In The Dark;love
Adele;Love In The Dark;you
Adele;Love In The Dark;anymore
Adele;Love In The Dark;please
Adele;Love In The Dark;stay
Adele;Love In The Dark;where
Adele;Love In The Dark;you
Adele;Love In The Dark;are
Adele;Love In The Dark;don't
Adele;Love In The Dark;come
Adele;Love In The Dark;any
Adele;Love In The Dark;closer
Adele;Love In The Dark;don't
Adele;Love In The Dark;try
Adele;Love In The Dark;to
Adele;Love In The Dark;change
Adele;Love In The Dark;my
Adele;Love In The Dark;mind
Adele;Love In The Dark;i'm
Adele;Love In The Dark;being
Adele;Love In The Dark;cruel
Adele;Love In The Dark;to
Adele;Love In The Dark;be
Adele;Love In The Dark;kind
Adele;Love In The Dark;take
Adele;Love In The Dark;your
Adele;Love In The Dark;eyes
Adele;Love In The Dark;off
Adele;Love In The Dark;of
Adele;Love In The Dark;me
Adele;Love In The Dark;so
Adele;Love In The Dark;i
Adele;Love In The Dark;can
Adele;Love In The Dark;leave
Adele;Love In The Dark;i'm
Adele;Love In The Dark;far
Adele;Love In The Dark;too
Adele;Love In The Dark;ashamed
Adele;Love In The Dark;to
Adele;Love In The Dark;do
Adele;Love In The Dark;it
Adele;Love In The Dark;with
Adele;Love In The Dark;you
Adele;Love In The Dark;watching
Adele;Love In The Dark;me
Adele;Love In The Dark;this
Adele;Love In The Dark;is
Adele;Love In The Dark;never
Adele;Love In The Dark;ending
Adele;Love In The Dark;we
Adele;Love In The Dark;have
Adele;Love In The Dark;been
Adele;Love In The Dark;here
Adele;Love In The Dark;before
Adele;Love In The Dark;but
Adele;Love In The Dark;i
Adele;Love In The Dark;can't
Adele;Love In The Dark;stay
Adele;Love In The Dark;this
Adele;Love In The Dark;time
Adele;Love In The Dark;'cause
Adele;Love In The Dark;i
Adele;Love In The Dark;don't
Adele;Love In The Dark;love
Adele;Love In The Dark;you
Adele;Love In The Dark;anymore
Adele;Love In The Dark;please
Adele;Love In The Dark;stay
Adele;Love In The Dark;where
Adele;Love In The Dark;you
Adele;Love In The Dark;are
Adele;Love In The Dark;don't
Adele;Love In The Dark;come
Adele;Love In The Dark;any
Adele;Love In The Dark;closer
Adele;Love In The Dark;don't
Adele;Love In The Dark;try
Adele;Love In The Dark;to
Adele;Love In The Dark;change
Adele;Love In The Dark;my
Adele;Love In The Dark;mind
Adele;Love In The Dark;i'm
Adele;Love In The Dark;being
Adele;Love In The Dark;cruel
Adele;Love In The Dark;to
Adele;Love In The Dark;be
Adele;Love In The Dark;kind
Adele;Love In The Dark;i
Adele;Love In The Dark;can't
Adele;Love In The Dark;love
Adele;Love In The Dark;you
Adele;Love In The Dark;in
Adele;Love In The Dark;the
Adele;Love In The Dark;dark
Adele;Love In The Dark;it
Adele;Love In The Dark;feels
Adele;Love In The Dark;like
Adele;Love In The Dark;we're
Adele;Love In The Dark;oceans
Adele;Love In The Dark;apart
Adele;Love In The Dark;there
Adele;Love In The Dark;is
Adele;Love In The Dark;so
Adele;Love In The Dark;much
Adele;Love In The Dark;space
Adele;Love In The Dark;between
Adele;Love In The Dark;us
Adele;Love In The Dark;baby
Adele;Love In The Dark;we're
Adele;Love In The Dark;already
Adele;Love In The Dark;defeated
Adele;Love In The Dark;ah-yeah-yeah-yeah-yeah-yeah-yeah
Adele;Love In The Dark;everything
Adele;Love In The Dark;changed
Adele;Love In The Dark;me
Adele;Love In The Dark;you
Adele;Love In The Dark;have
Adele;Love In The Dark;given
Adele;Love In The Dark;me
Adele;Love In The Dark;something
Adele;Love In The Dark;that
Adele;Love In The Dark;i
Adele;Love In The Dark;can't
Adele;Love In The Dark;live
Adele;Love In The Dark;without
Adele;Love In The Dark;you
Adele;Love In The Dark;mustn't
Adele;Love In The Dark;underestimate
Adele;Love In The Dark;that
Adele;Love In The Dark;when
Adele;Love In The Dark;you
Adele;Love In The Dark;are
Adele;Love In The Dark;in
Adele;Love In The Dark;doubt
Adele;Love In The Dark;but
Adele;Love In The Dark;i
Adele;Love In The Dark;don't
Adele;Love In The Dark;want
Adele;Love In The Dark;to
Adele;Love In The Dark;carry
Adele;Love In The Dark;on
Adele;Love In The Dark;like
Adele;Love In The Dark;everything
Adele;Love In The Dark;is
Adele;Love In The Dark;fine
Adele;Love In The Dark;the
Adele;Love In The Dark;longer
Adele;Love In The Dark;we
Adele;Love In The Dark;ignore
Adele;Love In The Dark;it
Adele;Love In The Dark;all
Adele;Love In The Dark;the
Adele;Love In The Dark;more
Adele;Love In The Dark;that
Adele;Love In The Dark;we
Adele;Love In The Dark;will
Adele;Love In The Dark;fight
Adele;Love In The Dark;please
Adele;Love In The Dark;don't
Adele;Love In The Dark;fall
Adele;Love In The Dark;apart
Adele;Love In The Dark;i
Adele;Love In The Dark;can't
Adele;Love In The Dark;face
Adele;Love In The Dark;your
Adele;Love In The Dark;breaking
Adele;Love In The Dark;heart
Adele;Love In The Dark;i'm
Adele;Love In The Dark;trying
Adele;Love In The Dark;to
Adele;Love In The Dark;be
Adele;Love In The Dark;brave
Adele;Love In The Dark;stop
Adele;Love In The Dark;asking
Adele;Love In The Dark;me
Adele;Love In The Dark;to
Adele;Love In The Dark;stay
Adele;Love In The Dark;i
Adele;Love In The Dark;can't
Adele;Love In The Dark;love
Adele;Love In The Dark;you
Adele;Love In The Dark;in
Adele;Love In The Dark;the
Adele;Love In The Dark;dark
Adele;Love In The Dark;it
Adele;Love In The Dark;feels
Adele;Love In The Dark;like
Adele;Love In The Dark;we're
Adele;Love In The Dark;oceans
Adele;Love In The Dark;apart
Adele;Love In The Dark;there
Adele;Love In The Dark;is
Adele;Love In The Dark;so
Adele;Love In The Dark;much
Adele;Love In The Dark;space
Adele;Love In The Dark;between
Adele;Love In The Dark;us
Adele;Love In The Dark;baby
Adele;Love In The Dark;we're
Adele;Love In The Dark;already
Adele;Love In The Dark;defeated
Adele;Love In The Dark;ah-yeah-yeah-yeah-yeah-yeah-yeah
Adele;Love In The Dark;everything
Adele;Love In The Dark;changed
Adele;Love In The Dark;me
Adele;Love In The Dark;we're
Adele;Love In The Dark;not
Adele;Love In The Dark;the
Adele;Love In The Dark;only
Adele;Love In The Dark;ones
Adele;Love In The Dark;i
Adele;Love In The Dark;don't
Adele;Love In The Dark;regret
Adele;Love In The Dark;a
Adele;Love In The Dark;thing
Adele;Love In The Dark;every
Adele;Love In The Dark;word
Adele;Love In The Dark;i've
Adele;Love In The Dark;said
Adele;Love In The Dark;you
Adele;Love In The Dark;know
Adele;Love In The Dark;i'll
Adele;Love In The Dark;always
Adele;Love In The Dark;mean
Adele;Love In The Dark;it
Adele;Love In The Dark;is
Adele;Love In The Dark;the
Adele;Love In The Dark;world
Adele;Love In The Dark;to
Adele;Love In The Dark;me
Adele;Love In The Dark;that
Adele;Love In The Dark;you
Adele;Love In The Dark;are
Adele;Love In The Dark;in
Adele;Love In The Dark;my
