artist_name;song_title;token
Adele;Rolling In The Deep;there
Adele;Rolling In The Deep;a
Adele;Rolling In The Deep;fire
Adele;Rolling In The Deep;starting
Adele;Rolling In The Deep;in
Adele;Rolling In The Deep;my
Adele;Rolling In The Deep;heart
Adele;Rolling In The Deep;reaching
Adele;Rolling In The Deep;a
Adele;Rolling In The Deep;fever
Adele;Rolling In The Deep;pitch
Adele;Rolling In The Deep;and
Adele;Rolling In The Deep;it
Adele;Rolling In The Deep;bringing
Adele;Rolling In The Deep;me
Adele;Rolling In The Deep;out
Adele;Rolling In The Deep;the
Adele;Rolling In The Deep;dark
Adele;Rolling In The Deep;finally
Adele;Rolling In The Deep;i
Adele;Rolling In The Deep;can
Adele;Rolling In The Deep;see
Adele;Rolling In The Deep;you
Adele;Rolling In The Deep;crystal
Adele;Rolling In The Deep;clear
Adele;Rolling In The Deep;go
Adele;Rolling In The Deep;ahead
Adele;Rolling In The Deep;and
Adele;Rolling In The Deep;sell
Adele;Rolling In The Deep;me
Adele;Rolling In The Deep;out
Adele;Rolling In The Deep;and
Adele;Rolling In The Deep;i'll
Adele;Rolling In The Deep;lay
Adele;Rolling In The Deep;your
Adele;Rolling In The Deep;ship
Adele;Rolling In The Deep;bare
Adele;Rolling In The Deep;see
Adele;Rolling In The Deep;how
Adele;Rolling In The Deep;i'll
Adele;Rolling In The Deep;leave
Adele;Rolling In The Deep;with
Adele;Rolling In The Deep;every
Adele;Rolling In The Deep;piece
Adele;Rolling In The Deep;of
Adele;Rolling In The Deep;you
Adele;Rolling In The Deep;don't
Adele;Rolling In The Deep;underestimate
Adele;Rolling In The Deep;the
Adele;Rolling In The Deep;things
Adele;Rolling In The Deep;that
Adele;Rolling In The Deep;i
Adele;Rolling In The Deep;will
Adele;Rolling In The Deep;do
Adele;Rolling In The Deep;there
Adele;Rolling In The Deep;a
Adele;Rolling In The Deep;fire
Adele;Rolling In The Deep;starting
Adele;Rolling In The Deep;in
Adele;Rolling In The Deep;my
Adele;Rolling In The Deep;heart
Adele;Rolling In The Deep;there
Adele;Rolling In The Deep;a
Adele;Rolling In The Deep;fire
Adele;Rolling In The Deep;starting
Adele;Rolling In The Deep;in
Adele;Rolling In The Deep;my
Adele;Rolling In The Deep;heart
Adele;Rolling In The Deep;reaching
Adele;Rolling In The Deep;a
Adele;Rolling In The Deep;fever
Adele;Rolling In The Deep;pitch
Adele;Rolling In The Deep;and
Adele;Rolling In The Deep;it
Adele;Rolling In The Deep;bringing
Adele;Rolling In The Deep;me
Adele;Rolling In The Deep;out
Adele;Rolling In The Deep;the
Adele;Rolling In The Deep;dark
Adele;Rolling In The Deep;finally
Adele;Rolling In The Deep;i
Adele;Rolling In The Deep;can
Adele;Rolling In The Deep;see
Adele;Rolling In The Deep;you
