artist_name;song_title;token
Amy Winehouse;Do Me Good;got
Amy Winehouse;Do Me Good;back
Amy Winehouse;Do Me Good;together
Amy Winehouse;Do Me Good;with
Amy Winehouse;Do Me Good;my
Amy Winehouse;Do Me Good;man
Amy Winehouse;Do Me Good;last
Amy Winehouse;Do Me Good;night
Amy Winehouse;Do Me Good;but
Amy Winehouse;Do Me Good;i
Amy Winehouse;Do Me Good;think
Amy Winehouse;Do Me Good;i
Amy Winehouse;Do Me Good;was
Amy Winehouse;Do Me Good;dreaming,
Amy Winehouse;Do Me Good;he
Amy Winehouse;Do Me Good;didn't
Amy Winehouse;Do Me Good;feel
Amy Winehouse;Do Me Good;quite
Amy Winehouse;Do Me Good;right
Amy Winehouse;Do Me Good;i
Amy Winehouse;Do Me Good;pressed
Amy Winehouse;Do Me Good;his
Amy Winehouse;Do Me Good;chest
Amy Winehouse;Do Me Good;under
Amy Winehouse;Do Me Good;my
Amy Winehouse;Do Me Good;fingertips
Amy Winehouse;Do Me Good;beside
Amy Winehouse;Do Me Good;myself
Amy Winehouse;Do Me Good;i
Amy Winehouse;Do Me Good;sighed
Amy Winehouse;Do Me Good;and
Amy Winehouse;Do Me Good;reminded
Amy Winehouse;Do Me Good;of
Amy Winehouse;Do Me Good;his
Amy Winehouse;Do Me Good;lips
Amy Winehouse;Do Me Good;i'm
Amy Winehouse;Do Me Good;confused
Amy Winehouse;Do Me Good;and
Amy Winehouse;Do Me Good;quizzical
Amy Winehouse;Do Me Good;funny
Amy Winehouse;Do Me Good;don'tcha
Amy Winehouse;Do Me Good;know
Amy Winehouse;Do Me Good;i
Amy Winehouse;Do Me Good;just
Amy Winehouse;Do Me Good;wan
Amy Winehouse;Do Me Good;get
Amy Winehouse;Do Me Good;physical
Amy Winehouse;Do Me Good;let
Amy Winehouse;Do Me Good;me
Amy Winehouse;Do Me Good;tell
Amy Winehouse;Do Me Good;ya
Amy Winehouse;Do Me Good;how
Amy Winehouse;Do Me Good;got
Amy Winehouse;Do Me Good;back
Amy Winehouse;Do Me Good;together
Amy Winehouse;Do Me Good;with
Amy Winehouse;Do Me Good;my
Amy Winehouse;Do Me Good;man
Amy Winehouse;Do Me Good;last
Amy Winehouse;Do Me Good;night
Amy Winehouse;Do Me Good;but
Amy Winehouse;Do Me Good;i
Amy Winehouse;Do Me Good;think
Amy Winehouse;Do Me Good;i
Amy Winehouse;Do Me Good;was
Amy Winehouse;Do Me Good;dreaming,
Amy Winehouse;Do Me Good;he
Amy Winehouse;Do Me Good;didn't
Amy Winehouse;Do Me Good;feel
Amy Winehouse;Do Me Good;quite
Amy Winehouse;Do Me Good;right
Amy Winehouse;Do Me Good;i
Amy Winehouse;Do Me Good;pressed
Amy Winehouse;Do Me Good;his
Amy Winehouse;Do Me Good;chest
Amy Winehouse;Do Me Good;under
