artist_name;song_title;token
Amy Winehouse;Fool's Gold;she
Amy Winehouse;Fool's Gold;sits
Amy Winehouse;Fool's Gold;home
Amy Winehouse;Fool's Gold;and
Amy Winehouse;Fool's Gold;dreams
Amy Winehouse;Fool's Gold;that
Amy Winehouse;Fool's Gold;her
Amy Winehouse;Fool's Gold;man
Amy Winehouse;Fool's Gold;will
Amy Winehouse;Fool's Gold;leave
Amy Winehouse;Fool's Gold;his
Amy Winehouse;Fool's Gold;mark
Amy Winehouse;Fool's Gold;on
Amy Winehouse;Fool's Gold;her
Amy Winehouse;Fool's Gold;hand
Amy Winehouse;Fool's Gold;he's
Amy Winehouse;Fool's Gold;not
Amy Winehouse;Fool's Gold;all
Amy Winehouse;Fool's Gold;he
Amy Winehouse;Fool's Gold;seems
Amy Winehouse;Fool's Gold;but
Amy Winehouse;Fool's Gold;she's
Amy Winehouse;Fool's Gold;seen
Amy Winehouse;Fool's Gold;a
Amy Winehouse;Fool's Gold;dress,
Amy Winehouse;Fool's Gold;she
Amy Winehouse;Fool's Gold;has
Amy Winehouse;Fool's Gold;the
Amy Winehouse;Fool's Gold;flowers
Amy Winehouse;Fool's Gold;planned
Amy Winehouse;Fool's Gold;now
Amy Winehouse;Fool's Gold;she
Amy Winehouse;Fool's Gold;won't
Amy Winehouse;Fool's Gold;be
Amy Winehouse;Fool's Gold;happy
Amy Winehouse;Fool's Gold;till
Amy Winehouse;Fool's Gold;she
Amy Winehouse;Fool's Gold;look
Amy Winehouse;Fool's Gold;down
Amy Winehouse;Fool's Gold;and
Amy Winehouse;Fool's Gold;sees
Amy Winehouse;Fool's Gold;the
Amy Winehouse;Fool's Gold;engagement
Amy Winehouse;Fool's Gold;ring
Amy Winehouse;Fool's Gold;it's
Amy Winehouse;Fool's Gold;for
Amy Winehouse;Fool's Gold;security
Amy Winehouse;Fool's Gold;but
Amy Winehouse;Fool's Gold;she
Amy Winehouse;Fool's Gold;will
Amy Winehouse;Fool's Gold;be
Amy Winehouse;Fool's Gold;waiting
Amy Winehouse;Fool's Gold;years
Amy Winehouse;Fool's Gold;for
Amy Winehouse;Fool's Gold;her
Amy Winehouse;Fool's Gold;wedding
Amy Winehouse;Fool's Gold;for
Amy Winehouse;Fool's Gold;me
Amy Winehouse;Fool's Gold;it
Amy Winehouse;Fool's Gold;aint
Amy Winehouse;Fool's Gold;real
Amy Winehouse;Fool's Gold;it's
Amy Winehouse;Fool's Gold;fools
Amy Winehouse;Fool's Gold;gold
Amy Winehouse;Fool's Gold;she
Amy Winehouse;Fool's Gold;sits
Amy Winehouse;Fool's Gold;home
Amy Winehouse;Fool's Gold;and
Amy Winehouse;Fool's Gold;dreams
Amy Winehouse;Fool's Gold;that
Amy Winehouse;Fool's Gold;her
Amy Winehouse;Fool's Gold;man
Amy Winehouse;Fool's Gold;will
Amy Winehouse;Fool's Gold;leave
Amy Winehouse;Fool's Gold;his
Amy Winehouse;Fool's Gold;mark
Amy Winehouse;Fool's Gold;on
Amy Winehouse;Fool's Gold;her
Amy Winehouse;Fool's Gold;hand
Amy Winehouse;Fool's Gold;he's
Amy Winehouse;Fool's Gold;not
Amy Winehouse;Fool's Gold;all
Amy Winehouse;Fool's Gold;he
Amy Winehouse;Fool's Gold;seems
Amy Winehouse;Fool's Gold;but
Amy Winehouse;Fool's Gold;she's
Amy Winehouse;Fool's Gold;seen
Amy Winehouse;Fool's Gold;a
Amy Winehouse;Fool's Gold;dress,
Amy Winehouse;Fool's Gold;she
Amy Winehouse;Fool's Gold;has
Amy Winehouse;Fool's Gold;the
Amy Winehouse;Fool's Gold;flowers
Amy Winehouse;Fool's Gold;planned
Amy Winehouse;Fool's Gold;now
Amy Winehouse;Fool's Gold;she
Amy Winehouse;Fool's Gold;won't
Amy Winehouse;Fool's Gold;be
Amy Winehouse;Fool's Gold;happy
Amy Winehouse;Fool's Gold;till
Amy Winehouse;Fool's Gold;she
Amy Winehouse;Fool's Gold;look
Amy Winehouse;Fool's Gold;down
Amy Winehouse;Fool's Gold;and
Amy Winehouse;Fool's Gold;sees
Amy Winehouse;Fool's Gold;the
Amy Winehouse;Fool's Gold;engagement
Amy Winehouse;Fool's Gold;ring
Amy Winehouse;Fool's Gold;it's
Amy Winehouse;Fool's Gold;for
Amy Winehouse;Fool's Gold;security
Amy Winehouse;Fool's Gold;but
Amy Winehouse;Fool's Gold;she
Amy Winehouse;Fool's Gold;will
Amy Winehouse;Fool's Gold;be
Amy Winehouse;Fool's Gold;waiting
Amy Winehouse;Fool's Gold;years
Amy Winehouse;Fool's Gold;for
Amy Winehouse;Fool's Gold;her
Amy Winehouse;Fool's Gold;wedding
Amy Winehouse;Fool's Gold;for
Amy Winehouse;Fool's Gold;me
Amy Winehouse;Fool's Gold;it
Amy Winehouse;Fool's Gold;aint
Amy Winehouse;Fool's Gold;real
Amy Winehouse;Fool's Gold;it's
Amy Winehouse;Fool's Gold;fools
Amy Winehouse;Fool's Gold;gold
Amy Winehouse;Fool's Gold;there
Amy Winehouse;Fool's Gold;too
Amy Winehouse;Fool's Gold;many
Amy Winehouse;Fool's Gold;fools
Amy Winehouse;Fool's Gold;sold
Amy Winehouse;Fool's Gold;not
Amy Winehouse;Fool's Gold;an
Amy Winehouse;Fool's Gold;excuse
Amy Winehouse;Fool's Gold;oh
Amy Winehouse;Fool's Gold;for
Amy Winehouse;Fool's Gold;me
Amy Winehouse;Fool's Gold;it
Amy Winehouse;Fool's Gold;aint
Amy Winehouse;Fool's Gold;real
Amy Winehouse;Fool's Gold;it's
Amy Winehouse;Fool's Gold;fools
Amy Winehouse;Fool's Gold;gold
Amy Winehouse;Fool's Gold;i
Amy Winehouse;Fool's Gold;don't
Amy Winehouse;Fool's Gold;hear
Amy Winehouse;Fool's Gold;everything
Amy Winehouse;Fool's Gold;i'm
Amy Winehouse;Fool's Gold;told
Amy Winehouse;Fool's Gold;he
Amy Winehouse;Fool's Gold;won't
Amy Winehouse;Fool's Gold;change
Amy Winehouse;Fool's Gold;her
Amy Winehouse;Fool's Gold;life
Amy Winehouse;Fool's Gold;he
Amy Winehouse;Fool's Gold;just
Amy Winehouse;Fool's Gold;chasing
Amy Winehouse;Fool's Gold;tail
Amy Winehouse;Fool's Gold;and
Amy Winehouse;Fool's Gold;wasting
Amy Winehouse;Fool's Gold;her
Amy Winehouse;Fool's Gold;time
Amy Winehouse;Fool's Gold;she
Amy Winehouse;Fool's Gold;calls
Amy Winehouse;Fool's Gold;herself
Amy Winehouse;Fool's Gold;his
Amy Winehouse;Fool's Gold;wife
Amy Winehouse;Fool's Gold;he
Amy Winehouse;Fool's Gold;calls
Amy Winehouse;Fool's Gold;her
Amy Winehouse;Fool's Gold;at
Amy Winehouse;Fool's Gold;8
Amy Winehouse;Fool's Gold;says
Amy Winehouse;Fool's Gold;be
Amy Winehouse;Fool's Gold;here
Amy Winehouse;Fool's Gold;by
Amy Winehouse;Fool's Gold;9
Amy Winehouse;Fool's Gold;she
Amy Winehouse;Fool's Gold;don't
Amy Winehouse;Fool's Gold;notice
Amy Winehouse;Fool's Gold;how
Amy Winehouse;Fool's Gold;when
Amy Winehouse;Fool's Gold;she
