artist_name;song_title;token
Amy Winehouse;Wake Up Alone;it's
Amy Winehouse;Wake Up Alone;okay
Amy Winehouse;Wake Up Alone;in
Amy Winehouse;Wake Up Alone;the
Amy Winehouse;Wake Up Alone;day,
Amy Winehouse;Wake Up Alone;i'm
Amy Winehouse;Wake Up Alone;staying
Amy Winehouse;Wake Up Alone;busy
Amy Winehouse;Wake Up Alone;tied
Amy Winehouse;Wake Up Alone;up
Amy Winehouse;Wake Up Alone;enough
Amy Winehouse;Wake Up Alone;so
Amy Winehouse;Wake Up Alone;i
Amy Winehouse;Wake Up Alone;don't
Amy Winehouse;Wake Up Alone;have
Amy Winehouse;Wake Up Alone;to
Amy Winehouse;Wake Up Alone;wonder
Amy Winehouse;Wake Up Alone;where
Amy Winehouse;Wake Up Alone;is
Amy Winehouse;Wake Up Alone;he
Amy Winehouse;Wake Up Alone;got
Amy Winehouse;Wake Up Alone;so
Amy Winehouse;Wake Up Alone;sick
Amy Winehouse;Wake Up Alone;of
Amy Winehouse;Wake Up Alone;crying,
Amy Winehouse;Wake Up Alone;so
Amy Winehouse;Wake Up Alone;just
Amy Winehouse;Wake Up Alone;lately
Amy Winehouse;Wake Up Alone;when
Amy Winehouse;Wake Up Alone;i
Amy Winehouse;Wake Up Alone;catch
Amy Winehouse;Wake Up Alone;myself
Amy Winehouse;Wake Up Alone;i
Amy Winehouse;Wake Up Alone;do
Amy Winehouse;Wake Up Alone;a
Amy Winehouse;Wake Up Alone;180
Amy Winehouse;Wake Up Alone;i
Amy Winehouse;Wake Up Alone;stay
Amy Winehouse;Wake Up Alone;up,
Amy Winehouse;Wake Up Alone;clean
Amy Winehouse;Wake Up Alone;the
Amy Winehouse;Wake Up Alone;house,
Amy Winehouse;Wake Up Alone;at
Amy Winehouse;Wake Up Alone;least
Amy Winehouse;Wake Up Alone;i'm
Amy Winehouse;Wake Up Alone;not
Amy Winehouse;Wake Up Alone;drinking
Amy Winehouse;Wake Up Alone;run
Amy Winehouse;Wake Up Alone;around
Amy Winehouse;Wake Up Alone;just
Amy Winehouse;Wake Up Alone;so
Amy Winehouse;Wake Up Alone;i
Amy Winehouse;Wake Up Alone;don't
Amy Winehouse;Wake Up Alone;have
Amy Winehouse;Wake Up Alone;to
Amy Winehouse;Wake Up Alone;think
Amy Winehouse;Wake Up Alone;about
Amy Winehouse;Wake Up Alone;thinking
Amy Winehouse;Wake Up Alone;that
Amy Winehouse;Wake Up Alone;silent
Amy Winehouse;Wake Up Alone;sense
