artist_name;song_title;token
Amy Winehouse;You Send Me Flying / Cherry;lent
Amy Winehouse;You Send Me Flying / Cherry;you
Amy Winehouse;You Send Me Flying / Cherry;outsiders
Amy Winehouse;You Send Me Flying / Cherry;and
Amy Winehouse;You Send Me Flying / Cherry;my
Amy Winehouse;You Send Me Flying / Cherry;new
Amy Winehouse;You Send Me Flying / Cherry;badu
Amy Winehouse;You Send Me Flying / Cherry;while
Amy Winehouse;You Send Me Flying / Cherry;you
Amy Winehouse;You Send Me Flying / Cherry;were
Amy Winehouse;You Send Me Flying / Cherry;thinking
Amy Winehouse;You Send Me Flying / Cherry;i
Amy Winehouse;You Send Me Flying / Cherry;didn't
Amy Winehouse;You Send Me Flying / Cherry;have
Amy Winehouse;You Send Me Flying / Cherry;a
Amy Winehouse;You Send Me Flying / Cherry;clue
Amy Winehouse;You Send Me Flying / Cherry;tough
Amy Winehouse;You Send Me Flying / Cherry;to
Amy Winehouse;You Send Me Flying / Cherry;sort
Amy Winehouse;You Send Me Flying / Cherry;files
Amy Winehouse;You Send Me Flying / Cherry;with
Amy Winehouse;You Send Me Flying / Cherry;your
Amy Winehouse;You Send Me Flying / Cherry;voice
Amy Winehouse;You Send Me Flying / Cherry;in
Amy Winehouse;You Send Me Flying / Cherry;my
Amy Winehouse;You Send Me Flying / Cherry;head
Amy Winehouse;You Send Me Flying / Cherry;so
Amy Winehouse;You Send Me Flying / Cherry;then
Amy Winehouse;You Send Me Flying / Cherry;i
Amy Winehouse;You Send Me Flying / Cherry;bribed
Amy Winehouse;You Send Me Flying / Cherry;you
Amy Winehouse;You Send Me Flying / Cherry;downstairs
Amy Winehouse;You Send Me Flying / Cherry;with
Amy Winehouse;You Send Me Flying / Cherry;a
Amy Winehouse;You Send Me Flying / Cherry;marlboro
Amy Winehouse;You Send Me Flying / Cherry;red,
Amy Winehouse;You Send Me Flying / Cherry;uh
Amy Winehouse;You Send Me Flying / Cherry;huh
Amy Winehouse;You Send Me Flying / Cherry;and
Amy Winehouse;You Send Me Flying / Cherry;now
Amy Winehouse;You Send Me Flying / Cherry;i
Amy Winehouse;You Send Me Flying / Cherry;feel
