artist_name;song_title;token
Anthrax;Drop The Ball;killing
Anthrax;Drop The Ball;myself
Anthrax;Drop The Ball;someone
Anthrax;Drop The Ball;said
Anthrax;Drop The Ball;the
Anthrax;Drop The Ball;fix
Anthrax;Drop The Ball;is
Anthrax;Drop The Ball;in
Anthrax;Drop The Ball;killing
Anthrax;Drop The Ball;myself
Anthrax;Drop The Ball;once
Anthrax;Drop The Ball;again,
Anthrax;Drop The Ball;once
Anthrax;Drop The Ball;again
Anthrax;Drop The Ball;over
Anthrax;Drop The Ball;easy
Anthrax;Drop The Ball;burnt,
Anthrax;Drop The Ball;my
Anthrax;Drop The Ball;mind
Anthrax;Drop The Ball;is
Anthrax;Drop The Ball;overdone
Anthrax;Drop The Ball;life's
Anthrax;Drop The Ball;a
Anthrax;Drop The Ball;jigsaw
Anthrax;Drop The Ball;why
Anthrax;Drop The Ball;can't
Anthrax;Drop The Ball;i
Anthrax;Drop The Ball;find
Anthrax;Drop The Ball;the
Anthrax;Drop The Ball;missing
Anthrax;Drop The Ball;one
Anthrax;Drop The Ball;even
Anthrax;Drop The Ball;though
Anthrax;Drop The Ball;i've
Anthrax;Drop The Ball;felt
Anthrax;Drop The Ball;i've
Anthrax;Drop The Ball;proven
Anthrax;Drop The Ball;what
Anthrax;Drop The Ball;it
Anthrax;Drop The Ball;is
Anthrax;Drop The Ball;i'm
Anthrax;Drop The Ball;worthy
Anthrax;Drop The Ball;of
Anthrax;Drop The Ball;i
Anthrax;Drop The Ball;can't
Anthrax;Drop The Ball;exist
Anthrax;Drop The Ball;inside
Anthrax;Drop The Ball;the
Anthrax;Drop The Ball;boundaries
Anthrax;Drop The Ball;of
Anthrax;Drop The Ball;the
Anthrax;Drop The Ball;so-called
Anthrax;Drop The Ball;world
Anthrax;Drop The Ball;of
Anthrax;Drop The Ball;love
Anthrax;Drop The Ball;killing
Anthrax;Drop The Ball;myself
Anthrax;Drop The Ball;someone
Anthrax;Drop The Ball;said
Anthrax;Drop The Ball;the
Anthrax;Drop The Ball;fix
Anthrax;Drop The Ball;is
Anthrax;Drop The Ball;in
Anthrax;Drop The Ball;killing
Anthrax;Drop The Ball;myself
Anthrax;Drop The Ball;once
Anthrax;Drop The Ball;again,
Anthrax;Drop The Ball;once
Anthrax;Drop The Ball;again
Anthrax;Drop The Ball;over
Anthrax;Drop The Ball;easy
Anthrax;Drop The Ball;burnt,
Anthrax;Drop The Ball;my
Anthrax;Drop The Ball;mind
Anthrax;Drop The Ball;is
Anthrax;Drop The Ball;overdone
Anthrax;Drop The Ball;life's
Anthrax;Drop The Ball;a
Anthrax;Drop The Ball;jigsaw
Anthrax;Drop The Ball;why
Anthrax;Drop The Ball;can't
Anthrax;Drop The Ball;i
Anthrax;Drop The Ball;find
Anthrax;Drop The Ball;the
Anthrax;Drop The Ball;missing
Anthrax;Drop The Ball;one
Anthrax;Drop The Ball;even
Anthrax;Drop The Ball;though
Anthrax;Drop The Ball;i've
Anthrax;Drop The Ball;felt
Anthrax;Drop The Ball;i've
Anthrax;Drop The Ball;proven
Anthrax;Drop The Ball;what
Anthrax;Drop The Ball;it
Anthrax;Drop The Ball;is
Anthrax;Drop The Ball;i'm
Anthrax;Drop The Ball;worthy
Anthrax;Drop The Ball;of
Anthrax;Drop The Ball;i
Anthrax;Drop The Ball;can't
Anthrax;Drop The Ball;exist
Anthrax;Drop The Ball;inside
Anthrax;Drop The Ball;the
Anthrax;Drop The Ball;boundaries
Anthrax;Drop The Ball;of
Anthrax;Drop The Ball;the
Anthrax;Drop The Ball;so-called
Anthrax;Drop The Ball;world
Anthrax;Drop The Ball;of
Anthrax;Drop The Ball;love
Anthrax;Drop The Ball;someone
Anthrax;Drop The Ball;rescue
Anthrax;Drop The Ball;my
Anthrax;Drop The Ball;downward
Anthrax;Drop The Ball;virtue
Anthrax;Drop The Ball;i
Anthrax;Drop The Ball;dropped
Anthrax;Drop The Ball;the
Anthrax;Drop The Ball;ball
Anthrax;Drop The Ball;again
Anthrax;Drop The Ball;hands
Anthrax;Drop The Ball;that
Anthrax;Drop The Ball;touch
Anthrax;Drop The Ball;me
Anthrax;Drop The Ball;take
Anthrax;Drop The Ball;?em
Anthrax;Drop The Ball;all
Anthrax;Drop The Ball;away
Anthrax;Drop The Ball;patronizing
Anthrax;Drop The Ball;will
Anthrax;Drop The Ball;you
Anthrax;Drop The Ball;hear
Anthrax;Drop The Ball;what
Anthrax;Drop The Ball;i
Anthrax;Drop The Ball;say
Anthrax;Drop The Ball;fuck
Anthrax;Drop The Ball;your
Anthrax;Drop The Ball;caring
Anthrax;Drop The Ball;no
Anthrax;Drop The Ball;one
Anthrax;Drop The Ball;knows
Anthrax;Drop The Ball;what's
Anthrax;Drop The Ball;in
Anthrax;Drop The Ball;my
Anthrax;Drop The Ball;heart
Anthrax;Drop The Ball;bring
Anthrax;Drop The Ball;it
Anthrax;Drop The Ball;all
Anthrax;Drop The Ball;down
Anthrax;Drop The Ball;break
Anthrax;Drop The Ball;it
Anthrax;Drop The Ball;all
Anthrax;Drop The Ball;down
Anthrax;Drop The Ball;to
Anthrax;Drop The Ball;parts
Anthrax;Drop The Ball;everytime
Anthrax;Drop The Ball;i
Anthrax;Drop The Ball;have
Anthrax;Drop The Ball;considered
Anthrax;Drop The Ball;why
Anthrax;Drop The Ball;it
Anthrax;Drop The Ball;is
Anthrax;Drop The Ball;i'm
Anthrax;Drop The Ball;even
Anthrax;Drop The Ball;here
Anthrax;Drop The Ball;calm
Anthrax;Drop The Ball;collected
