artist_name;song_title;token
Anthrax;Howling Furies;abandon
Anthrax;Howling Furies;all
Anthrax;Howling Furies;hope
Anthrax;Howling Furies;for
Anthrax;Howling Furies;those
Anthrax;Howling Furies;who
Anthrax;Howling Furies;enter
Anthrax;Howling Furies;'cause
Anthrax;Howling Furies;there
Anthrax;Howling Furies;ain't
Anthrax;Howling Furies;too
Anthrax;Howling Furies;much
Anthrax;Howling Furies;of
Anthrax;Howling Furies;that
Anthrax;Howling Furies;down
Anthrax;Howling Furies;here
Anthrax;Howling Furies;a
Anthrax;Howling Furies;clouded
Anthrax;Howling Furies;mist
Anthrax;Howling Furies;in
Anthrax;Howling Furies;a
Anthrax;Howling Furies;darkened
Anthrax;Howling Furies;tunnel
Anthrax;Howling Furies;and
Anthrax;Howling Furies;twisted
Anthrax;Howling Furies;screams
Anthrax;Howling Furies;are
Anthrax;Howling Furies;growing
Anthrax;Howling Furies;near
Anthrax;Howling Furies;now
Anthrax;Howling Furies;you're
Anthrax;Howling Furies;down
Anthrax;Howling Furies;here,
Anthrax;Howling Furies;you're
Anthrax;Howling Furies;gonna
Anthrax;Howling Furies;all
Anthrax;Howling Furies;stay
Anthrax;Howling Furies;'cause
Anthrax;Howling Furies;the
Anthrax;Howling Furies;howling
Anthrax;Howling Furies;furies
Anthrax;Howling Furies;want
Anthrax;Howling Furies;to
Anthrax;Howling Furies;come
Anthrax;Howling Furies;out
Anthrax;Howling Furies;and
Anthrax;Howling Furies;play
Anthrax;Howling Furies;you're
Anthrax;Howling Furies;headed
Anthrax;Howling Furies;for
Anthrax;Howling Furies;doom,
Anthrax;Howling Furies;you'd
Anthrax;Howling Furies;better
Anthrax;Howling Furies;prepare
Anthrax;Howling Furies;abandon
Anthrax;Howling Furies;all
Anthrax;Howling Furies;hope
Anthrax;Howling Furies;for
Anthrax;Howling Furies;those
Anthrax;Howling Furies;who
Anthrax;Howling Furies;enter
Anthrax;Howling Furies;'cause
Anthrax;Howling Furies;there
Anthrax;Howling Furies;ain't
Anthrax;Howling Furies;too
Anthrax;Howling Furies;much
Anthrax;Howling Furies;of
Anthrax;Howling Furies;that
Anthrax;Howling Furies;down
Anthrax;Howling Furies;here
Anthrax;Howling Furies;a
Anthrax;Howling Furies;clouded
Anthrax;Howling Furies;mist
Anthrax;Howling Furies;in
Anthrax;Howling Furies;a
Anthrax;Howling Furies;darkened
Anthrax;Howling Furies;tunnel
Anthrax;Howling Furies;and
Anthrax;Howling Furies;twisted
Anthrax;Howling Furies;screams
Anthrax;Howling Furies;are
Anthrax;Howling Furies;growing
Anthrax;Howling Furies;near
Anthrax;Howling Furies;now
Anthrax;Howling Furies;you're
Anthrax;Howling Furies;down
Anthrax;Howling Furies;here,
Anthrax;Howling Furies;you're
Anthrax;Howling Furies;gonna
Anthrax;Howling Furies;all
Anthrax;Howling Furies;stay
Anthrax;Howling Furies;'cause
Anthrax;Howling Furies;the
Anthrax;Howling Furies;howling
Anthrax;Howling Furies;furies
Anthrax;Howling Furies;want
Anthrax;Howling Furies;to
Anthrax;Howling Furies;come
Anthrax;Howling Furies;out
Anthrax;Howling Furies;and
Anthrax;Howling Furies;play
Anthrax;Howling Furies;you're
Anthrax;Howling Furies;headed
Anthrax;Howling Furies;for
Anthrax;Howling Furies;doom,
Anthrax;Howling Furies;you'd
Anthrax;Howling Furies;better
Anthrax;Howling Furies;prepare
Anthrax;Howling Furies;cause
Anthrax;Howling Furies;in
Anthrax;Howling Furies;this
Anthrax;Howling Furies;part
Anthrax;Howling Furies;of
Anthrax;Howling Furies;the
Anthrax;Howling Furies;woods
Anthrax;Howling Furies;almost
Anthrax;Howling Furies;anything's
Anthrax;Howling Furies;fair,
Anthrax;Howling Furies;yeah
Anthrax;Howling Furies;you
Anthrax;Howling Furies;lied
Anthrax;Howling Furies;and
Anthrax;Howling Furies;cheated
Anthrax;Howling Furies;in
Anthrax;Howling Furies;your
Anthrax;Howling Furies;miserable
Anthrax;Howling Furies;life
Anthrax;Howling Furies;you
Anthrax;Howling Furies;met
Anthrax;Howling Furies;your
Anthrax;Howling Furies;end
Anthrax;Howling Furies;with
Anthrax;Howling Furies;a
Anthrax;Howling Furies;butcher
Anthrax;Howling Furies;knife
Anthrax;Howling Furies;we
Anthrax;Howling Furies;laughed
Anthrax;Howling Furies;when
Anthrax;Howling Furies;you
Anthrax;Howling Furies;died,
Anthrax;Howling Furies;you
Anthrax;Howling Furies;sit
Anthrax;Howling Furies;in
Anthrax;Howling Furies;your
Anthrax;Howling Furies;grave
Anthrax;Howling Furies;just
Anthrax;Howling Furies;waiting
Anthrax;Howling Furies;to
Anthrax;Howling Furies;turn
Anthrax;Howling Furies;into
Anthrax;Howling Furies;satan's
Anthrax;Howling Furies;slave
