artist_name;song_title;token
Anthrax;Judas Priest;marking
Anthrax;Judas Priest;my
Anthrax;Judas Priest;time
Anthrax;Judas Priest;on
Anthrax;Judas Priest;the
Anthrax;Judas Priest;line
Anthrax;Judas Priest;filthy
Anthrax;Judas Priest;with
Anthrax;Judas Priest;the
Anthrax;Judas Priest;knowledge
Anthrax;Judas Priest;i'm
Anthrax;Judas Priest;planting
Anthrax;Judas Priest;seeds,
Anthrax;Judas Priest;spreading
Anthrax;Judas Priest;disease
Anthrax;Judas Priest;rip
Anthrax;Judas Priest;away,
Anthrax;Judas Priest;tear
Anthrax;Judas Priest;up
Anthrax;Judas Priest;the
Anthrax;Judas Priest;beams
Anthrax;Judas Priest;ravaged,
Anthrax;Judas Priest;it's
Anthrax;Judas Priest;all
Anthrax;Judas Priest;so
Anthrax;Judas Priest;damaged
Anthrax;Judas Priest;you're
Anthrax;Judas Priest;locked
Anthrax;Judas Priest;in
Anthrax;Judas Priest;disinter
Anthrax;Judas Priest;the
Anthrax;Judas Priest;ancient
Anthrax;Judas Priest;ways
Anthrax;Judas Priest;deaf
Anthrax;Judas Priest;to
Anthrax;Judas Priest;all
Anthrax;Judas Priest;that
Anthrax;Judas Priest;dare
Anthrax;Judas Priest;to
Anthrax;Judas Priest;pray
Anthrax;Judas Priest;ravaged,
Anthrax;Judas Priest;never
Anthrax;Judas Priest;as
Anthrax;Judas Priest;savage
Anthrax;Judas Priest;and
Anthrax;Judas Priest;that's
Anthrax;Judas Priest;the
Anthrax;Judas Priest;price
Anthrax;Judas Priest;you
Anthrax;Judas Priest;pay,
Anthrax;Judas Priest;open
Anthrax;Judas Priest;the
Anthrax;Judas Priest;door
Anthrax;Judas Priest;marking
Anthrax;Judas Priest;my
Anthrax;Judas Priest;time
Anthrax;Judas Priest;on
Anthrax;Judas Priest;the
Anthrax;Judas Priest;line
Anthrax;Judas Priest;filthy
Anthrax;Judas Priest;with
Anthrax;Judas Priest;the
Anthrax;Judas Priest;knowledge
Anthrax;Judas Priest;i'm
Anthrax;Judas Priest;planting
Anthrax;Judas Priest;seeds,
Anthrax;Judas Priest;spreading
Anthrax;Judas Priest;disease
Anthrax;Judas Priest;rip
Anthrax;Judas Priest;away,
Anthrax;Judas Priest;tear
Anthrax;Judas Priest;up
Anthrax;Judas Priest;the
Anthrax;Judas Priest;beams
Anthrax;Judas Priest;ravaged,
Anthrax;Judas Priest;it's
Anthrax;Judas Priest;all
Anthrax;Judas Priest;so
Anthrax;Judas Priest;damaged
Anthrax;Judas Priest;you're
Anthrax;Judas Priest;locked
Anthrax;Judas Priest;in
Anthrax;Judas Priest;disinter
Anthrax;Judas Priest;the
Anthrax;Judas Priest;ancient
Anthrax;Judas Priest;ways
Anthrax;Judas Priest;deaf
Anthrax;Judas Priest;to
Anthrax;Judas Priest;all
Anthrax;Judas Priest;that
Anthrax;Judas Priest;dare
Anthrax;Judas Priest;to
Anthrax;Judas Priest;pray
Anthrax;Judas Priest;ravaged,
Anthrax;Judas Priest;never
Anthrax;Judas Priest;as
