artist_name;song_title;token
Artic Monkeys;Fireside;i
Artic Monkeys;Fireside;can't
Artic Monkeys;Fireside;explain
Artic Monkeys;Fireside;but
Artic Monkeys;Fireside;i
Artic Monkeys;Fireside;want
Artic Monkeys;Fireside;to
Artic Monkeys;Fireside;try
Artic Monkeys;Fireside;there
Artic Monkeys;Fireside;this
Artic Monkeys;Fireside;image
Artic Monkeys;Fireside;of
Artic Monkeys;Fireside;you
Artic Monkeys;Fireside;and
Artic Monkeys;Fireside;i
Artic Monkeys;Fireside;and
Artic Monkeys;Fireside;it
Artic Monkeys;Fireside;goes
Artic Monkeys;Fireside;dancing
Artic Monkeys;Fireside;by
Artic Monkeys;Fireside;in
Artic Monkeys;Fireside;the
Artic Monkeys;Fireside;morning
Artic Monkeys;Fireside;and
Artic Monkeys;Fireside;in
Artic Monkeys;Fireside;the
Artic Monkeys;Fireside;night
Artic Monkeys;Fireside;time
Artic Monkeys;Fireside;there
Artic Monkeys;Fireside;all
Artic Monkeys;Fireside;these
Artic Monkeys;Fireside;secrets
Artic Monkeys;Fireside;that
Artic Monkeys;Fireside;i
Artic Monkeys;Fireside;can't
Artic Monkeys;Fireside;keep
Artic Monkeys;Fireside;like
Artic Monkeys;Fireside;in
Artic Monkeys;Fireside;my
Artic Monkeys;Fireside;heart
Artic Monkeys;Fireside;there
Artic Monkeys;Fireside;that
Artic Monkeys;Fireside;hotel
Artic Monkeys;Fireside;suite
Artic Monkeys;Fireside;and
Artic Monkeys;Fireside;you
Artic Monkeys;Fireside;lived
Artic Monkeys;Fireside;there
Artic Monkeys;Fireside;so
Artic Monkeys;Fireside;long
Artic Monkeys;Fireside;it
Artic Monkeys;Fireside;kinda
Artic Monkeys;Fireside;strange
Artic Monkeys;Fireside;now
Artic Monkeys;Fireside;you're
Artic Monkeys;Fireside;gone
Artic Monkeys;Fireside;i
Artic Monkeys;Fireside;can't
Artic Monkeys;Fireside;explain
Artic Monkeys;Fireside;but
Artic Monkeys;Fireside;i
Artic Monkeys;Fireside;want
Artic Monkeys;Fireside;to
Artic Monkeys;Fireside;try
Artic Monkeys;Fireside;there
Artic Monkeys;Fireside;this
Artic Monkeys;Fireside;image
Artic Monkeys;Fireside;of
Artic Monkeys;Fireside;you
Artic Monkeys;Fireside;and
Artic Monkeys;Fireside;i
Artic Monkeys;Fireside;and
Artic Monkeys;Fireside;it
Artic Monkeys;Fireside;goes
Artic Monkeys;Fireside;dancing
Artic Monkeys;Fireside;by
Artic Monkeys;Fireside;in
Artic Monkeys;Fireside;the
Artic Monkeys;Fireside;morning
Artic Monkeys;Fireside;and
Artic Monkeys;Fireside;in
Artic Monkeys;Fireside;the
Artic Monkeys;Fireside;night
Artic Monkeys;Fireside;time
Artic Monkeys;Fireside;there
Artic Monkeys;Fireside;all
Artic Monkeys;Fireside;these
Artic Monkeys;Fireside;secrets
Artic Monkeys;Fireside;that
Artic Monkeys;Fireside;i
Artic Monkeys;Fireside;can't
Artic Monkeys;Fireside;keep
Artic Monkeys;Fireside;like
Artic Monkeys;Fireside;in
Artic Monkeys;Fireside;my
Artic Monkeys;Fireside;heart
Artic Monkeys;Fireside;there
Artic Monkeys;Fireside;that
Artic Monkeys;Fireside;hotel
Artic Monkeys;Fireside;suite
Artic Monkeys;Fireside;and
Artic Monkeys;Fireside;you
Artic Monkeys;Fireside;lived
Artic Monkeys;Fireside;there
Artic Monkeys;Fireside;so
Artic Monkeys;Fireside;long
Artic Monkeys;Fireside;it
Artic Monkeys;Fireside;kinda
Artic Monkeys;Fireside;strange
Artic Monkeys;Fireside;now
Artic Monkeys;Fireside;you're
Artic Monkeys;Fireside;gone
Artic Monkeys;Fireside;i'm
Artic Monkeys;Fireside;not
Artic Monkeys;Fireside;sure
Artic Monkeys;Fireside;if
Artic Monkeys;Fireside;i
Artic Monkeys;Fireside;should
Artic Monkeys;Fireside;show
Artic Monkeys;Fireside;you
Artic Monkeys;Fireside;what
Artic Monkeys;Fireside;i've
Artic Monkeys;Fireside;found
Artic Monkeys;Fireside;has
Artic Monkeys;Fireside;it
Artic Monkeys;Fireside;gone
Artic Monkeys;Fireside;for
Artic Monkeys;Fireside;good
Artic Monkeys;Fireside;or
Artic Monkeys;Fireside;is
Artic Monkeys;Fireside;it
Artic Monkeys;Fireside;coming
Artic Monkeys;Fireside;back
Artic Monkeys;Fireside;around
Artic Monkeys;Fireside;isn't
Artic Monkeys;Fireside;it
Artic Monkeys;Fireside;hard
Artic Monkeys;Fireside;to
Artic Monkeys;Fireside;make
Artic Monkeys;Fireside;up
Artic Monkeys;Fireside;your
Artic Monkeys;Fireside;mind
Artic Monkeys;Fireside;when
Artic Monkeys;Fireside;you're
Artic Monkeys;Fireside;losing
Artic Monkeys;Fireside;and
Artic Monkeys;Fireside;your
Artic Monkeys;Fireside;fuse
Artic Monkeys;Fireside;is
Artic Monkeys;Fireside;fireside
Artic Monkeys;Fireside;there
Artic Monkeys;Fireside;all
Artic Monkeys;Fireside;those
Artic Monkeys;Fireside;places
Artic Monkeys;Fireside;we
Artic Monkeys;Fireside;used
Artic Monkeys;Fireside;to
Artic Monkeys;Fireside;go
Artic Monkeys;Fireside;and
Artic Monkeys;Fireside;i
Artic Monkeys;Fireside;suspect
Artic Monkeys;Fireside;you
Artic Monkeys;Fireside;already
Artic Monkeys;Fireside;know
Artic Monkeys;Fireside;but
Artic Monkeys;Fireside;that
Artic Monkeys;Fireside;place
Artic Monkeys;Fireside;on
Artic Monkeys;Fireside;memory
Artic Monkeys;Fireside;lane
Artic Monkeys;Fireside;you
Artic Monkeys;Fireside;liked
Artic Monkeys;Fireside;still
Artic Monkeys;Fireside;looks
Artic Monkeys;Fireside;the
Artic Monkeys;Fireside;same
Artic Monkeys;Fireside;but
Artic Monkeys;Fireside;something
Artic Monkeys;Fireside;about
Artic Monkeys;Fireside;it
Artic Monkeys;Fireside;changed
Artic Monkeys;Fireside;i'm
Artic Monkeys;Fireside;not
Artic Monkeys;Fireside;sure
Artic Monkeys;Fireside;if
Artic Monkeys;Fireside;i
Artic Monkeys;Fireside;should
Artic Monkeys;Fireside;show
Artic Monkeys;Fireside;you
Artic Monkeys;Fireside;what
Artic Monkeys;Fireside;i've
Artic Monkeys;Fireside;found
Artic Monkeys;Fireside;has
Artic Monkeys;Fireside;it
Artic Monkeys;Fireside;gone
Artic Monkeys;Fireside;for
Artic Monkeys;Fireside;good
Artic Monkeys;Fireside;or
Artic Monkeys;Fireside;is
Artic Monkeys;Fireside;it
Artic Monkeys;Fireside;coming
Artic Monkeys;Fireside;back
Artic Monkeys;Fireside;around
Artic Monkeys;Fireside;isn't
Artic Monkeys;Fireside;it
Artic Monkeys;Fireside;hard
Artic Monkeys;Fireside;to
Artic Monkeys;Fireside;make
Artic Monkeys;Fireside;up
Artic Monkeys;Fireside;your
Artic Monkeys;Fireside;mind
Artic Monkeys;Fireside;when
Artic Monkeys;Fireside;you're
Artic Monkeys;Fireside;losing
Artic Monkeys;Fireside;and
Artic Monkeys;Fireside;your
Artic Monkeys;Fireside;fuse
Artic Monkeys;Fireside;is
Artic Monkeys;Fireside;fireside
Artic Monkeys;Fireside;and
Artic Monkeys;Fireside;i
Artic Monkeys;Fireside;thought
Artic Monkeys;Fireside;i
Artic Monkeys;Fireside;was
Artic Monkeys;Fireside;yours
Artic Monkeys;Fireside;forever
Artic Monkeys;Fireside;maybe
Artic Monkeys;Fireside;i
Artic Monkeys;Fireside;was
Artic Monkeys;Fireside;mistaken
Artic Monkeys;Fireside;but
Artic Monkeys;Fireside;i
Artic Monkeys;Fireside;just
Artic Monkeys;Fireside;cannot
Artic Monkeys;Fireside;manage
Artic Monkeys;Fireside;to
Artic Monkeys;Fireside;make
Artic Monkeys;Fireside;it
Artic Monkeys;Fireside;through
Artic Monkeys;Fireside;the
Artic Monkeys;Fireside;day
Artic Monkeys;Fireside;without
Artic Monkeys;Fireside;thinking
Artic Monkeys;Fireside;of
Artic Monkeys;Fireside;you
Artic Monkeys;Fireside;lately
Artic Monkeys;Fireside;i'm
Artic Monkeys;Fireside;not
Artic Monkeys;Fireside;sure
Artic Monkeys;Fireside;if
Artic Monkeys;Fireside;i
Artic Monkeys;Fireside;should
Artic Monkeys;Fireside;show
Artic Monkeys;Fireside;you
Artic Monkeys;Fireside;what
Artic Monkeys;Fireside;i've
Artic Monkeys;Fireside;found
Artic Monkeys;Fireside;has
Artic Monkeys;Fireside;it
Artic Monkeys;Fireside;gone
Artic Monkeys;Fireside;for
Artic Monkeys;Fireside;good
Artic Monkeys;Fireside;or
Artic Monkeys;Fireside;is
Artic Monkeys;Fireside;it
Artic Monkeys;Fireside;coming
Artic Monkeys;Fireside;back
Artic Monkeys;Fireside;around
Artic Monkeys;Fireside;isn't
Artic Monkeys;Fireside;it
Artic Monkeys;Fireside;hard
Artic Monkeys;Fireside;to
Artic Monkeys;Fireside;make
Artic Monkeys;Fireside;up
Artic Monkeys;Fireside;your
Artic Monkeys;Fireside;mind
Artic Monkeys;Fireside;when
Artic Monkeys;Fireside;you're
Artic Monkeys;Fireside;losing
Artic Monkeys;Fireside;and
Artic Monkeys;Fireside;your
Artic Monkeys;Fireside;fuse
Artic Monkeys;Fireside;is
Artic Monkeys;Fireside;fireside
