artist_name;song_title;token
Artic Monkeys;She's Thunderstorms;she
Artic Monkeys;She's Thunderstorms;thunderstorms
Artic Monkeys;She's Thunderstorms;lying
Artic Monkeys;She's Thunderstorms;on
Artic Monkeys;She's Thunderstorms;her
Artic Monkeys;She's Thunderstorms;front
Artic Monkeys;She's Thunderstorms;up
Artic Monkeys;She's Thunderstorms;against
Artic Monkeys;She's Thunderstorms;the
Artic Monkeys;She's Thunderstorms;wall
Artic Monkeys;She's Thunderstorms;she
Artic Monkeys;She's Thunderstorms;thunderstorms
Artic Monkeys;She's Thunderstorms;i've
Artic Monkeys;She's Thunderstorms;been
Artic Monkeys;She's Thunderstorms;feeling
Artic Monkeys;She's Thunderstorms;foolish
Artic Monkeys;She's Thunderstorms;you
Artic Monkeys;She's Thunderstorms;should
Artic Monkeys;She's Thunderstorms;try
Artic Monkeys;She's Thunderstorms;it
Artic Monkeys;She's Thunderstorms;she
Artic Monkeys;She's Thunderstorms;came
Artic Monkeys;She's Thunderstorms;and
Artic Monkeys;She's Thunderstorms;substituted
Artic Monkeys;She's Thunderstorms;the
Artic Monkeys;She's Thunderstorms;peace
Artic Monkeys;She's Thunderstorms;and
Artic Monkeys;She's Thunderstorms;quiet
Artic Monkeys;She's Thunderstorms;for
Artic Monkeys;She's Thunderstorms;acrobatic
Artic Monkeys;She's Thunderstorms;blood
Artic Monkeys;She's Thunderstorms;flow
Artic Monkeys;She's Thunderstorms;concertina
Artic Monkeys;She's Thunderstorms;cheating
Artic Monkeys;She's Thunderstorms;heartbeat
Artic Monkeys;She's Thunderstorms;rapid
Artic Monkeys;She's Thunderstorms;fire
Artic Monkeys;She's Thunderstorms;she
Artic Monkeys;She's Thunderstorms;thunderstorms
Artic Monkeys;She's Thunderstorms;lying
Artic Monkeys;She's Thunderstorms;on
Artic Monkeys;She's Thunderstorms;her
Artic Monkeys;She's Thunderstorms;front
Artic Monkeys;She's Thunderstorms;up
Artic Monkeys;She's Thunderstorms;against
Artic Monkeys;She's Thunderstorms;the
Artic Monkeys;She's Thunderstorms;wall
Artic Monkeys;She's Thunderstorms;she
Artic Monkeys;She's Thunderstorms;thunderstorms
Artic Monkeys;She's Thunderstorms;she
