artist_name;song_title;token
Aretha Franklin;Evil Gal Blues;i'm
Aretha Franklin;Evil Gal Blues;an
Aretha Franklin;Evil Gal Blues;evil
Aretha Franklin;Evil Gal Blues;gal
Aretha Franklin;Evil Gal Blues;don't
Aretha Franklin;Evil Gal Blues;you
Aretha Franklin;Evil Gal Blues;bother
Aretha Franklin;Evil Gal Blues;with
Aretha Franklin;Evil Gal Blues;me,
Aretha Franklin;Evil Gal Blues;no
Aretha Franklin;Evil Gal Blues;i
Aretha Franklin;Evil Gal Blues;said
Aretha Franklin;Evil Gal Blues;i'm
Aretha Franklin;Evil Gal Blues;an
Aretha Franklin;Evil Gal Blues;evil
Aretha Franklin;Evil Gal Blues;gal
Aretha Franklin;Evil Gal Blues;don't
Aretha Franklin;Evil Gal Blues;you
Aretha Franklin;Evil Gal Blues;mess
Aretha Franklin;Evil Gal Blues;around
Aretha Franklin;Evil Gal Blues;with
Aretha Franklin;Evil Gal Blues;me,
Aretha Franklin;Evil Gal Blues;mmhmm
Aretha Franklin;Evil Gal Blues;well
Aretha Franklin;Evil Gal Blues;i'll
Aretha Franklin;Evil Gal Blues;empty
Aretha Franklin;Evil Gal Blues;your
Aretha Franklin;Evil Gal Blues;pockets
Aretha Franklin;Evil Gal Blues;and
Aretha Franklin;Evil Gal Blues;fill
Aretha Franklin;Evil Gal Blues;you
Aretha Franklin;Evil Gal Blues;with
Aretha Franklin;Evil Gal Blues;misery,
Aretha Franklin;Evil Gal Blues;yes
Aretha Franklin;Evil Gal Blues;i
Aretha Franklin;Evil Gal Blues;will!
Aretha Franklin;Evil Gal Blues;if
Aretha Franklin;Evil Gal Blues;you
Aretha Franklin;Evil Gal Blues;tell
Aretha Franklin;Evil Gal Blues;me
Aretha Franklin;Evil Gal Blues;good
Aretha Franklin;Evil Gal Blues;mornin'
Aretha Franklin;Evil Gal Blues;i'm
Aretha Franklin;Evil Gal Blues;gon'
Aretha Franklin;Evil Gal Blues;tell
Aretha Franklin;Evil Gal Blues;you
Aretha Franklin;Evil Gal Blues;that's
Aretha Franklin;Evil Gal Blues;a
Aretha Franklin;Evil Gal Blues;lie
Aretha Franklin;Evil Gal Blues;if
Aretha Franklin;Evil Gal Blues;you
Aretha Franklin;Evil Gal Blues;say
Aretha Franklin;Evil Gal Blues;hello
Aretha Franklin;Evil Gal Blues;baby
Aretha Franklin;Evil Gal Blues;i'mma
Aretha Franklin;Evil Gal Blues;give
Aretha Franklin;Evil Gal Blues;you
Aretha Franklin;Evil Gal Blues;the
Aretha Franklin;Evil Gal Blues;evil
Aretha Franklin;Evil Gal Blues;eye
Aretha Franklin;Evil Gal Blues;i'm
Aretha Franklin;Evil Gal Blues;an
Aretha Franklin;Evil Gal Blues;evil
Aretha Franklin;Evil Gal Blues;gal
Aretha Franklin;Evil Gal Blues;don't
Aretha Franklin;Evil Gal Blues;you
Aretha Franklin;Evil Gal Blues;bother
Aretha Franklin;Evil Gal Blues;with
Aretha Franklin;Evil Gal Blues;me,
Aretha Franklin;Evil Gal Blues;no
Aretha Franklin;Evil Gal Blues;i
Aretha Franklin;Evil Gal Blues;said
Aretha Franklin;Evil Gal Blues;i'm
Aretha Franklin;Evil Gal Blues;an
Aretha Franklin;Evil Gal Blues;evil
Aretha Franklin;Evil Gal Blues;gal
Aretha Franklin;Evil Gal Blues;don't
Aretha Franklin;Evil Gal Blues;you
Aretha Franklin;Evil Gal Blues;mess
Aretha Franklin;Evil Gal Blues;around
Aretha Franklin;Evil Gal Blues;with
Aretha Franklin;Evil Gal Blues;me,
Aretha Franklin;Evil Gal Blues;mmhmm
Aretha Franklin;Evil Gal Blues;well
Aretha Franklin;Evil Gal Blues;i'll
Aretha Franklin;Evil Gal Blues;empty
Aretha Franklin;Evil Gal Blues;your
Aretha Franklin;Evil Gal Blues;pockets
Aretha Franklin;Evil Gal Blues;and
Aretha Franklin;Evil Gal Blues;fill
Aretha Franklin;Evil Gal Blues;you
Aretha Franklin;Evil Gal Blues;with
Aretha Franklin;Evil Gal Blues;misery,
Aretha Franklin;Evil Gal Blues;yes
Aretha Franklin;Evil Gal Blues;i
Aretha Franklin;Evil Gal Blues;will!
Aretha Franklin;Evil Gal Blues;if
Aretha Franklin;Evil Gal Blues;you
Aretha Franklin;Evil Gal Blues;tell
Aretha Franklin;Evil Gal Blues;me
Aretha Franklin;Evil Gal Blues;good
Aretha Franklin;Evil Gal Blues;mornin'
Aretha Franklin;Evil Gal Blues;i'm
Aretha Franklin;Evil Gal Blues;gon'
Aretha Franklin;Evil Gal Blues;tell
Aretha Franklin;Evil Gal Blues;you
Aretha Franklin;Evil Gal Blues;that's
Aretha Franklin;Evil Gal Blues;a
Aretha Franklin;Evil Gal Blues;lie
Aretha Franklin;Evil Gal Blues;if
Aretha Franklin;Evil Gal Blues;you
Aretha Franklin;Evil Gal Blues;say
Aretha Franklin;Evil Gal Blues;hello
Aretha Franklin;Evil Gal Blues;baby
Aretha Franklin;Evil Gal Blues;i'mma
Aretha Franklin;Evil Gal Blues;give
