artist_name;song_title;token
Aretha Franklin;Here We Go Again;come
Aretha Franklin;Here We Go Again;on
Aretha Franklin;Here We Go Again;now
Aretha Franklin;Here We Go Again;oh
Aretha Franklin;Here We Go Again;oh
Aretha Franklin;Here We Go Again;oh
Aretha Franklin;Here We Go Again;oh
Aretha Franklin;Here We Go Again;oh
Aretha Franklin;Here We Go Again;here
Aretha Franklin;Here We Go Again;we,
Aretha Franklin;Here We Go Again;here
Aretha Franklin;Here We Go Again;we,
Aretha Franklin;Here We Go Again;here
Aretha Franklin;Here We Go Again;we
Aretha Franklin;Here We Go Again;go
Aretha Franklin;Here We Go Again;again
Aretha Franklin;Here We Go Again;well,
Aretha Franklin;Here We Go Again;boy
Aretha Franklin;Here We Go Again;i
Aretha Franklin;Here We Go Again;caught
Aretha Franklin;Here We Go Again;you
Aretha Franklin;Here We Go Again;slipping
Aretha Franklin;Here We Go Again;(mmm),
Aretha Franklin;Here We Go Again;ooh,
Aretha Franklin;Here We Go Again;you
Aretha Franklin;Here We Go Again;must
Aretha Franklin;Here We Go Again;be
Aretha Franklin;Here We Go Again;trippin'
Aretha Franklin;Here We Go Again;'cause
Aretha Franklin;Here We Go Again;now
Aretha Franklin;Here We Go Again;i
Aretha Franklin;Here We Go Again;know,
Aretha Franklin;Here We Go Again;oh,
Aretha Franklin;Here We Go Again;yes
Aretha Franklin;Here We Go Again;i
Aretha Franklin;Here We Go Again;know,
Aretha Franklin;Here We Go Again;mmm
Aretha Franklin;Here We Go Again;about
Aretha Franklin;Here We Go Again;your
Aretha Franklin;Here We Go Again;other
Aretha Franklin;Here We Go Again;girls
Aretha Franklin;Here We Go Again;in
Aretha Franklin;Here We Go Again;your
Aretha Franklin;Here We Go Again;past,
Aretha Franklin;Here We Go Again;in
Aretha Franklin;Here We Go Again;your
Aretha Franklin;Here We Go Again;black
Aretha Franklin;Here We Go Again;book
Aretha Franklin;Here We Go Again;a
Aretha Franklin;Here We Go Again;very
Aretha Franklin;Here We Go Again;long
Aretha Franklin;Here We Go Again;time
Aretha Franklin;Here We Go Again;ago,
Aretha Franklin;Here We Go Again;oh
Aretha Franklin;Here We Go Again;oh
Aretha Franklin;Here We Go Again;oh
Aretha Franklin;Here We Go Again;oh
Aretha Franklin;Here We Go Again;well,
Aretha Franklin;Here We Go Again;you
Aretha Franklin;Here We Go Again;must
Aretha Franklin;Here We Go Again;think
Aretha Franklin;Here We Go Again;i'm
Aretha Franklin;Here We Go Again;crazy
Aretha Franklin;Here We Go Again;you
Aretha Franklin;Here We Go Again;must
