artist_name;song_title;token
Aretha Franklin;It's My Turn;i
Aretha Franklin;It's My Turn;can't
Aretha Franklin;It's My Turn;cover
Aretha Franklin;It's My Turn;up
Aretha Franklin;It's My Turn;my
Aretha Franklin;It's My Turn;feelings
Aretha Franklin;It's My Turn;in
Aretha Franklin;It's My Turn;the
Aretha Franklin;It's My Turn;name
Aretha Franklin;It's My Turn;of
Aretha Franklin;It's My Turn;love
Aretha Franklin;It's My Turn;or
Aretha Franklin;It's My Turn;play
Aretha Franklin;It's My Turn;it
Aretha Franklin;It's My Turn;safe
Aretha Franklin;It's My Turn;for
Aretha Franklin;It's My Turn;a
Aretha Franklin;It's My Turn;while
Aretha Franklin;It's My Turn;that
Aretha Franklin;It's My Turn;was
Aretha Franklin;It's My Turn;easy
Aretha Franklin;It's My Turn;and
Aretha Franklin;It's My Turn;if
Aretha Franklin;It's My Turn;living
Aretha Franklin;It's My Turn;for
Aretha Franklin;It's My Turn;myself
Aretha Franklin;It's My Turn;is
Aretha Franklin;It's My Turn;what
Aretha Franklin;It's My Turn;i'm
Aretha Franklin;It's My Turn;guilty
Aretha Franklin;It's My Turn;of
Aretha Franklin;It's My Turn;go
Aretha Franklin;It's My Turn;on
Aretha Franklin;It's My Turn;and
Aretha Franklin;It's My Turn;sentence
Aretha Franklin;It's My Turn;me
Aretha Franklin;It's My Turn;i'll
Aretha Franklin;It's My Turn;still
Aretha Franklin;It's My Turn;be
Aretha Franklin;It's My Turn;free
Aretha Franklin;It's My Turn;it's
Aretha Franklin;It's My Turn;my
Aretha Franklin;It's My Turn;turn
Aretha Franklin;It's My Turn;to
Aretha Franklin;It's My Turn;see
Aretha Franklin;It's My Turn;what
Aretha Franklin;It's My Turn;i
Aretha Franklin;It's My Turn;can
Aretha Franklin;It's My Turn;see
Aretha Franklin;It's My Turn;i
Aretha Franklin;It's My Turn;hope
Aretha Franklin;It's My Turn;you'll
Aretha Franklin;It's My Turn;understand
Aretha Franklin;It's My Turn;this
Aretha Franklin;It's My Turn;time's
Aretha Franklin;It's My Turn;just
Aretha Franklin;It's My Turn;for
Aretha Franklin;It's My Turn;me
Aretha Franklin;It's My Turn;because
Aretha Franklin;It's My Turn;it's
