artist_name;song_title;token
Aretha Franklin;I Wish It Would Rain;sunshine
Aretha Franklin;I Wish It Would Rain;blue
Aretha Franklin;I Wish It Would Rain;skies
Aretha Franklin;I Wish It Would Rain;please
Aretha Franklin;I Wish It Would Rain;go
Aretha Franklin;I Wish It Would Rain;away
Aretha Franklin;I Wish It Would Rain;the
Aretha Franklin;I Wish It Would Rain;girl
Aretha Franklin;I Wish It Would Rain;has
Aretha Franklin;I Wish It Would Rain;found
Aretha Franklin;I Wish It Would Rain;another
Aretha Franklin;I Wish It Would Rain;and
Aretha Franklin;I Wish It Would Rain;gone
Aretha Franklin;I Wish It Would Rain;away.
Aretha Franklin;I Wish It Would Rain;with
Aretha Franklin;I Wish It Would Rain;her
Aretha Franklin;I Wish It Would Rain;went
Aretha Franklin;I Wish It Would Rain;my
Aretha Franklin;I Wish It Would Rain;future
Aretha Franklin;I Wish It Would Rain;my
Aretha Franklin;I Wish It Would Rain;life
Aretha Franklin;I Wish It Would Rain;is
Aretha Franklin;I Wish It Would Rain;filled
Aretha Franklin;I Wish It Would Rain;with
Aretha Franklin;I Wish It Would Rain;gloom
Aretha Franklin;I Wish It Would Rain;so
Aretha Franklin;I Wish It Would Rain;day
Aretha Franklin;I Wish It Would Rain;after
Aretha Franklin;I Wish It Would Rain;day
Aretha Franklin;I Wish It Would Rain;i
Aretha Franklin;I Wish It Would Rain;stay
Aretha Franklin;I Wish It Would Rain;locked
Aretha Franklin;I Wish It Would Rain;up
Aretha Franklin;I Wish It Would Rain;in
Aretha Franklin;I Wish It Would Rain;my
Aretha Franklin;I Wish It Would Rain;room.
Aretha Franklin;I Wish It Would Rain;i
Aretha Franklin;I Wish It Would Rain;know
Aretha Franklin;I Wish It Would Rain;to
Aretha Franklin;I Wish It Would Rain;you,
Aretha Franklin;I Wish It Would Rain;it
Aretha Franklin;I Wish It Would Rain;might
Aretha Franklin;I Wish It Would Rain;sound
Aretha Franklin;I Wish It Would Rain;strange
Aretha Franklin;I Wish It Would Rain;but
Aretha Franklin;I Wish It Would Rain;i
Aretha Franklin;I Wish It Would Rain;wish
