artist_name;song_title;token
Aretha Franklin;Love All The Hurt Away;oh
Aretha Franklin;Love All The Hurt Away;oh
Aretha Franklin;Love All The Hurt Away;oh
Aretha Franklin;Love All The Hurt Away;baby,
Aretha Franklin;Love All The Hurt Away;oh
Aretha Franklin;Love All The Hurt Away;baby,
Aretha Franklin;Love All The Hurt Away;oh
Aretha Franklin;Love All The Hurt Away;baby
Aretha Franklin;Love All The Hurt Away;i
Aretha Franklin;Love All The Hurt Away;see
Aretha Franklin;Love All The Hurt Away;myself
Aretha Franklin;Love All The Hurt Away;in
Aretha Franklin;Love All The Hurt Away;your
Aretha Franklin;Love All The Hurt Away;face,
Aretha Franklin;Love All The Hurt Away;a
Aretha Franklin;Love All The Hurt Away;reflection
Aretha Franklin;Love All The Hurt Away;of
Aretha Franklin;Love All The Hurt Away;pain
Aretha Franklin;Love All The Hurt Away;somebody
Aretha Franklin;Love All The Hurt Away;made
Aretha Franklin;Love All The Hurt Away;you
Aretha Franklin;Love All The Hurt Away;cry
Aretha Franklin;Love All The Hurt Away;over
Aretha Franklin;Love All The Hurt Away;and
Aretha Franklin;Love All The Hurt Away;over
Aretha Franklin;Love All The Hurt Away;again
Aretha Franklin;Love All The Hurt Away;still
Aretha Franklin;Love All The Hurt Away;you
Aretha Franklin;Love All The Hurt Away;and
Aretha Franklin;Love All The Hurt Away;i
Aretha Franklin;Love All The Hurt Away;made
Aretha Franklin;Love All The Hurt Away;it
Aretha Franklin;Love All The Hurt Away;through
Aretha Franklin;Love All The Hurt Away;all
Aretha Franklin;Love All The Hurt Away;of
Aretha Franklin;Love All The Hurt Away;this
Aretha Franklin;Love All The Hurt Away;for
Aretha Franklin;Love All The Hurt Away;a
Aretha Franklin;Love All The Hurt Away;reason
Aretha Franklin;Love All The Hurt Away;yes,
Aretha Franklin;Love All The Hurt Away;we
Aretha Franklin;Love All The Hurt Away;did
Aretha Franklin;Love All The Hurt Away;could
Aretha Franklin;Love All The Hurt Away;it
Aretha Franklin;Love All The Hurt Away;be
Aretha Franklin;Love All The Hurt Away;that
Aretha Franklin;Love All The Hurt Away;we
Aretha Franklin;Love All The Hurt Away;created
Aretha Franklin;Love All The Hurt Away;affair
Aretha Franklin;Love All The Hurt Away;for
Aretha Franklin;Love All The Hurt Away;all
Aretha Franklin;Love All The Hurt Away;seasons
Aretha Franklin;Love All The Hurt Away;'cause
Aretha Franklin;Love All The Hurt Away;you
Aretha Franklin;Love All The Hurt Away;and
Aretha Franklin;Love All The Hurt Away;i
Aretha Franklin;Love All The Hurt Away;were
Aretha Franklin;Love All The Hurt Away;meant
Aretha Franklin;Love All The Hurt Away;to
Aretha Franklin;Love All The Hurt Away;be
Aretha Franklin;Love All The Hurt Away;lovers
Aretha Franklin;Love All The Hurt Away;oh
Aretha Franklin;Love All The Hurt Away;oh
Aretha Franklin;Love All The Hurt Away;oh
Aretha Franklin;Love All The Hurt Away;baby,
Aretha Franklin;Love All The Hurt Away;oh
Aretha Franklin;Love All The Hurt Away;baby,
Aretha Franklin;Love All The Hurt Away;oh
