artist_name;song_title;token
Aretha Franklin;Respect;hey,
Aretha Franklin;Respect;what
Aretha Franklin;Respect;you
Aretha Franklin;Respect;want
Aretha Franklin;Respect;(oo)
Aretha Franklin;Respect;baby,
Aretha Franklin;Respect;i
Aretha Franklin;Respect;got
Aretha Franklin;Respect;(oo)
Aretha Franklin;Respect;what
Aretha Franklin;Respect;you
Aretha Franklin;Respect;need
Aretha Franklin;Respect;(oo)
Aretha Franklin;Respect;do
Aretha Franklin;Respect;you
Aretha Franklin;Respect;know
Aretha Franklin;Respect;i
Aretha Franklin;Respect;got
Aretha Franklin;Respect;it?
Aretha Franklin;Respect;(oo)
Aretha Franklin;Respect;all
Aretha Franklin;Respect;i'm
Aretha Franklin;Respect;askin'
Aretha Franklin;Respect;(oo)
Aretha Franklin;Respect;is
Aretha Franklin;Respect;for
Aretha Franklin;Respect;a
Aretha Franklin;Respect;little
Aretha Franklin;Respect;respect
Aretha Franklin;Respect;when
Aretha Franklin;Respect;you
Aretha Franklin;Respect;come
Aretha Franklin;Respect;home
Aretha Franklin;Respect;(just
Aretha Franklin;Respect;a
Aretha Franklin;Respect;little
Aretha Franklin;Respect;bit)
Aretha Franklin;Respect;hey
Aretha Franklin;Respect;baby
Aretha Franklin;Respect;(just
Aretha Franklin;Respect;a
Aretha Franklin;Respect;little
Aretha Franklin;Respect;bit)
Aretha Franklin;Respect;when
Aretha Franklin;Respect;you
Aretha Franklin;Respect;get
Aretha Franklin;Respect;home
Aretha Franklin;Respect;(just
Aretha Franklin;Respect;a
Aretha Franklin;Respect;little
Aretha Franklin;Respect;bit)
Aretha Franklin;Respect;mister
Aretha Franklin;Respect;(just
Aretha Franklin;Respect;a
Aretha Franklin;Respect;little
Aretha Franklin;Respect;bit)
Aretha Franklin;Respect;i
Aretha Franklin;Respect;ain't
Aretha Franklin;Respect;gonna
Aretha Franklin;Respect;do
Aretha Franklin;Respect;you
Aretha Franklin;Respect;wrong
Aretha Franklin;Respect;while
Aretha Franklin;Respect;you're
Aretha Franklin;Respect;gone
Aretha Franklin;Respect;hey,
Aretha Franklin;Respect;what
Aretha Franklin;Respect;you
Aretha Franklin;Respect;want
Aretha Franklin;Respect;(oo)
Aretha Franklin;Respect;baby,
Aretha Franklin;Respect;i
Aretha Franklin;Respect;got
