artist_name;song_title;token
Aretha Franklin;Walk On By;if
Aretha Franklin;Walk On By;you
Aretha Franklin;Walk On By;see
Aretha Franklin;Walk On By;me
Aretha Franklin;Walk On By;walking
Aretha Franklin;Walk On By;down
Aretha Franklin;Walk On By;the
Aretha Franklin;Walk On By;street
Aretha Franklin;Walk On By;and
Aretha Franklin;Walk On By;i
Aretha Franklin;Walk On By;start
Aretha Franklin;Walk On By;to
Aretha Franklin;Walk On By;cry
Aretha Franklin;Walk On By;each
Aretha Franklin;Walk On By;time
Aretha Franklin;Walk On By;we
Aretha Franklin;Walk On By;meet
Aretha Franklin;Walk On By;walk
Aretha Franklin;Walk On By;on
Aretha Franklin;Walk On By;by,
Aretha Franklin;Walk On By;walk
Aretha Franklin;Walk On By;on
Aretha Franklin;Walk On By;by
Aretha Franklin;Walk On By;just
Aretha Franklin;Walk On By;make
Aretha Franklin;Walk On By;believe
Aretha Franklin;Walk On By;that
Aretha Franklin;Walk On By;you
Aretha Franklin;Walk On By;don't
Aretha Franklin;Walk On By;see
Aretha Franklin;Walk On By;the
Aretha Franklin;Walk On By;tears
Aretha Franklin;Walk On By;just
Aretha Franklin;Walk On By;let
Aretha Franklin;Walk On By;me
Aretha Franklin;Walk On By;grieve
Aretha Franklin;Walk On By;in
Aretha Franklin;Walk On By;private
Aretha Franklin;Walk On By;'cause
Aretha Franklin;Walk On By;each
Aretha Franklin;Walk On By;time
Aretha Franklin;Walk On By;i
Aretha Franklin;Walk On By;see
Aretha Franklin;Walk On By;you
Aretha Franklin;Walk On By;i
Aretha Franklin;Walk On By;break
Aretha Franklin;Walk On By;down
Aretha Franklin;Walk On By;and
Aretha Franklin;Walk On By;cry
Aretha Franklin;Walk On By;so
Aretha Franklin;Walk On By;walk
Aretha Franklin;Walk On By;on
Aretha Franklin;Walk On By;by
Aretha Franklin;Walk On By;you
Aretha Franklin;Walk On By;walk
Aretha Franklin;Walk On By;on
Aretha Franklin;Walk On By;by
Aretha Franklin;Walk On By;you
Aretha Franklin;Walk On By;walk
Aretha Franklin;Walk On By;on
Aretha Franklin;Walk On By;by
Aretha Franklin;Walk On By;i
Aretha Franklin;Walk On By;just
Aretha Franklin;Walk On By;can't
Aretha Franklin;Walk On By;get
Aretha Franklin;Walk On By;over
Aretha Franklin;Walk On By;losing
Aretha Franklin;Walk On By;you
Aretha Franklin;Walk On By;if
Aretha Franklin;Walk On By;you
Aretha Franklin;Walk On By;see
Aretha Franklin;Walk On By;me
Aretha Franklin;Walk On By;walking
Aretha Franklin;Walk On By;down
Aretha Franklin;Walk On By;the
Aretha Franklin;Walk On By;street
Aretha Franklin;Walk On By;and
Aretha Franklin;Walk On By;i
Aretha Franklin;Walk On By;start
Aretha Franklin;Walk On By;to
Aretha Franklin;Walk On By;cry
Aretha Franklin;Walk On By;each
Aretha Franklin;Walk On By;time
Aretha Franklin;Walk On By;we
Aretha Franklin;Walk On By;meet
Aretha Franklin;Walk On By;walk
Aretha Franklin;Walk On By;on
Aretha Franklin;Walk On By;by,
Aretha Franklin;Walk On By;walk
Aretha Franklin;Walk On By;on
Aretha Franklin;Walk On By;by
Aretha Franklin;Walk On By;just
Aretha Franklin;Walk On By;make
Aretha Franklin;Walk On By;believe
Aretha Franklin;Walk On By;that
Aretha Franklin;Walk On By;you
Aretha Franklin;Walk On By;don't
Aretha Franklin;Walk On By;see
Aretha Franklin;Walk On By;the
Aretha Franklin;Walk On By;tears
Aretha Franklin;Walk On By;just
Aretha Franklin;Walk On By;let
Aretha Franklin;Walk On By;me
Aretha Franklin;Walk On By;grieve
Aretha Franklin;Walk On By;in
Aretha Franklin;Walk On By;private
Aretha Franklin;Walk On By;'cause
Aretha Franklin;Walk On By;each
Aretha Franklin;Walk On By;time
Aretha Franklin;Walk On By;i
Aretha Franklin;Walk On By;see
Aretha Franklin;Walk On By;you
Aretha Franklin;Walk On By;i
Aretha Franklin;Walk On By;break
Aretha Franklin;Walk On By;down
Aretha Franklin;Walk On By;and
Aretha Franklin;Walk On By;cry
Aretha Franklin;Walk On By;so
Aretha Franklin;Walk On By;walk
Aretha Franklin;Walk On By;on
Aretha Franklin;Walk On By;by
Aretha Franklin;Walk On By;you
Aretha Franklin;Walk On By;walk
Aretha Franklin;Walk On By;on
Aretha Franklin;Walk On By;by
Aretha Franklin;Walk On By;you
Aretha Franklin;Walk On By;walk
Aretha Franklin;Walk On By;on
Aretha Franklin;Walk On By;by
Aretha Franklin;Walk On By;i
Aretha Franklin;Walk On By;just
Aretha Franklin;Walk On By;can't
Aretha Franklin;Walk On By;get
Aretha Franklin;Walk On By;over
Aretha Franklin;Walk On By;losing
Aretha Franklin;Walk On By;you
Aretha Franklin;Walk On By;and
Aretha Franklin;Walk On By;so
Aretha Franklin;Walk On By;if
Aretha Franklin;Walk On By;i
Aretha Franklin;Walk On By;seem
Aretha Franklin;Walk On By;broken
Aretha Franklin;Walk On By;in
Aretha Franklin;Walk On By;two
Aretha Franklin;Walk On By;walk
Aretha Franklin;Walk On By;on
Aretha Franklin;Walk On By;by,
Aretha Franklin;Walk On By;walk
Aretha Franklin;Walk On By;on
