artist_name;song_title;token
Aretha Franklin;When You Love Me Like That;love
Aretha Franklin;When You Love Me Like That;me
Aretha Franklin;When You Love Me Like That;(love
Aretha Franklin;When You Love Me Like That;me
Aretha Franklin;When You Love Me Like That;right)
Aretha Franklin;When You Love Me Like That;come
Aretha Franklin;When You Love Me Like That;on
Aretha Franklin;When You Love Me Like That;(love
Aretha Franklin;When You Love Me Like That;me
Aretha Franklin;When You Love Me Like That;right,
Aretha Franklin;When You Love Me Like That;love
Aretha Franklin;When You Love Me Like That;me
Aretha Franklin;When You Love Me Like That;right)
Aretha Franklin;When You Love Me Like That;you
Aretha Franklin;When You Love Me Like That;got
Aretha Franklin;When You Love Me Like That;to
Aretha Franklin;When You Love Me Like That;do
Aretha Franklin;When You Love Me Like That;it
Aretha Franklin;When You Love Me Like That;to
Aretha Franklin;When You Love Me Like That;me
Aretha Franklin;When You Love Me Like That;right
Aretha Franklin;When You Love Me Like That;what
Aretha Franklin;When You Love Me Like That;could
Aretha Franklin;When You Love Me Like That;take
Aretha Franklin;When You Love Me Like That;the
Aretha Franklin;When You Love Me Like That;place
Aretha Franklin;When You Love Me Like That;of
Aretha Franklin;When You Love Me Like That;you?
Aretha Franklin;When You Love Me Like That;nothing
Aretha Franklin;When You Love Me Like That;in
Aretha Franklin;When You Love Me Like That;the
Aretha Franklin;When You Love Me Like That;whole
Aretha Franklin;When You Love Me Like That;world
Aretha Franklin;When You Love Me Like That;you've
Aretha Franklin;When You Love Me Like That;been
Aretha Franklin;When You Love Me Like That;bad
Aretha Franklin;When You Love Me Like That;boy
Aretha Franklin;When You Love Me Like That;even
Aretha Franklin;When You Love Me Like That;though
Aretha Franklin;When You Love Me Like That;i've
Aretha Franklin;When You Love Me Like That;been
Aretha Franklin;When You Love Me Like That;a
Aretha Franklin;When You Love Me Like That;good
Aretha Franklin;When You Love Me Like That;girl
Aretha Franklin;When You Love Me Like That;well
Aretha Franklin;When You Love Me Like That;the
Aretha Franklin;When You Love Me Like That;point
Aretha Franklin;When You Love Me Like That;is
Aretha Franklin;When You Love Me Like That;i'm
Aretha Franklin;When You Love Me Like That;in
Aretha Franklin;When You Love Me Like That;love
Aretha Franklin;When You Love Me Like That;and
Aretha Franklin;When You Love Me Like That;you're
Aretha Franklin;When You Love Me Like That;not
Aretha Franklin;When You Love Me Like That;acting
Aretha Franklin;When You Love Me Like That;like
Aretha Franklin;When You Love Me Like That;you
Aretha Franklin;When You Love Me Like That;should
Aretha Franklin;When You Love Me Like That;you
Aretha Franklin;When You Love Me Like That;have
Aretha Franklin;When You Love Me Like That;treated
Aretha Franklin;When You Love Me Like That;me
Aretha Franklin;When You Love Me Like That;so
Aretha Franklin;When You Love Me Like That;wrong
Aretha Franklin;When You Love Me Like That;love
Aretha Franklin;When You Love Me Like That;me
Aretha Franklin;When You Love Me Like That;(love
Aretha Franklin;When You Love Me Like That;me
Aretha Franklin;When You Love Me Like That;right)
Aretha Franklin;When You Love Me Like That;come
Aretha Franklin;When You Love Me Like That;on
Aretha Franklin;When You Love Me Like That;(love
Aretha Franklin;When You Love Me Like That;me
Aretha Franklin;When You Love Me Like That;right,
Aretha Franklin;When You Love Me Like That;love
Aretha Franklin;When You Love Me Like That;me
Aretha Franklin;When You Love Me Like That;right)
Aretha Franklin;When You Love Me Like That;you
Aretha Franklin;When You Love Me Like That;got
Aretha Franklin;When You Love Me Like That;to
Aretha Franklin;When You Love Me Like That;do
Aretha Franklin;When You Love Me Like That;it
Aretha Franklin;When You Love Me Like That;to
Aretha Franklin;When You Love Me Like That;me
