artist_name;song_title;token
Black Sabbath;Buried Alive;once
Black Sabbath;Buried Alive;upon
Black Sabbath;Buried Alive;a
Black Sabbath;Buried Alive;nightmare
Black Sabbath;Buried Alive;once
Black Sabbath;Buried Alive;upon
Black Sabbath;Buried Alive;a
Black Sabbath;Buried Alive;time
Black Sabbath;Buried Alive;you're
Black Sabbath;Buried Alive;running
Black Sabbath;Buried Alive;from
Black Sabbath;Buried Alive;temptation
Black Sabbath;Buried Alive;you
Black Sabbath;Buried Alive;got
Black Sabbath;Buried Alive;lost
Black Sabbath;Buried Alive;and
Black Sabbath;Buried Alive;found
Black Sabbath;Buried Alive;that
Black Sabbath;Buried Alive;you
Black Sabbath;Buried Alive;don't
Black Sabbath;Buried Alive;belong
Black Sabbath;Buried Alive;to
Black Sabbath;Buried Alive;anybody
Black Sabbath;Buried Alive;you're
Black Sabbath;Buried Alive;all
Black Sabbath;Buried Alive;the
Black Sabbath;Buried Alive;same
Black Sabbath;Buried Alive;just
Black Sabbath;Buried Alive;another
Black Sabbath;Buried Alive;number
Black Sabbath;Buried Alive;cross
Black Sabbath;Buried Alive;it
Black Sabbath;Buried Alive;out
Black Sabbath;Buried Alive;whenever
Black Sabbath;Buried Alive;you
Black Sabbath;Buried Alive;don't
Black Sabbath;Buried Alive;behave
Black Sabbath;Buried Alive;someone
Black Sabbath;Buried Alive;got
Black Sabbath;Buried Alive;the
Black Sabbath;Buried Alive;doctor
Black Sabbath;Buried Alive;he
Black Sabbath;Buried Alive;knows
Black Sabbath;Buried Alive;what
Black Sabbath;Buried Alive;to
Black Sabbath;Buried Alive;do
Black Sabbath;Buried Alive;throw
Black Sabbath;Buried Alive;some
Black Sabbath;Buried Alive;bones
Black Sabbath;Buried Alive;and
Black Sabbath;Buried Alive;mumble
Black Sabbath;Buried Alive;the
Black Sabbath;Buried Alive;devil's
Black Sabbath;Buried Alive;inside
Black Sabbath;Buried Alive;of
Black Sabbath;Buried Alive;you
Black Sabbath;Buried Alive;once
Black Sabbath;Buried Alive;upon
Black Sabbath;Buried Alive;a
Black Sabbath;Buried Alive;nightmare
Black Sabbath;Buried Alive;once
Black Sabbath;Buried Alive;upon
Black Sabbath;Buried Alive;a
Black Sabbath;Buried Alive;time
Black Sabbath;Buried Alive;you're
Black Sabbath;Buried Alive;running
Black Sabbath;Buried Alive;from
Black Sabbath;Buried Alive;temptation
Black Sabbath;Buried Alive;you
Black Sabbath;Buried Alive;got
Black Sabbath;Buried Alive;lost
Black Sabbath;Buried Alive;and
Black Sabbath;Buried Alive;found
Black Sabbath;Buried Alive;that
Black Sabbath;Buried Alive;you
Black Sabbath;Buried Alive;don't
