artist_name;song_title;token
Black Sabbath;Headless Cross;look
Black Sabbath;Headless Cross;through
Black Sabbath;Headless Cross;the
Black Sabbath;Headless Cross;people,
Black Sabbath;Headless Cross;and
Black Sabbath;Headless Cross;on
Black Sabbath;Headless Cross;through
Black Sabbath;Headless Cross;the
Black Sabbath;Headless Cross;mist
Black Sabbath;Headless Cross;to
Black Sabbath;Headless Cross;the
Black Sabbath;Headless Cross;hill
Black Sabbath;Headless Cross;of
Black Sabbath;Headless Cross;the
Black Sabbath;Headless Cross;headless
Black Sabbath;Headless Cross;cross
Black Sabbath;Headless Cross;where
Black Sabbath;Headless Cross;all
Black Sabbath;Headless Cross;witches
Black Sabbath;Headless Cross;meet,
Black Sabbath;Headless Cross;on
Black Sabbath;Headless Cross;a
Black Sabbath;Headless Cross;night
Black Sabbath;Headless Cross;such
Black Sabbath;Headless Cross;as
Black Sabbath;Headless Cross;this
Black Sabbath;Headless Cross;and
Black Sabbath;Headless Cross;the
Black Sabbath;Headless Cross;power
Black Sabbath;Headless Cross;of
Black Sabbath;Headless Cross;darkness
Black Sabbath;Headless Cross;is
Black Sabbath;Headless Cross;host
Black Sabbath;Headless Cross;they
Black Sabbath;Headless Cross;come
Black Sabbath;Headless Cross;face
Black Sabbath;Headless Cross;to
Black Sabbath;Headless Cross;face,
Black Sabbath;Headless Cross;eye
Black Sabbath;Headless Cross;to
Black Sabbath;Headless Cross;eye,
Black Sabbath;Headless Cross;soul
Black Sabbath;Headless Cross;to
Black Sabbath;Headless Cross;soul
Black Sabbath;Headless Cross;with
Black Sabbath;Headless Cross;and
Black Sabbath;Headless Cross;angel
Black Sabbath;Headless Cross;that
Black Sabbath;Headless Cross;fell
Black Sabbath;Headless Cross;from
Black Sabbath;Headless Cross;the
Black Sabbath;Headless Cross;sky
Black Sabbath;Headless Cross;borne
Black Sabbath;Headless Cross;on
Black Sabbath;Headless Cross;the
Black Sabbath;Headless Cross;air,
Black Sabbath;Headless Cross;the
Black Sabbath;Headless Cross;screams
Black Sabbath;Headless Cross;and
Black Sabbath;Headless Cross;the
Black Sabbath;Headless Cross;wails
Black Sabbath;Headless Cross;look
Black Sabbath;Headless Cross;through
Black Sabbath;Headless Cross;the
Black Sabbath;Headless Cross;people,
Black Sabbath;Headless Cross;and
Black Sabbath;Headless Cross;on
Black Sabbath;Headless Cross;through
Black Sabbath;Headless Cross;the
Black Sabbath;Headless Cross;mist
Black Sabbath;Headless Cross;to
Black Sabbath;Headless Cross;the
Black Sabbath;Headless Cross;hill
Black Sabbath;Headless Cross;of
Black Sabbath;Headless Cross;the
Black Sabbath;Headless Cross;headless
Black Sabbath;Headless Cross;cross
Black Sabbath;Headless Cross;where
Black Sabbath;Headless Cross;all
Black Sabbath;Headless Cross;witches
Black Sabbath;Headless Cross;meet,
Black Sabbath;Headless Cross;on
Black Sabbath;Headless Cross;a
Black Sabbath;Headless Cross;night
Black Sabbath;Headless Cross;such
Black Sabbath;Headless Cross;as
Black Sabbath;Headless Cross;this
