artist_name;song_title;token
Black Sabbath;Into The Void;rocket
Black Sabbath;Into The Void;engines
Black Sabbath;Into The Void;burning
Black Sabbath;Into The Void;fuel
Black Sabbath;Into The Void;so
Black Sabbath;Into The Void;fast
Black Sabbath;Into The Void;up
Black Sabbath;Into The Void;into
Black Sabbath;Into The Void;the
Black Sabbath;Into The Void;night
Black Sabbath;Into The Void;sky
Black Sabbath;Into The Void;they
Black Sabbath;Into The Void;blast
Black Sabbath;Into The Void;through
Black Sabbath;Into The Void;the
Black Sabbath;Into The Void;universe
Black Sabbath;Into The Void;the
Black Sabbath;Into The Void;engines
Black Sabbath;Into The Void;whine
Black Sabbath;Into The Void;could
Black Sabbath;Into The Void;it
Black Sabbath;Into The Void;be
Black Sabbath;Into The Void;the
Black Sabbath;Into The Void;end
Black Sabbath;Into The Void;of
Black Sabbath;Into The Void;man
Black Sabbath;Into The Void;and
Black Sabbath;Into The Void;time?
Black Sabbath;Into The Void;back
Black Sabbath;Into The Void;on
Black Sabbath;Into The Void;earth
Black Sabbath;Into The Void;the
Black Sabbath;Into The Void;flame
Black Sabbath;Into The Void;of
Black Sabbath;Into The Void;life
Black Sabbath;Into The Void;burns
Black Sabbath;Into The Void;low
Black Sabbath;Into The Void;everywhere
Black Sabbath;Into The Void;is
Black Sabbath;Into The Void;misery
Black Sabbath;Into The Void;and
Black Sabbath;Into The Void;woe
Black Sabbath;Into The Void;pollution
Black Sabbath;Into The Void;kills
Black Sabbath;Into The Void;the
Black Sabbath;Into The Void;air,
Black Sabbath;Into The Void;the
Black Sabbath;Into The Void;land
Black Sabbath;Into The Void;and
Black Sabbath;Into The Void;sea
Black Sabbath;Into The Void;man
Black Sabbath;Into The Void;prepares
Black Sabbath;Into The Void;to
Black Sabbath;Into The Void;meet
Black Sabbath;Into The Void;his
Black Sabbath;Into The Void;destiny,
Black Sabbath;Into The Void;yeah
Black Sabbath;Into The Void;rocket
Black Sabbath;Into The Void;engines
Black Sabbath;Into The Void;burning
Black Sabbath;Into The Void;fuel
Black Sabbath;Into The Void;so
Black Sabbath;Into The Void;fast
Black Sabbath;Into The Void;up
Black Sabbath;Into The Void;into
Black Sabbath;Into The Void;the
Black Sabbath;Into The Void;night
Black Sabbath;Into The Void;sky
Black Sabbath;Into The Void;they
Black Sabbath;Into The Void;blast
Black Sabbath;Into The Void;through
Black Sabbath;Into The Void;the
Black Sabbath;Into The Void;universe
Black Sabbath;Into The Void;the
Black Sabbath;Into The Void;engines
Black Sabbath;Into The Void;whine
Black Sabbath;Into The Void;could
Black Sabbath;Into The Void;it
Black Sabbath;Into The Void;be
Black Sabbath;Into The Void;the
Black Sabbath;Into The Void;end
Black Sabbath;Into The Void;of
Black Sabbath;Into The Void;man
Black Sabbath;Into The Void;and
Black Sabbath;Into The Void;time?
Black Sabbath;Into The Void;back
Black Sabbath;Into The Void;on
Black Sabbath;Into The Void;earth
Black Sabbath;Into The Void;the
Black Sabbath;Into The Void;flame
Black Sabbath;Into The Void;of
Black Sabbath;Into The Void;life
Black Sabbath;Into The Void;burns
Black Sabbath;Into The Void;low
Black Sabbath;Into The Void;everywhere
Black Sabbath;Into The Void;is
Black Sabbath;Into The Void;misery
Black Sabbath;Into The Void;and
Black Sabbath;Into The Void;woe
Black Sabbath;Into The Void;pollution
Black Sabbath;Into The Void;kills
Black Sabbath;Into The Void;the
Black Sabbath;Into The Void;air,
Black Sabbath;Into The Void;the
Black Sabbath;Into The Void;land
Black Sabbath;Into The Void;and
Black Sabbath;Into The Void;sea
Black Sabbath;Into The Void;man
Black Sabbath;Into The Void;prepares
Black Sabbath;Into The Void;to
Black Sabbath;Into The Void;meet
Black Sabbath;Into The Void;his
Black Sabbath;Into The Void;destiny,
Black Sabbath;Into The Void;yeah
Black Sabbath;Into The Void;rocket
Black Sabbath;Into The Void;engines
Black Sabbath;Into The Void;burning
Black Sabbath;Into The Void;fuel
Black Sabbath;Into The Void;so
Black Sabbath;Into The Void;fast
Black Sabbath;Into The Void;up
Black Sabbath;Into The Void;into
Black Sabbath;Into The Void;the
Black Sabbath;Into The Void;black
Black Sabbath;Into The Void;sky
Black Sabbath;Into The Void;so
Black Sabbath;Into The Void;vast
Black Sabbath;Into The Void;burning
Black Sabbath;Into The Void;metal
Black Sabbath;Into The Void;through
Black Sabbath;Into The Void;the
Black Sabbath;Into The Void;atmosphere
Black Sabbath;Into The Void;earth
Black Sabbath;Into The Void;remains
Black Sabbath;Into The Void;in
Black Sabbath;Into The Void;worry,
Black Sabbath;Into The Void;hate
Black Sabbath;Into The Void;and
Black Sabbath;Into The Void;fear
Black Sabbath;Into The Void;with
Black Sabbath;Into The Void;the
Black Sabbath;Into The Void;hateful
Black Sabbath;Into The Void;battles
Black Sabbath;Into The Void;raging
Black Sabbath;Into The Void;on
Black Sabbath;Into The Void;rockets
Black Sabbath;Into The Void;flying
Black Sabbath;Into The Void;to
Black Sabbath;Into The Void;the
Black Sabbath;Into The Void;glowing
Black Sabbath;Into The Void;sun
Black Sabbath;Into The Void;through
Black Sabbath;Into The Void;the
Black Sabbath;Into The Void;empires
Black Sabbath;Into The Void;of
Black Sabbath;Into The Void;eternal
Black Sabbath;Into The Void;void
Black Sabbath;Into The Void;freedom
Black Sabbath;Into The Void;from
Black Sabbath;Into The Void;the
Black Sabbath;Into The Void;final
Black Sabbath;Into The Void;suicide
Black Sabbath;Into The Void;freedom
Black Sabbath;Into The Void;fighters
Black Sabbath;Into The Void;sent
Black Sabbath;Into The Void;out
Black Sabbath;Into The Void;to
Black Sabbath;Into The Void;the
Black Sabbath;Into The Void;sun
Black Sabbath;Into The Void;escape
Black Sabbath;Into The Void;from
