artist_name;song_title;token
Black Sabbath;I Won't Cry For You;so
Black Sabbath;I Won't Cry For You;you
Black Sabbath;I Won't Cry For You;lie
Black Sabbath;I Won't Cry For You;awake
Black Sabbath;I Won't Cry For You;and
Black Sabbath;I Won't Cry For You;think
Black Sabbath;I Won't Cry For You;about
Black Sabbath;I Won't Cry For You;tomorrow
Black Sabbath;I Won't Cry For You;and
Black Sabbath;I Won't Cry For You;you
Black Sabbath;I Won't Cry For You;try
Black Sabbath;I Won't Cry For You;to
Black Sabbath;I Won't Cry For You;justify
Black Sabbath;I Won't Cry For You;the
Black Sabbath;I Won't Cry For You;things
Black Sabbath;I Won't Cry For You;you've
Black Sabbath;I Won't Cry For You;done
Black Sabbath;I Won't Cry For You;but
Black Sabbath;I Won't Cry For You;there's
Black Sabbath;I Won't Cry For You;no
Black Sabbath;I Won't Cry For You;one
Black Sabbath;I Won't Cry For You;here,
Black Sabbath;I Won't Cry For You;to
Black Sabbath;I Won't Cry For You;hear
Black Sabbath;I Won't Cry For You;your
Black Sabbath;I Won't Cry For You;tears
Black Sabbath;I Won't Cry For You;falling
Black Sabbath;I Won't Cry For You;when
Black Sabbath;I Won't Cry For You;you
Black Sabbath;I Won't Cry For You;turn
Black Sabbath;I Won't Cry For You;around,
Black Sabbath;I Won't Cry For You;you
Black Sabbath;I Won't Cry For You;find
Black Sabbath;I Won't Cry For You;out,
Black Sabbath;I Won't Cry For You;that
Black Sabbath;I Won't Cry For You;you're
Black Sabbath;I Won't Cry For You;the
Black Sabbath;I Won't Cry For You;lonely
Black Sabbath;I Won't Cry For You;one
Black Sabbath;I Won't Cry For You;and
Black Sabbath;I Won't Cry For You;it
Black Sabbath;I Won't Cry For You;feels
Black Sabbath;I Won't Cry For You;like
Black Sabbath;I Won't Cry For You;someone's
Black Sabbath;I Won't Cry For You;treading
Black Sabbath;I Won't Cry For You;on
Black Sabbath;I Won't Cry For You;your
Black Sabbath;I Won't Cry For You;shadow
Black Sabbath;I Won't Cry For You;and
Black Sabbath;I Won't Cry For You;you
Black Sabbath;I Won't Cry For You;always
Black Sabbath;I Won't Cry For You;thought
Black Sabbath;I Won't Cry For You;that
Black Sabbath;I Won't Cry For You;heaven
Black Sabbath;I Won't Cry For You;knows
Black Sabbath;I Won't Cry For You;for
Black Sabbath;I Won't Cry For You;sure
Black Sabbath;I Won't Cry For You;so
Black Sabbath;I Won't Cry For You;you
Black Sabbath;I Won't Cry For You;lie
Black Sabbath;I Won't Cry For You;awake
Black Sabbath;I Won't Cry For You;and
Black Sabbath;I Won't Cry For You;think
Black Sabbath;I Won't Cry For You;about
Black Sabbath;I Won't Cry For You;tomorrow
Black Sabbath;I Won't Cry For You;and
Black Sabbath;I Won't Cry For You;you
Black Sabbath;I Won't Cry For You;try
Black Sabbath;I Won't Cry For You;to
Black Sabbath;I Won't Cry For You;justify
Black Sabbath;I Won't Cry For You;the
Black Sabbath;I Won't Cry For You;things
Black Sabbath;I Won't Cry For You;you've
Black Sabbath;I Won't Cry For You;done
Black Sabbath;I Won't Cry For You;but
Black Sabbath;I Won't Cry For You;there's
Black Sabbath;I Won't Cry For You;no
Black Sabbath;I Won't Cry For You;one
Black Sabbath;I Won't Cry For You;here,
Black Sabbath;I Won't Cry For You;to
Black Sabbath;I Won't Cry For You;hear
Black Sabbath;I Won't Cry For You;your
Black Sabbath;I Won't Cry For You;tears
Black Sabbath;I Won't Cry For You;falling
Black Sabbath;I Won't Cry For You;when
Black Sabbath;I Won't Cry For You;you
Black Sabbath;I Won't Cry For You;turn
Black Sabbath;I Won't Cry For You;around,
Black Sabbath;I Won't Cry For You;you
Black Sabbath;I Won't Cry For You;find
Black Sabbath;I Won't Cry For You;out,
Black Sabbath;I Won't Cry For You;that
Black Sabbath;I Won't Cry For You;you're
Black Sabbath;I Won't Cry For You;the
Black Sabbath;I Won't Cry For You;lonely
Black Sabbath;I Won't Cry For You;one
Black Sabbath;I Won't Cry For You;and
Black Sabbath;I Won't Cry For You;it
Black Sabbath;I Won't Cry For You;feels
Black Sabbath;I Won't Cry For You;like
Black Sabbath;I Won't Cry For You;someone's
Black Sabbath;I Won't Cry For You;treading
Black Sabbath;I Won't Cry For You;on
Black Sabbath;I Won't Cry For You;your
Black Sabbath;I Won't Cry For You;shadow
Black Sabbath;I Won't Cry For You;and
Black Sabbath;I Won't Cry For You;you
Black Sabbath;I Won't Cry For You;always
