artist_name;song_title;token
Black Sabbath;Snowblind;what
Black Sabbath;Snowblind;you
Black Sabbath;Snowblind;get
Black Sabbath;Snowblind;and
Black Sabbath;Snowblind;what
Black Sabbath;Snowblind;you
Black Sabbath;Snowblind;see
Black Sabbath;Snowblind;things
Black Sabbath;Snowblind;that
Black Sabbath;Snowblind;don't
Black Sabbath;Snowblind;come
Black Sabbath;Snowblind;easily
Black Sabbath;Snowblind;feeling
Black Sabbath;Snowblind;happy
Black Sabbath;Snowblind;in
Black Sabbath;Snowblind;my
Black Sabbath;Snowblind;vein
Black Sabbath;Snowblind;icicles
Black Sabbath;Snowblind;within
Black Sabbath;Snowblind;my
Black Sabbath;Snowblind;brain
Black Sabbath;Snowblind;(cocaine)
Black Sabbath;Snowblind;something
Black Sabbath;Snowblind;blowing
Black Sabbath;Snowblind;in
Black Sabbath;Snowblind;my
Black Sabbath;Snowblind;head
Black Sabbath;Snowblind;winter's
Black Sabbath;Snowblind;ice,
Black Sabbath;Snowblind;it
Black Sabbath;Snowblind;soon
Black Sabbath;Snowblind;will
Black Sabbath;Snowblind;spread
Black Sabbath;Snowblind;death
Black Sabbath;Snowblind;would
Black Sabbath;Snowblind;freeze
Black Sabbath;Snowblind;my
Black Sabbath;Snowblind;very
Black Sabbath;Snowblind;soul
Black Sabbath;Snowblind;makes
Black Sabbath;Snowblind;me
Black Sabbath;Snowblind;happy,
Black Sabbath;Snowblind;makes
Black Sabbath;Snowblind;me
Black Sabbath;Snowblind;cold
Black Sabbath;Snowblind;my
Black Sabbath;Snowblind;eyes
Black Sabbath;Snowblind;are
Black Sabbath;Snowblind;blind
Black Sabbath;Snowblind;but
Black Sabbath;Snowblind;i
Black Sabbath;Snowblind;can
Black Sabbath;Snowblind;see
Black Sabbath;Snowblind;the
Black Sabbath;Snowblind;snowflakes
Black Sabbath;Snowblind;glisten
Black Sabbath;Snowblind;on
Black Sabbath;Snowblind;the
Black Sabbath;Snowblind;tree
Black Sabbath;Snowblind;what
Black Sabbath;Snowblind;you
Black Sabbath;Snowblind;get
Black Sabbath;Snowblind;and
Black Sabbath;Snowblind;what
Black Sabbath;Snowblind;you
Black Sabbath;Snowblind;see
Black Sabbath;Snowblind;things
Black Sabbath;Snowblind;that
Black Sabbath;Snowblind;don't
Black Sabbath;Snowblind;come
Black Sabbath;Snowblind;easily
Black Sabbath;Snowblind;feeling
Black Sabbath;Snowblind;happy
Black Sabbath;Snowblind;in
Black Sabbath;Snowblind;my
Black Sabbath;Snowblind;vein
Black Sabbath;Snowblind;icicles
Black Sabbath;Snowblind;within
Black Sabbath;Snowblind;my
Black Sabbath;Snowblind;brain
Black Sabbath;Snowblind;(cocaine)
Black Sabbath;Snowblind;something
Black Sabbath;Snowblind;blowing
Black Sabbath;Snowblind;in
Black Sabbath;Snowblind;my
Black Sabbath;Snowblind;head
Black Sabbath;Snowblind;winter's
Black Sabbath;Snowblind;ice,
Black Sabbath;Snowblind;it
Black Sabbath;Snowblind;soon
Black Sabbath;Snowblind;will
Black Sabbath;Snowblind;spread
Black Sabbath;Snowblind;death
Black Sabbath;Snowblind;would
Black Sabbath;Snowblind;freeze
Black Sabbath;Snowblind;my
Black Sabbath;Snowblind;very
Black Sabbath;Snowblind;soul
Black Sabbath;Snowblind;makes
Black Sabbath;Snowblind;me
Black Sabbath;Snowblind;happy,
Black Sabbath;Snowblind;makes
Black Sabbath;Snowblind;me
Black Sabbath;Snowblind;cold
Black Sabbath;Snowblind;my
Black Sabbath;Snowblind;eyes
Black Sabbath;Snowblind;are
Black Sabbath;Snowblind;blind
Black Sabbath;Snowblind;but
Black Sabbath;Snowblind;i
Black Sabbath;Snowblind;can
Black Sabbath;Snowblind;see
Black Sabbath;Snowblind;the
Black Sabbath;Snowblind;snowflakes
Black Sabbath;Snowblind;glisten
Black Sabbath;Snowblind;on
Black Sabbath;Snowblind;the
Black Sabbath;Snowblind;tree
Black Sabbath;Snowblind;the
Black Sabbath;Snowblind;sun
Black Sabbath;Snowblind;no
Black Sabbath;Snowblind;longer
Black Sabbath;Snowblind;sets
Black Sabbath;Snowblind;me
Black Sabbath;Snowblind;free
Black Sabbath;Snowblind;i
Black Sabbath;Snowblind;feel
Black Sabbath;Snowblind;there's
Black Sabbath;Snowblind;no
Black Sabbath;Snowblind;place
Black Sabbath;Snowblind;freezing
Black Sabbath;Snowblind;me
Black Sabbath;Snowblind;let
Black Sabbath;Snowblind;the
Black Sabbath;Snowblind;winter
Black Sabbath;Snowblind;sun
Black Sabbath;Snowblind;shine
Black Sabbath;Snowblind;on
Black Sabbath;Snowblind;let
Black Sabbath;Snowblind;me
Black Sabbath;Snowblind;feel
Black Sabbath;Snowblind;the
Black Sabbath;Snowblind;frost
Black Sabbath;Snowblind;of
Black Sabbath;Snowblind;dawn
Black Sabbath;Snowblind;fill
Black Sabbath;Snowblind;my
Black Sabbath;Snowblind;dreams
Black Sabbath;Snowblind;with
Black Sabbath;Snowblind;flakes
Black Sabbath;Snowblind;of
Black Sabbath;Snowblind;snow
Black Sabbath;Snowblind;soon
Black Sabbath;Snowblind;i'll
Black Sabbath;Snowblind;feel
Black Sabbath;Snowblind;the
Black Sabbath;Snowblind;chilling
Black Sabbath;Snowblind;glow
Black Sabbath;Snowblind;don't
Black Sabbath;Snowblind;you
Black Sabbath;Snowblind;think
Black Sabbath;Snowblind;i
Black Sabbath;Snowblind;know
Black Sabbath;Snowblind;what
Black Sabbath;Snowblind;i'm
Black Sabbath;Snowblind;doing
Black Sabbath;Snowblind;don't
Black Sabbath;Snowblind;tell
Black Sabbath;Snowblind;me
Black Sabbath;Snowblind;that
Black Sabbath;Snowblind;it's
Black Sabbath;Snowblind;doing
Black Sabbath;Snowblind;me
Black Sabbath;Snowblind;wrong
Black Sabbath;Snowblind;you're
Black Sabbath;Snowblind;the
Black Sabbath;Snowblind;one
Black Sabbath;Snowblind;who's
Black Sabbath;Snowblind;really
Black Sabbath;Snowblind;the
Black Sabbath;Snowblind;loser
Black Sabbath;Snowblind;this
Black Sabbath;Snowblind;is
Black Sabbath;Snowblind;where
Black Sabbath;Snowblind;i
Black Sabbath;Snowblind;feel
Black Sabbath;Snowblind;i
Black Sabbath;Snowblind;belong
Black Sabbath;Snowblind;crystal
Black Sabbath;Snowblind;world
Black Sabbath;Snowblind;with
Black Sabbath;Snowblind;winter
Black Sabbath;Snowblind;flowers
Black Sabbath;Snowblind;turns
Black Sabbath;Snowblind;my
Black Sabbath;Snowblind;day
Black Sabbath;Snowblind;to
Black Sabbath;Snowblind;frozen
Black Sabbath;Snowblind;hours
Black Sabbath;Snowblind;lying
Black Sabbath;Snowblind;snowblind
Black Sabbath;Snowblind;in
Black Sabbath;Snowblind;the
Black Sabbath;Snowblind;sun
Black Sabbath;Snowblind;will
Black Sabbath;Snowblind;my
Black Sabbath;Snowblind;ice
Black Sabbath;Snowblind;age
Black Sabbath;Snowblind;ever
Black Sabbath;Snowblind;come?
