artist_name;song_title;token
Black Sabbath;Symptom Of The Universe;take
Black Sabbath;Symptom Of The Universe;me
Black Sabbath;Symptom Of The Universe;through
Black Sabbath;Symptom Of The Universe;the
Black Sabbath;Symptom Of The Universe;centuries
Black Sabbath;Symptom Of The Universe;to
Black Sabbath;Symptom Of The Universe;supersonic
Black Sabbath;Symptom Of The Universe;years
Black Sabbath;Symptom Of The Universe;electrifying
Black Sabbath;Symptom Of The Universe;enemy
Black Sabbath;Symptom Of The Universe;is
Black Sabbath;Symptom Of The Universe;drowning
Black Sabbath;Symptom Of The Universe;in
Black Sabbath;Symptom Of The Universe;his
Black Sabbath;Symptom Of The Universe;tears
Black Sabbath;Symptom Of The Universe;all
Black Sabbath;Symptom Of The Universe;i
Black Sabbath;Symptom Of The Universe;have
Black Sabbath;Symptom Of The Universe;to
Black Sabbath;Symptom Of The Universe;give
Black Sabbath;Symptom Of The Universe;you
Black Sabbath;Symptom Of The Universe;is
Black Sabbath;Symptom Of The Universe;a
Black Sabbath;Symptom Of The Universe;love
Black Sabbath;Symptom Of The Universe;that
Black Sabbath;Symptom Of The Universe;never
Black Sabbath;Symptom Of The Universe;dies
Black Sabbath;Symptom Of The Universe;the
Black Sabbath;Symptom Of The Universe;symptom
Black Sabbath;Symptom Of The Universe;of
Black Sabbath;Symptom Of The Universe;the
Black Sabbath;Symptom Of The Universe;universe
Black Sabbath;Symptom Of The Universe;is
Black Sabbath;Symptom Of The Universe;written
Black Sabbath;Symptom Of The Universe;in
Black Sabbath;Symptom Of The Universe;your
Black Sabbath;Symptom Of The Universe;eyes
Black Sabbath;Symptom Of The Universe;mother
Black Sabbath;Symptom Of The Universe;moon
Black Sabbath;Symptom Of The Universe;she's
Black Sabbath;Symptom Of The Universe;calling
Black Sabbath;Symptom Of The Universe;me
Black Sabbath;Symptom Of The Universe;back
Black Sabbath;Symptom Of The Universe;to
Black Sabbath;Symptom Of The Universe;her
Black Sabbath;Symptom Of The Universe;silver
Black Sabbath;Symptom Of The Universe;womb
Black Sabbath;Symptom Of The Universe;father
Black Sabbath;Symptom Of The Universe;of
Black Sabbath;Symptom Of The Universe;creation
Black Sabbath;Symptom Of The Universe;takes
Black Sabbath;Symptom Of The Universe;me
Black Sabbath;Symptom Of The Universe;from
Black Sabbath;Symptom Of The Universe;my
Black Sabbath;Symptom Of The Universe;stolen
Black Sabbath;Symptom Of The Universe;tomb
Black Sabbath;Symptom Of The Universe;take
Black Sabbath;Symptom Of The Universe;me
Black Sabbath;Symptom Of The Universe;through
Black Sabbath;Symptom Of The Universe;the
