artist_name;song_title;token
Black Sabbath;Zeitgeist;astral
Black Sabbath;Zeitgeist;engines
Black Sabbath;Zeitgeist;in
Black Sabbath;Zeitgeist;reverse
Black Sabbath;Zeitgeist;i'm
Black Sabbath;Zeitgeist;falling
Black Sabbath;Zeitgeist;through
Black Sabbath;Zeitgeist;the
Black Sabbath;Zeitgeist;universe
Black Sabbath;Zeitgeist;again
Black Sabbath;Zeitgeist;down
Black Sabbath;Zeitgeist;among
Black Sabbath;Zeitgeist;a
Black Sabbath;Zeitgeist;dead
Black Sabbath;Zeitgeist;man's
Black Sabbath;Zeitgeist;vision
Black Sabbath;Zeitgeist;faded
Black Sabbath;Zeitgeist;dreams
Black Sabbath;Zeitgeist;and
Black Sabbath;Zeitgeist;nuclear
Black Sabbath;Zeitgeist;fission
Black Sabbath;Zeitgeist;span
Black Sabbath;Zeitgeist;the
Black Sabbath;Zeitgeist;strings
Black Sabbath;Zeitgeist;of
Black Sabbath;Zeitgeist;theory
Black Sabbath;Zeitgeist;are
Black Sabbath;Zeitgeist;holding
Black Sabbath;Zeitgeist;up
Black Sabbath;Zeitgeist;the
Black Sabbath;Zeitgeist;race
Black Sabbath;Zeitgeist;the
Black Sabbath;Zeitgeist;puppets
Black Sabbath;Zeitgeist;falling
Black Sabbath;Zeitgeist;to
Black Sabbath;Zeitgeist;the
Black Sabbath;Zeitgeist;ground
Black Sabbath;Zeitgeist;the
Black Sabbath;Zeitgeist;love
Black Sabbath;Zeitgeist;i
Black Sabbath;Zeitgeist;feel
Black Sabbath;Zeitgeist;as
Black Sabbath;Zeitgeist;i
Black Sabbath;Zeitgeist;fly
Black Sabbath;Zeitgeist;endlessly
Black Sabbath;Zeitgeist;through
Black Sabbath;Zeitgeist;space
Black Sabbath;Zeitgeist;lost
Black Sabbath;Zeitgeist;in
Black Sabbath;Zeitgeist;time
Black Sabbath;Zeitgeist;i
Black Sabbath;Zeitgeist;wonder,
Black Sabbath;Zeitgeist;"""will"
Black Sabbath;Zeitgeist;my
Black Sabbath;Zeitgeist;ship
Black Sabbath;Zeitgeist;be
Black Sabbath;Zeitgeist;"found?"""
Black Sabbath;Zeitgeist;astral
Black Sabbath;Zeitgeist;engines
Black Sabbath;Zeitgeist;in
Black Sabbath;Zeitgeist;reverse
Black Sabbath;Zeitgeist;i'm
Black Sabbath;Zeitgeist;falling
Black Sabbath;Zeitgeist;through
Black Sabbath;Zeitgeist;the
Black Sabbath;Zeitgeist;universe
Black Sabbath;Zeitgeist;again
Black Sabbath;Zeitgeist;down
Black Sabbath;Zeitgeist;among
Black Sabbath;Zeitgeist;a
Black Sabbath;Zeitgeist;dead
Black Sabbath;Zeitgeist;man's
Black Sabbath;Zeitgeist;vision
Black Sabbath;Zeitgeist;faded
Black Sabbath;Zeitgeist;dreams
Black Sabbath;Zeitgeist;and
Black Sabbath;Zeitgeist;nuclear
Black Sabbath;Zeitgeist;fission
Black Sabbath;Zeitgeist;span
Black Sabbath;Zeitgeist;the
Black Sabbath;Zeitgeist;strings
Black Sabbath;Zeitgeist;of
Black Sabbath;Zeitgeist;theory
Black Sabbath;Zeitgeist;are
Black Sabbath;Zeitgeist;holding
Black Sabbath;Zeitgeist;up
Black Sabbath;Zeitgeist;the
Black Sabbath;Zeitgeist;race
Black Sabbath;Zeitgeist;the
Black Sabbath;Zeitgeist;puppets
Black Sabbath;Zeitgeist;falling
Black Sabbath;Zeitgeist;to
Black Sabbath;Zeitgeist;the
Black Sabbath;Zeitgeist;ground
Black Sabbath;Zeitgeist;the
Black Sabbath;Zeitgeist;love
Black Sabbath;Zeitgeist;i
Black Sabbath;Zeitgeist;feel
Black Sabbath;Zeitgeist;as
Black Sabbath;Zeitgeist;i
Black Sabbath;Zeitgeist;fly
Black Sabbath;Zeitgeist;endlessly
Black Sabbath;Zeitgeist;through
Black Sabbath;Zeitgeist;space
Black Sabbath;Zeitgeist;lost
Black Sabbath;Zeitgeist;in
Black Sabbath;Zeitgeist;time
Black Sabbath;Zeitgeist;i
Black Sabbath;Zeitgeist;wonder,
Black Sabbath;Zeitgeist;"""will"
Black Sabbath;Zeitgeist;my
Black Sabbath;Zeitgeist;ship
Black Sabbath;Zeitgeist;be
Black Sabbath;Zeitgeist;"found?"""
Black Sabbath;Zeitgeist;on
Black Sabbath;Zeitgeist;this
Black Sabbath;Zeitgeist;sinking
Black Sabbath;Zeitgeist;ship
Black Sabbath;Zeitgeist;i
Black Sabbath;Zeitgeist;travel
Black Sabbath;Zeitgeist;faster
Black Sabbath;Zeitgeist;than
Black Sabbath;Zeitgeist;the
Black Sabbath;Zeitgeist;speed
Black Sabbath;Zeitgeist;of
Black Sabbath;Zeitgeist;light
Black Sabbath;Zeitgeist;not
Black Sabbath;Zeitgeist;so
Black Sabbath;Zeitgeist;supernova
Black Sabbath;Zeitgeist;burns
Black Sabbath;Zeitgeist;the
Black Sabbath;Zeitgeist;black
Black Sabbath;Zeitgeist;holes
Black Sabbath;Zeitgeist;turn
Black Sabbath;Zeitgeist;and
Black Sabbath;Zeitgeist;fade
Black Sabbath;Zeitgeist;from
Black Sabbath;Zeitgeist;sight
Black Sabbath;Zeitgeist;the
Black Sabbath;Zeitgeist;strings
Black Sabbath;Zeitgeist;of
Black Sabbath;Zeitgeist;fear
Black Sabbath;Zeitgeist;hide
Black Sabbath;Zeitgeist;in
Black Sabbath;Zeitgeist;the
Black Sabbath;Zeitgeist;human
Black Sabbath;Zeitgeist;race
Black Sabbath;Zeitgeist;the
Black Sabbath;Zeitgeist;answers
Black Sabbath;Zeitgeist;buried
Black Sabbath;Zeitgeist;underground
Black Sabbath;Zeitgeist;the
Black Sabbath;Zeitgeist;love
Black Sabbath;Zeitgeist;i
Black Sabbath;Zeitgeist;feel
Black Sabbath;Zeitgeist;as
Black Sabbath;Zeitgeist;i
Black Sabbath;Zeitgeist;fly
Black Sabbath;Zeitgeist;endlessly
Black Sabbath;Zeitgeist;through
Black Sabbath;Zeitgeist;space
Black Sabbath;Zeitgeist;lost
Black Sabbath;Zeitgeist;in
Black Sabbath;Zeitgeist;time
Black Sabbath;Zeitgeist;i
Black Sabbath;Zeitgeist;wonder,
Black Sabbath;Zeitgeist;"""will"
Black Sabbath;Zeitgeist;my
Black Sabbath;Zeitgeist;ship
Black Sabbath;Zeitgeist;be
Black Sabbath;Zeitgeist;"found?"""
Black Sabbath;Zeitgeist;and
Black Sabbath;Zeitgeist;very
Black Sabbath;Zeitgeist;soon
Black Sabbath;Zeitgeist;the
Black Sabbath;Zeitgeist;bomber's
Black Sabbath;Zeitgeist;moon
Black Sabbath;Zeitgeist;will
Black Sabbath;Zeitgeist;show
Black Sabbath;Zeitgeist;us
Black Sabbath;Zeitgeist;light
Black Sabbath;Zeitgeist;and
Black Sabbath;Zeitgeist;as
Black Sabbath;Zeitgeist;we
Black Sabbath;Zeitgeist;crash
Black Sabbath;Zeitgeist;we'll
Black Sabbath;Zeitgeist;pray
Black Sabbath;Zeitgeist;and
Black Sabbath;Zeitgeist;kiss
Black Sabbath;Zeitgeist;and
Black Sabbath;Zeitgeist;say
Black Sabbath;Zeitgeist;goodnight
Black Sabbath;Zeitgeist;goodnight
