artist_name;song_title;token
David Bowie;Can't Help Thinking About Me;question-time
David Bowie;Can't Help Thinking About Me;that
David Bowie;Can't Help Thinking About Me;says
David Bowie;Can't Help Thinking About Me;i
David Bowie;Can't Help Thinking About Me;brought
David Bowie;Can't Help Thinking About Me;dishonour
David Bowie;Can't Help Thinking About Me;my
David Bowie;Can't Help Thinking About Me;head's
David Bowie;Can't Help Thinking About Me;bowed
David Bowie;Can't Help Thinking About Me;in
David Bowie;Can't Help Thinking About Me;shame
David Bowie;Can't Help Thinking About Me;it
David Bowie;Can't Help Thinking About Me;seems
David Bowie;Can't Help Thinking About Me;that
David Bowie;Can't Help Thinking About Me;i've
David Bowie;Can't Help Thinking About Me;blackened
David Bowie;Can't Help Thinking About Me;the
David Bowie;Can't Help Thinking About Me;family
David Bowie;Can't Help Thinking About Me;name
David Bowie;Can't Help Thinking About Me;mother
David Bowie;Can't Help Thinking About Me;says
David Bowie;Can't Help Thinking About Me;that
David Bowie;Can't Help Thinking About Me;she
David Bowie;Can't Help Thinking About Me;can't
David Bowie;Can't Help Thinking About Me;stand
David Bowie;Can't Help Thinking About Me;the
David Bowie;Can't Help Thinking About Me;neighbours
David Bowie;Can't Help Thinking About Me;talking
David Bowie;Can't Help Thinking About Me;i've
David Bowie;Can't Help Thinking About Me;gotta
David Bowie;Can't Help Thinking About Me;pack
David Bowie;Can't Help Thinking About Me;my
David Bowie;Can't Help Thinking About Me;bags,
David Bowie;Can't Help Thinking About Me;leave
David Bowie;Can't Help Thinking About Me;this
David Bowie;Can't Help Thinking About Me;home,
David Bowie;Can't Help Thinking About Me;start
David Bowie;Can't Help Thinking About Me;walking,
David Bowie;Can't Help Thinking About Me;yeah
David Bowie;Can't Help Thinking About Me;i'm
David Bowie;Can't Help Thinking About Me;guilty
David Bowie;Can't Help Thinking About Me;i
David Bowie;Can't Help Thinking About Me;wish
David Bowie;Can't Help Thinking About Me;that
David Bowie;Can't Help Thinking About Me;i
David Bowie;Can't Help Thinking About Me;was
David Bowie;Can't Help Thinking About Me;sorry
David Bowie;Can't Help Thinking About Me;this
David Bowie;Can't Help Thinking About Me;time
David Bowie;Can't Help Thinking About Me;i
David Bowie;Can't Help Thinking About Me;wish
David Bowie;Can't Help Thinking About Me;that
David Bowie;Can't Help Thinking About Me;i
David Bowie;Can't Help Thinking About Me;could
David Bowie;Can't Help Thinking About Me;pay
David Bowie;Can't Help Thinking About Me;for
David Bowie;Can't Help Thinking About Me;my
David Bowie;Can't Help Thinking About Me;crime
David Bowie;Can't Help Thinking About Me;question-time
David Bowie;Can't Help Thinking About Me;that
David Bowie;Can't Help Thinking About Me;says
David Bowie;Can't Help Thinking About Me;i
David Bowie;Can't Help Thinking About Me;brought
David Bowie;Can't Help Thinking About Me;dishonour
David Bowie;Can't Help Thinking About Me;my
David Bowie;Can't Help Thinking About Me;head's
David Bowie;Can't Help Thinking About Me;bowed
David Bowie;Can't Help Thinking About Me;in
David Bowie;Can't Help Thinking About Me;shame
David Bowie;Can't Help Thinking About Me;it
David Bowie;Can't Help Thinking About Me;seems
David Bowie;Can't Help Thinking About Me;that
David Bowie;Can't Help Thinking About Me;i've
David Bowie;Can't Help Thinking About Me;blackened
David Bowie;Can't Help Thinking About Me;the
David Bowie;Can't Help Thinking About Me;family
David Bowie;Can't Help Thinking About Me;name
David Bowie;Can't Help Thinking About Me;mother
David Bowie;Can't Help Thinking About Me;says
David Bowie;Can't Help Thinking About Me;that
David Bowie;Can't Help Thinking About Me;she
David Bowie;Can't Help Thinking About Me;can't
David Bowie;Can't Help Thinking About Me;stand
David Bowie;Can't Help Thinking About Me;the
David Bowie;Can't Help Thinking About Me;neighbours
David Bowie;Can't Help Thinking About Me;talking
David Bowie;Can't Help Thinking About Me;i've
David Bowie;Can't Help Thinking About Me;gotta
David Bowie;Can't Help Thinking About Me;pack
David Bowie;Can't Help Thinking About Me;my
David Bowie;Can't Help Thinking About Me;bags,
David Bowie;Can't Help Thinking About Me;leave
David Bowie;Can't Help Thinking About Me;this
David Bowie;Can't Help Thinking About Me;home,
David Bowie;Can't Help Thinking About Me;start
David Bowie;Can't Help Thinking About Me;walking,
David Bowie;Can't Help Thinking About Me;yeah
David Bowie;Can't Help Thinking About Me;i'm
David Bowie;Can't Help Thinking About Me;guilty
David Bowie;Can't Help Thinking About Me;i
David Bowie;Can't Help Thinking About Me;wish
David Bowie;Can't Help Thinking About Me;that
David Bowie;Can't Help Thinking About Me;i
David Bowie;Can't Help Thinking About Me;was
David Bowie;Can't Help Thinking About Me;sorry
David Bowie;Can't Help Thinking About Me;this
David Bowie;Can't Help Thinking About Me;time
David Bowie;Can't Help Thinking About Me;i
David Bowie;Can't Help Thinking About Me;wish
David Bowie;Can't Help Thinking About Me;that
David Bowie;Can't Help Thinking About Me;i
David Bowie;Can't Help Thinking About Me;could
David Bowie;Can't Help Thinking About Me;pay
David Bowie;Can't Help Thinking About Me;for
David Bowie;Can't Help Thinking About Me;my
David Bowie;Can't Help Thinking About Me;crime
David Bowie;Can't Help Thinking About Me;i
David Bowie;Can't Help Thinking About Me;can't
David Bowie;Can't Help Thinking About Me;help
David Bowie;Can't Help Thinking About Me;thinking
David Bowie;Can't Help Thinking About Me;about
David Bowie;Can't Help Thinking About Me;me
David Bowie;Can't Help Thinking About Me;i
David Bowie;Can't Help Thinking About Me;can't
David Bowie;Can't Help Thinking About Me;help
David Bowie;Can't Help Thinking About Me;thinking
