artist_name;song_title;token
David Bowie;Dead Man Walking;he
David Bowie;Dead Man Walking;swivels
David Bowie;Dead Man Walking;his
David Bowie;Dead Man Walking;head
David Bowie;Dead Man Walking;tears
David Bowie;Dead Man Walking;his
David Bowie;Dead Man Walking;eyes
David Bowie;Dead Man Walking;from
David Bowie;Dead Man Walking;the
David Bowie;Dead Man Walking;screen
David Bowie;Dead Man Walking;as
David Bowie;Dead Man Walking;his
David Bowie;Dead Man Walking;past
David Bowie;Dead Man Walking;puts
David Bowie;Dead Man Walking;him
David Bowie;Dead Man Walking;back
David Bowie;Dead Man Walking;in
David Bowie;Dead Man Walking;atlantic
David Bowie;Dead Man Walking;city
David Bowie;Dead Man Walking;there's
David Bowie;Dead Man Walking;not
David Bowie;Dead Man Walking;even
David Bowie;Dead Man Walking;a
David Bowie;Dead Man Walking;demon
David Bowie;Dead Man Walking;in
David Bowie;Dead Man Walking;heaven
David Bowie;Dead Man Walking;or
David Bowie;Dead Man Walking;hell
David Bowie;Dead Man Walking;is
David Bowie;Dead Man Walking;it
David Bowie;Dead Man Walking;all
David Bowie;Dead Man Walking;just
David Bowie;Dead Man Walking;human
David Bowie;Dead Man Walking;disguise?
David Bowie;Dead Man Walking;as
David Bowie;Dead Man Walking;i
David Bowie;Dead Man Walking;walk
David Bowie;Dead Man Walking;down
David Bowie;Dead Man Walking;the
David Bowie;Dead Man Walking;aisle
David Bowie;Dead Man Walking;gone
David Bowie;Dead Man Walking;gone
David Bowie;Dead Man Walking;gone
David Bowie;Dead Man Walking;spinning
David Bowie;Dead Man Walking;slack
David Bowie;Dead Man Walking;through
David Bowie;Dead Man Walking;the
David Bowie;Dead Man Walking;end?
David Bowie;Dead Man Walking;deadens?
David Bowie;Dead Man Walking;my
David Bowie;Dead Man Walking;brain
David Bowie;Dead Man Walking;falling
David Bowie;Dead Man Walking;up
David Bowie;Dead Man Walking;through
David Bowie;Dead Man Walking;the
David Bowie;Dead Man Walking;years
David Bowie;Dead Man Walking;he
David Bowie;Dead Man Walking;swivels
David Bowie;Dead Man Walking;his
David Bowie;Dead Man Walking;head
David Bowie;Dead Man Walking;tears
David Bowie;Dead Man Walking;his
David Bowie;Dead Man Walking;eyes
David Bowie;Dead Man Walking;from
David Bowie;Dead Man Walking;the
David Bowie;Dead Man Walking;screen
David Bowie;Dead Man Walking;as
David Bowie;Dead Man Walking;his
David Bowie;Dead Man Walking;past
David Bowie;Dead Man Walking;puts
David Bowie;Dead Man Walking;him
David Bowie;Dead Man Walking;back
David Bowie;Dead Man Walking;in
David Bowie;Dead Man Walking;atlantic
David Bowie;Dead Man Walking;city
David Bowie;Dead Man Walking;there's
David Bowie;Dead Man Walking;not
David Bowie;Dead Man Walking;even
David Bowie;Dead Man Walking;a
David Bowie;Dead Man Walking;demon
David Bowie;Dead Man Walking;in
David Bowie;Dead Man Walking;heaven
David Bowie;Dead Man Walking;or
David Bowie;Dead Man Walking;hell
David Bowie;Dead Man Walking;is
David Bowie;Dead Man Walking;it
David Bowie;Dead Man Walking;all
David Bowie;Dead Man Walking;just
David Bowie;Dead Man Walking;human
David Bowie;Dead Man Walking;disguise?
David Bowie;Dead Man Walking;as
David Bowie;Dead Man Walking;i
David Bowie;Dead Man Walking;walk
David Bowie;Dead Man Walking;down
David Bowie;Dead Man Walking;the
David Bowie;Dead Man Walking;aisle
David Bowie;Dead Man Walking;gone
David Bowie;Dead Man Walking;gone
David Bowie;Dead Man Walking;gone
David Bowie;Dead Man Walking;spinning
David Bowie;Dead Man Walking;slack
David Bowie;Dead Man Walking;through
David Bowie;Dead Man Walking;the
David Bowie;Dead Man Walking;end?
David Bowie;Dead Man Walking;deadens?
David Bowie;Dead Man Walking;my
David Bowie;Dead Man Walking;brain
David Bowie;Dead Man Walking;falling
David Bowie;Dead Man Walking;up
David Bowie;Dead Man Walking;through
David Bowie;Dead Man Walking;the
David Bowie;Dead Man Walking;years
David Bowie;Dead Man Walking;till
David Bowie;Dead Man Walking;i
David Bowie;Dead Man Walking;swivel
David Bowie;Dead Man Walking;back
David Bowie;Dead Man Walking;round
David Bowie;Dead Man Walking;then
