artist_name;song_title;token
David Bowie;Drive-In Saturday;let
David Bowie;Drive-In Saturday;me
David Bowie;Drive-In Saturday;put
David Bowie;Drive-In Saturday;my
David Bowie;Drive-In Saturday;arms
David Bowie;Drive-In Saturday;around
David Bowie;Drive-In Saturday;your
David Bowie;Drive-In Saturday;head
David Bowie;Drive-In Saturday;(dom
David Bowie;Drive-In Saturday;do
David Bowie;Drive-In Saturday;ah)
David Bowie;Drive-In Saturday;gee,
David Bowie;Drive-In Saturday;it's
David Bowie;Drive-In Saturday;hot,
David Bowie;Drive-In Saturday;let's
David Bowie;Drive-In Saturday;go
David Bowie;Drive-In Saturday;to
David Bowie;Drive-In Saturday;bed
David Bowie;Drive-In Saturday;don't
David Bowie;Drive-In Saturday;forget
David Bowie;Drive-In Saturday;to
David Bowie;Drive-In Saturday;turn
David Bowie;Drive-In Saturday;on
David Bowie;Drive-In Saturday;the
David Bowie;Drive-In Saturday;light
David Bowie;Drive-In Saturday;don't
David Bowie;Drive-In Saturday;laugh
David Bowie;Drive-In Saturday;babe,
David Bowie;Drive-In Saturday;it'll
David Bowie;Drive-In Saturday;be
David Bowie;Drive-In Saturday;alright
David Bowie;Drive-In Saturday;(dom
David Bowie;Drive-In Saturday;do
David Bowie;Drive-In Saturday;ah)
David Bowie;Drive-In Saturday;pour
David Bowie;Drive-In Saturday;me
David Bowie;Drive-In Saturday;out
David Bowie;Drive-In Saturday;another
David Bowie;Drive-In Saturday;phone
David Bowie;Drive-In Saturday;(dom
David Bowie;Drive-In Saturday;do
David Bowie;Drive-In Saturday;ah)
David Bowie;Drive-In Saturday;i'll
David Bowie;Drive-In Saturday;ring
David Bowie;Drive-In Saturday;and
David Bowie;Drive-In Saturday;see
David Bowie;Drive-In Saturday;if
David Bowie;Drive-In Saturday;your
David Bowie;Drive-In Saturday;friends
David Bowie;Drive-In Saturday;are
David Bowie;Drive-In Saturday;home
David Bowie;Drive-In Saturday;perhaps
David Bowie;Drive-In Saturday;the
David Bowie;Drive-In Saturday;strange
David Bowie;Drive-In Saturday;ones
David Bowie;Drive-In Saturday;in
David Bowie;Drive-In Saturday;the
David Bowie;Drive-In Saturday;dome
David Bowie;Drive-In Saturday;can
David Bowie;Drive-In Saturday;lend
David Bowie;Drive-In Saturday;us
David Bowie;Drive-In Saturday;a
David Bowie;Drive-In Saturday;book
David Bowie;Drive-In Saturday;we
David Bowie;Drive-In Saturday;can
David Bowie;Drive-In Saturday;read
David Bowie;Drive-In Saturday;up
David Bowie;Drive-In Saturday;alone
David Bowie;Drive-In Saturday;let
David Bowie;Drive-In Saturday;me
David Bowie;Drive-In Saturday;put
David Bowie;Drive-In Saturday;my
David Bowie;Drive-In Saturday;arms
David Bowie;Drive-In Saturday;around
David Bowie;Drive-In Saturday;your
David Bowie;Drive-In Saturday;head
David Bowie;Drive-In Saturday;(dom
David Bowie;Drive-In Saturday;do
David Bowie;Drive-In Saturday;ah)
David Bowie;Drive-In Saturday;gee,
David Bowie;Drive-In Saturday;it's
David Bowie;Drive-In Saturday;hot,
David Bowie;Drive-In Saturday;let's
David Bowie;Drive-In Saturday;go
David Bowie;Drive-In Saturday;to
David Bowie;Drive-In Saturday;bed
David Bowie;Drive-In Saturday;don't
David Bowie;Drive-In Saturday;forget
David Bowie;Drive-In Saturday;to
David Bowie;Drive-In Saturday;turn
David Bowie;Drive-In Saturday;on
David Bowie;Drive-In Saturday;the
David Bowie;Drive-In Saturday;light
David Bowie;Drive-In Saturday;don't
David Bowie;Drive-In Saturday;laugh
David Bowie;Drive-In Saturday;babe,
David Bowie;Drive-In Saturday;it'll
David Bowie;Drive-In Saturday;be
David Bowie;Drive-In Saturday;alright
David Bowie;Drive-In Saturday;(dom
David Bowie;Drive-In Saturday;do
David Bowie;Drive-In Saturday;ah)
David Bowie;Drive-In Saturday;pour
David Bowie;Drive-In Saturday;me
David Bowie;Drive-In Saturday;out
David Bowie;Drive-In Saturday;another
David Bowie;Drive-In Saturday;phone
David Bowie;Drive-In Saturday;(dom
David Bowie;Drive-In Saturday;do
David Bowie;Drive-In Saturday;ah)
David Bowie;Drive-In Saturday;i'll
David Bowie;Drive-In Saturday;ring
David Bowie;Drive-In Saturday;and
David Bowie;Drive-In Saturday;see
David Bowie;Drive-In Saturday;if
David Bowie;Drive-In Saturday;your
David Bowie;Drive-In Saturday;friends
David Bowie;Drive-In Saturday;are
David Bowie;Drive-In Saturday;home
David Bowie;Drive-In Saturday;perhaps
David Bowie;Drive-In Saturday;the
David Bowie;Drive-In Saturday;strange
David Bowie;Drive-In Saturday;ones
David Bowie;Drive-In Saturday;in
David Bowie;Drive-In Saturday;the
David Bowie;Drive-In Saturday;dome
David Bowie;Drive-In Saturday;can
David Bowie;Drive-In Saturday;lend
David Bowie;Drive-In Saturday;us
David Bowie;Drive-In Saturday;a
David Bowie;Drive-In Saturday;book
David Bowie;Drive-In Saturday;we
David Bowie;Drive-In Saturday;can
