artist_name;song_title;token
David Bowie;I Dig Everything;i've
David Bowie;I Dig Everything;got
David Bowie;I Dig Everything;the
David Bowie;I Dig Everything;village
David Bowie;I Dig Everything;i
David Bowie;I Dig Everything;love
David Bowie;I Dig Everything;-
David Bowie;I Dig Everything;dig
David Bowie;I Dig Everything;everything
David Bowie;I Dig Everything;i
David Bowie;I Dig Everything;walk
David Bowie;I Dig Everything;along
David Bowie;I Dig Everything;beside
David Bowie;I Dig Everything;the
David Bowie;I Dig Everything;garbagemen
David Bowie;I Dig Everything;and
David Bowie;I Dig Everything;i
David Bowie;I Dig Everything;dig
David Bowie;I Dig Everything;everything
David Bowie;I Dig Everything;-
David Bowie;I Dig Everything;dig
David Bowie;I Dig Everything;everything
David Bowie;I Dig Everything;i
David Bowie;I Dig Everything;wave
David Bowie;I Dig Everything;to
David Bowie;I Dig Everything;the
David Bowie;I Dig Everything;policemen,
David Bowie;I Dig Everything;but
David Bowie;I Dig Everything;they
David Bowie;I Dig Everything;don't
David Bowie;I Dig Everything;wave
David Bowie;I Dig Everything;back
David Bowie;I Dig Everything;they
David Bowie;I Dig Everything;don't
David Bowie;I Dig Everything;dig
David Bowie;I Dig Everything;anything
David Bowie;I Dig Everything;-
David Bowie;I Dig Everything;dig
David Bowie;I Dig Everything;everything
David Bowie;I Dig Everything;ain't
David Bowie;I Dig Everything;had
David Bowie;I Dig Everything;a
David Bowie;I Dig Everything;job
David Bowie;I Dig Everything;for
David Bowie;I Dig Everything;a
David Bowie;I Dig Everything;year
David Bowie;I Dig Everything;or
David Bowie;I Dig Everything;more
David Bowie;I Dig Everything;and
David Bowie;I Dig Everything;i
David Bowie;I Dig Everything;don't
David Bowie;I Dig Everything;know
David Bowie;I Dig Everything;a
David Bowie;I Dig Everything;thing
David Bowie;I Dig Everything;-
David Bowie;I Dig Everything;dig
David Bowie;I Dig Everything;everything
David Bowie;I Dig Everything;i've
David Bowie;I Dig Everything;got
David Bowie;I Dig Everything;the
David Bowie;I Dig Everything;village
David Bowie;I Dig Everything;i
David Bowie;I Dig Everything;love
David Bowie;I Dig Everything;-
David Bowie;I Dig Everything;dig
David Bowie;I Dig Everything;everything
David Bowie;I Dig Everything;i
David Bowie;I Dig Everything;walk
David Bowie;I Dig Everything;along
David Bowie;I Dig Everything;beside
David Bowie;I Dig Everything;the
David Bowie;I Dig Everything;garbagemen
David Bowie;I Dig Everything;and
David Bowie;I Dig Everything;i
David Bowie;I Dig Everything;dig
David Bowie;I Dig Everything;everything
David Bowie;I Dig Everything;-
David Bowie;I Dig Everything;dig
David Bowie;I Dig Everything;everything
David Bowie;I Dig Everything;i
David Bowie;I Dig Everything;wave
David Bowie;I Dig Everything;to
David Bowie;I Dig Everything;the
David Bowie;I Dig Everything;policemen,
David Bowie;I Dig Everything;but
David Bowie;I Dig Everything;they
David Bowie;I Dig Everything;don't
David Bowie;I Dig Everything;wave
David Bowie;I Dig Everything;back
David Bowie;I Dig Everything;they
David Bowie;I Dig Everything;don't
David Bowie;I Dig Everything;dig
David Bowie;I Dig Everything;anything
David Bowie;I Dig Everything;-
David Bowie;I Dig Everything;dig
David Bowie;I Dig Everything;everything
David Bowie;I Dig Everything;ain't
David Bowie;I Dig Everything;had
David Bowie;I Dig Everything;a
David Bowie;I Dig Everything;job
David Bowie;I Dig Everything;for
David Bowie;I Dig Everything;a
David Bowie;I Dig Everything;year
David Bowie;I Dig Everything;or
David Bowie;I Dig Everything;more
David Bowie;I Dig Everything;and
David Bowie;I Dig Everything;i
