artist_name;song_title;token
David Bowie;I'm Not Losing Sleep;yes,
David Bowie;I'm Not Losing Sleep;i've
David Bowie;I'm Not Losing Sleep;read
David Bowie;I'm Not Losing Sleep;the
David Bowie;I'm Not Losing Sleep;morning
David Bowie;I'm Not Losing Sleep;papers
David Bowie;I'm Not Losing Sleep;telling
David Bowie;I'm Not Losing Sleep;me
David Bowie;I'm Not Losing Sleep;that
David Bowie;I'm Not Losing Sleep;you've
David Bowie;I'm Not Losing Sleep;made
David Bowie;I'm Not Losing Sleep;money
David Bowie;I'm Not Losing Sleep;do
David Bowie;I'm Not Losing Sleep;you
David Bowie;I'm Not Losing Sleep;think
David Bowie;I'm Not Losing Sleep;i'm
David Bowie;I'm Not Losing Sleep;gonna
David Bowie;I'm Not Losing Sleep;crawl,
David Bowie;I'm Not Losing Sleep;then
David Bowie;I'm Not Losing Sleep;think
David Bowie;I'm Not Losing Sleep;again
David Bowie;I'm Not Losing Sleep;though
David Bowie;I'm Not Losing Sleep;i'm
David Bowie;I'm Not Losing Sleep;dressed
David Bowie;I'm Not Losing Sleep;in
David Bowie;I'm Not Losing Sleep;rags,
David Bowie;I'm Not Losing Sleep;i'm
David Bowie;I'm Not Losing Sleep;richer
David Bowie;I'm Not Losing Sleep;though
David Bowie;I'm Not Losing Sleep;i
David Bowie;I'm Not Losing Sleep;eat
David Bowie;I'm Not Losing Sleep;from
David Bowie;I'm Not Losing Sleep;tins,
David Bowie;I'm Not Losing Sleep;i'm
David Bowie;I'm Not Losing Sleep;healthier
David Bowie;I'm Not Losing Sleep;though
David Bowie;I'm Not Losing Sleep;i
David Bowie;I'm Not Losing Sleep;live
David Bowie;I'm Not Losing Sleep;in
David Bowie;I'm Not Losing Sleep;slums,
David Bowie;I'm Not Losing Sleep;i'm
David Bowie;I'm Not Losing Sleep;purer
David Bowie;I'm Not Losing Sleep;than
David Bowie;I'm Not Losing Sleep;you,
David Bowie;I'm Not Losing Sleep;my
David Bowie;I'm Not Losing Sleep;friend
David Bowie;I'm Not Losing Sleep;too
David Bowie;I'm Not Losing Sleep;bad,
David Bowie;I'm Not Losing Sleep;i'm
David Bowie;I'm Not Losing Sleep;not
David Bowie;I'm Not Losing Sleep;losing
David Bowie;I'm Not Losing Sleep;sleep
David Bowie;I'm Not Losing Sleep;(too
David Bowie;I'm Not Losing Sleep;bad)
David Bowie;I'm Not Losing Sleep;i'm
David Bowie;I'm Not Losing Sleep;just
David Bowie;I'm Not Losing Sleep;counting
David Bowie;I'm Not Losing Sleep;sheep
David Bowie;I'm Not Losing Sleep;yes,
David Bowie;I'm Not Losing Sleep;i've
David Bowie;I'm Not Losing Sleep;read
David Bowie;I'm Not Losing Sleep;the
David Bowie;I'm Not Losing Sleep;morning
David Bowie;I'm Not Losing Sleep;papers
David Bowie;I'm Not Losing Sleep;telling
David Bowie;I'm Not Losing Sleep;me
David Bowie;I'm Not Losing Sleep;that
David Bowie;I'm Not Losing Sleep;you've
David Bowie;I'm Not Losing Sleep;made
David Bowie;I'm Not Losing Sleep;money
David Bowie;I'm Not Losing Sleep;do
David Bowie;I'm Not Losing Sleep;you
David Bowie;I'm Not Losing Sleep;think
David Bowie;I'm Not Losing Sleep;i'm
David Bowie;I'm Not Losing Sleep;gonna
David Bowie;I'm Not Losing Sleep;crawl,
David Bowie;I'm Not Losing Sleep;then
David Bowie;I'm Not Losing Sleep;think
David Bowie;I'm Not Losing Sleep;again
David Bowie;I'm Not Losing Sleep;though
David Bowie;I'm Not Losing Sleep;i'm
David Bowie;I'm Not Losing Sleep;dressed
David Bowie;I'm Not Losing Sleep;in
David Bowie;I'm Not Losing Sleep;rags,
David Bowie;I'm Not Losing Sleep;i'm
David Bowie;I'm Not Losing Sleep;richer
David Bowie;I'm Not Losing Sleep;though
David Bowie;I'm Not Losing Sleep;i
David Bowie;I'm Not Losing Sleep;eat
David Bowie;I'm Not Losing Sleep;from
David Bowie;I'm Not Losing Sleep;tins,
David Bowie;I'm Not Losing Sleep;i'm
David Bowie;I'm Not Losing Sleep;healthier
David Bowie;I'm Not Losing Sleep;though
David Bowie;I'm Not Losing Sleep;i
David Bowie;I'm Not Losing Sleep;live
