artist_name;song_title;token
David Bowie;Like A Rocket Man;little
David Bowie;Like A Rocket Man;wendy
David Bowie;Like A Rocket Man;cocaine
David Bowie;Like A Rocket Man;stumbles
David Bowie;Like A Rocket Man;up
David Bowie;Like A Rocket Man;the
David Bowie;Like A Rocket Man;hill
David Bowie;Like A Rocket Man;to
David Bowie;Like A Rocket Man;pain
David Bowie;Like A Rocket Man;nothing
David Bowie;Like A Rocket Man;stops
David Bowie;Like A Rocket Man;the
David Bowie;Like A Rocket Man;go-to
David Bowie;Like A Rocket Man;girl,
David Bowie;Like A Rocket Man;nothing
David Bowie;Like A Rocket Man;takes
David Bowie;Like A Rocket Man;the
David Bowie;Like A Rocket Man;place
David Bowie;Like A Rocket Man;of
David Bowie;Like A Rocket Man;taking
David Bowie;Like A Rocket Man;aim
David Bowie;Like A Rocket Man;little
David Bowie;Like A Rocket Man;wendy's
David Bowie;Like A Rocket Man;out
David Bowie;Like A Rocket Man;there
David Bowie;Like A Rocket Man;shaking
David Bowie;Like A Rocket Man;hips
David Bowie;Like A Rocket Man;and
David Bowie;Like A Rocket Man;cuckoo
David Bowie;Like A Rocket Man;eyes
