artist_name;song_title;token
David Bowie;Lucy Can't Dance;lucy
David Bowie;Lucy Can't Dance;i
David Bowie;Lucy Can't Dance;know
David Bowie;Lucy Can't Dance;what
David Bowie;Lucy Can't Dance;you're
David Bowie;Lucy Can't Dance;going
David Bowie;Lucy Can't Dance;to
David Bowie;Lucy Can't Dance;going
David Bowie;Lucy Can't Dance;to
David Bowie;Lucy Can't Dance;do
David Bowie;Lucy Can't Dance;oh
David Bowie;Lucy Can't Dance;lucy
David Bowie;Lucy Can't Dance;look
David Bowie;Lucy Can't Dance;what
David Bowie;Lucy Can't Dance;you're
David Bowie;Lucy Can't Dance;doing
David Bowie;Lucy Can't Dance;i'm
David Bowie;Lucy Can't Dance;doing
David Bowie;Lucy Can't Dance;it
David Bowie;Lucy Can't Dance;too
David Bowie;Lucy Can't Dance;now
David Bowie;Lucy Can't Dance;you're
David Bowie;Lucy Can't Dance;looking
David Bowie;Lucy Can't Dance;for
David Bowie;Lucy Can't Dance;god
David Bowie;Lucy Can't Dance;in
David Bowie;Lucy Can't Dance;exciting
David Bowie;Lucy Can't Dance;new
David Bowie;Lucy Can't Dance;ways
David Bowie;Lucy Can't Dance;i
David Bowie;Lucy Can't Dance;say
David Bowie;Lucy Can't Dance;trust
David Bowie;Lucy Can't Dance;him
David Bowie;Lucy Can't Dance;at
David Bowie;Lucy Can't Dance;once
David Bowie;Lucy Can't Dance;which
David Bowie;Lucy Can't Dance;is
David Bowie;Lucy Can't Dance;something
David Bowie;Lucy Can't Dance;these
David Bowie;Lucy Can't Dance;days
David Bowie;Lucy Can't Dance;lucy
David Bowie;Lucy Can't Dance;can't
David Bowie;Lucy Can't Dance;dance
David Bowie;Lucy Can't Dance;to
David Bowie;Lucy Can't Dance;the
David Bowie;Lucy Can't Dance;noise
David Bowie;Lucy Can't Dance;but
David Bowie;Lucy Can't Dance;she
David Bowie;Lucy Can't Dance;knows
David Bowie;Lucy Can't Dance;what
David Bowie;Lucy Can't Dance;the
David Bowie;Lucy Can't Dance;noise
David Bowie;Lucy Can't Dance;can
David Bowie;Lucy Can't Dance;do
David Bowie;Lucy Can't Dance;lucy
David Bowie;Lucy Can't Dance;i
David Bowie;Lucy Can't Dance;know
David Bowie;Lucy Can't Dance;what
David Bowie;Lucy Can't Dance;you're
David Bowie;Lucy Can't Dance;going
David Bowie;Lucy Can't Dance;to
David Bowie;Lucy Can't Dance;going
David Bowie;Lucy Can't Dance;to
David Bowie;Lucy Can't Dance;do
David Bowie;Lucy Can't Dance;oh
David Bowie;Lucy Can't Dance;lucy
David Bowie;Lucy Can't Dance;look
David Bowie;Lucy Can't Dance;what
David Bowie;Lucy Can't Dance;you're
David Bowie;Lucy Can't Dance;doing
David Bowie;Lucy Can't Dance;i'm
David Bowie;Lucy Can't Dance;doing
David Bowie;Lucy Can't Dance;it
David Bowie;Lucy Can't Dance;too
David Bowie;Lucy Can't Dance;now
David Bowie;Lucy Can't Dance;you're
David Bowie;Lucy Can't Dance;looking
David Bowie;Lucy Can't Dance;for
David Bowie;Lucy Can't Dance;god
David Bowie;Lucy Can't Dance;in
David Bowie;Lucy Can't Dance;exciting
David Bowie;Lucy Can't Dance;new
David Bowie;Lucy Can't Dance;ways
David Bowie;Lucy Can't Dance;i
David Bowie;Lucy Can't Dance;say
David Bowie;Lucy Can't Dance;trust
David Bowie;Lucy Can't Dance;him
David Bowie;Lucy Can't Dance;at
David Bowie;Lucy Can't Dance;once
David Bowie;Lucy Can't Dance;which
David Bowie;Lucy Can't Dance;is
David Bowie;Lucy Can't Dance;something
David Bowie;Lucy Can't Dance;these
David Bowie;Lucy Can't Dance;days
David Bowie;Lucy Can't Dance;lucy
