artist_name;song_title;token
David Bowie;New York's In Love;here
David Bowie;New York's In Love;it
David Bowie;New York's In Love;is
David Bowie;New York's In Love;do
David Bowie;New York's In Love;you
David Bowie;New York's In Love;see
David Bowie;New York's In Love;that
David Bowie;New York's In Love;thing
David Bowie;New York's In Love;(that
David Bowie;New York's In Love;thing)
David Bowie;New York's In Love;i'm
David Bowie;New York's In Love;sure
David Bowie;New York's In Love;it's
David Bowie;New York's In Love;love
David Bowie;New York's In Love;(it's
David Bowie;New York's In Love;love)
David Bowie;New York's In Love;would
David Bowie;New York's In Love;you
David Bowie;New York's In Love;do
David Bowie;New York's In Love;one
David Bowie;New York's In Love;thing
David Bowie;New York's In Love;new
David Bowie;New York's In Love;york's
David Bowie;New York's In Love;in
David Bowie;New York's In Love;love
David Bowie;New York's In Love;the
David Bowie;New York's In Love;city
David Bowie;New York's In Love;grew
David Bowie;New York's In Love;wings
David Bowie;New York's In Love;in
David Bowie;New York's In Love;the
David Bowie;New York's In Love;back
David Bowie;New York's In Love;of
David Bowie;New York's In Love;the
David Bowie;New York's In Love;night
David Bowie;New York's In Love;the
David Bowie;New York's In Love;clouds
David Bowie;New York's In Love;are
David Bowie;New York's In Love;stuck
David Bowie;New York's In Love;like
David Bowie;New York's In Love;candy-floss
David Bowie;New York's In Love;she
David Bowie;New York's In Love;sees
David Bowie;New York's In Love;the
David Bowie;New York's In Love;rich
David Bowie;New York's In Love;trash
David Bowie;New York's In Love;having
David Bowie;New York's In Love;all
David Bowie;New York's In Love;the
David Bowie;New York's In Love;fun
David Bowie;New York's In Love;makes
David Bowie;New York's In Love;her
David Bowie;New York's In Love;wonder
David Bowie;New York's In Love;where
David Bowie;New York's In Love;they
David Bowie;New York's In Love;get
David Bowie;New York's In Love;the
David Bowie;New York's In Love;energy
David Bowie;New York's In Love;from
David Bowie;New York's In Love;here
David Bowie;New York's In Love;it
David Bowie;New York's In Love;is
David Bowie;New York's In Love;do
David Bowie;New York's In Love;you
David Bowie;New York's In Love;see
David Bowie;New York's In Love;that
David Bowie;New York's In Love;thing
David Bowie;New York's In Love;(that
David Bowie;New York's In Love;thing)
David Bowie;New York's In Love;i'm
David Bowie;New York's In Love;sure
David Bowie;New York's In Love;it's
David Bowie;New York's In Love;love
David Bowie;New York's In Love;(it's
David Bowie;New York's In Love;love)
David Bowie;New York's In Love;would
David Bowie;New York's In Love;you
David Bowie;New York's In Love;do
David Bowie;New York's In Love;one
David Bowie;New York's In Love;thing
David Bowie;New York's In Love;new
David Bowie;New York's In Love;york's
David Bowie;New York's In Love;in
David Bowie;New York's In Love;love
David Bowie;New York's In Love;the
David Bowie;New York's In Love;city
David Bowie;New York's In Love;grew
David Bowie;New York's In Love;wings
David Bowie;New York's In Love;in
David Bowie;New York's In Love;the
David Bowie;New York's In Love;back
David Bowie;New York's In Love;of
David Bowie;New York's In Love;the
David Bowie;New York's In Love;night
David Bowie;New York's In Love;the
David Bowie;New York's In Love;clouds
David Bowie;New York's In Love;are
David Bowie;New York's In Love;stuck
David Bowie;New York's In Love;like
David Bowie;New York's In Love;candy-floss
David Bowie;New York's In Love;she
David Bowie;New York's In Love;sees
David Bowie;New York's In Love;the
David Bowie;New York's In Love;rich
David Bowie;New York's In Love;trash
David Bowie;New York's In Love;having
David Bowie;New York's In Love;all
David Bowie;New York's In Love;the
David Bowie;New York's In Love;fun
David Bowie;New York's In Love;makes
David Bowie;New York's In Love;her
David Bowie;New York's In Love;wonder
David Bowie;New York's In Love;where
David Bowie;New York's In Love;they
David Bowie;New York's In Love;get
David Bowie;New York's In Love;the
David Bowie;New York's In Love;energy
David Bowie;New York's In Love;from
David Bowie;New York's In Love;there's
David Bowie;New York's In Love;nothing
David Bowie;New York's In Love;you
David Bowie;New York's In Love;can
David Bowie;New York's In Love;do
David Bowie;New York's In Love;to
David Bowie;New York's In Love;her
David Bowie;New York's In Love;this
David Bowie;New York's In Love;city's
David Bowie;New York's In Love;all
David Bowie;New York's In Love;clean
David Bowie;New York's In Love;and
David Bowie;New York's In Love;waiting
David Bowie;New York's In Love;i
David Bowie;New York's In Love;don't
David Bowie;New York's In Love;mean
David Bowie;New York's In Love;to
David Bowie;New York's In Love;wait
David Bowie;New York's In Love;too
David Bowie;New York's In Love;long
David Bowie;New York's In Love;but
David Bowie;New York's In Love;this
David Bowie;New York's In Love;joint
David Bowie;New York's In Love;can't
David Bowie;New York's In Love;get
David Bowie;New York's In Love;much
David Bowie;New York's In Love;higher
David Bowie;New York's In Love;new
David Bowie;New York's In Love;york's
David Bowie;New York's In Love;in
David Bowie;New York's In Love;love
David Bowie;New York's In Love;with
David Bowie;New York's In Love;her
David Bowie;New York's In Love;big
David Bowie;New York's In Love;green
David Bowie;New York's In Love;eyes
David Bowie;New York's In Love;and
David Bowie;New York's In Love;her
David Bowie;New York's In Love;long
David Bowie;New York's In Love;blonde
David Bowie;New York's In Love;hair
David Bowie;New York's In Love;new
David Bowie;New York's In Love;york's
David Bowie;New York's In Love;in
David Bowie;New York's In Love;flames
David Bowie;New York's In Love;new
David Bowie;New York's In Love;york's
David Bowie;New York's In Love;in
David Bowie;New York's In Love;love
David Bowie;New York's In Love;with
David Bowie;New York's In Love;the
David Bowie;New York's In Love;way
David Bowie;New York's In Love;she
David Bowie;New York's In Love;talks
David Bowie;New York's In Love;(t-t-talks,
David Bowie;New York's In Love;t-t-talks)
David Bowie;New York's In Love;and
David Bowie;New York's In Love;the
David Bowie;New York's In Love;way
David Bowie;New York's In Love;she
David Bowie;New York's In Love;walks
David Bowie;New York's In Love;new
David Bowie;New York's In Love;york's
David Bowie;New York's In Love;in
David Bowie;New York's In Love;love
David Bowie;New York's In Love;goo
David Bowie;New York's In Love;goo
David Bowie;New York's In Love;goo
David Bowie;New York's In Love;goo
David Bowie;New York's In Love;goo
David Bowie;New York's In Love;goo
David Bowie;New York's In Love;my,
David Bowie;New York's In Love;oh
David Bowie;New York's In Love;my,
David Bowie;New York's In Love;it's
David Bowie;New York's In Love;a
David Bowie;New York's In Love;tom-tom
David Bowie;New York's In Love;beat
David Bowie;New York's In Love;no-one
David Bowie;New York's In Love;knows
David Bowie;New York's In Love;they've
David Bowie;New York's In Love;had
David Bowie;New York's In Love;their
David Bowie;New York's In Love;day
David Bowie;New York's In Love;we
David Bowie;New York's In Love;can
David Bowie;New York's In Love;dance
David Bowie;New York's In Love;and
David Bowie;New York's In Love;we
David Bowie;New York's In Love;can
David Bowie;New York's In Love;see
David Bowie;New York's In Love;the
David Bowie;New York's In Love;singles
David Bowie;New York's In Love;swing
David Bowie;New York's In Love;everybody's
David Bowie;New York's In Love;waiting
David Bowie;New York's In Love;for
David Bowie;New York's In Love;the
David Bowie;New York's In Love;go-go
David Bowie;New York's In Love;boys
David Bowie;New York's In Love;you're
David Bowie;New York's In Love;turned
David Bowie;New York's In Love;to
David Bowie;New York's In Love;stone
David Bowie;New York's In Love;by
David Bowie;New York's In Love;the
David Bowie;New York's In Love;family
David Bowie;New York's In Love;it's
David Bowie;New York's In Love;now
David Bowie;New York's In Love;the
David Bowie;New York's In Love;dead
David Bowie;New York's In Love;speak
David Bowie;New York's In Love;to
David Bowie;New York's In Love;the
David Bowie;New York's In Love;living
David Bowie;New York's In Love;nothing
David Bowie;New York's In Love;left
David Bowie;New York's In Love;here
David Bowie;New York's In Love;but
David Bowie;New York's In Love;a
David Bowie;New York's In Love;raging
David Bowie;New York's In Love;blaze
David Bowie;New York's In Love;i
David Bowie;New York's In Love;don't
David Bowie;New York's In Love;mean
David Bowie;New York's In Love;to
David Bowie;New York's In Love;wait
David Bowie;New York's In Love;too
David Bowie;New York's In Love;long
David Bowie;New York's In Love;new
David Bowie;New York's In Love;york's
David Bowie;New York's In Love;in
David Bowie;New York's In Love;love
David Bowie;New York's In Love;with
David Bowie;New York's In Love;her
David Bowie;New York's In Love;big
David Bowie;New York's In Love;green
David Bowie;New York's In Love;eyes
David Bowie;New York's In Love;and
David Bowie;New York's In Love;her
David Bowie;New York's In Love;long
David Bowie;New York's In Love;blonde
David Bowie;New York's In Love;hair
David Bowie;New York's In Love;new
David Bowie;New York's In Love;york's
David Bowie;New York's In Love;in
David Bowie;New York's In Love;flames
David Bowie;New York's In Love;new
David Bowie;New York's In Love;york's
David Bowie;New York's In Love;in
David Bowie;New York's In Love;love
David Bowie;New York's In Love;with
David Bowie;New York's In Love;the
David Bowie;New York's In Love;way
David Bowie;New York's In Love;she
David Bowie;New York's In Love;talks
David Bowie;New York's In Love;and
David Bowie;New York's In Love;the
David Bowie;New York's In Love;way
David Bowie;New York's In Love;she
David Bowie;New York's In Love;walks
David Bowie;New York's In Love;(walk
David Bowie;New York's In Love;that
David Bowie;New York's In Love;walk)
David Bowie;New York's In Love;new
David Bowie;New York's In Love;york's
David Bowie;New York's In Love;in
David Bowie;New York's In Love;love
David Bowie;New York's In Love;goo
David Bowie;New York's In Love;goo
David Bowie;New York's In Love;goo
David Bowie;New York's In Love;goo
David Bowie;New York's In Love;goo
David Bowie;New York's In Love;goo
David Bowie;New York's In Love;pretty
David Bowie;New York's In Love;as
David Bowie;New York's In Love;a
David Bowie;New York's In Love;picture
David Bowie;New York's In Love;new
David Bowie;New York's In Love;york,
David Bowie;New York's In Love;new
David Bowie;New York's In Love;york
David Bowie;New York's In Love;ugly
David Bowie;New York's In Love;on
David Bowie;New York's In Love;each
David Bowie;New York's In Love;side
David Bowie;New York's In Love;new
David Bowie;New York's In Love;york's
David Bowie;New York's In Love;in
David Bowie;New York's In Love;love
David Bowie;New York's In Love;new
David Bowie;New York's In Love;york's
David Bowie;New York's In Love;in
David Bowie;New York's In Love;love
David Bowie;New York's In Love;new
David Bowie;New York's In Love;york's
David Bowie;New York's In Love;in
David Bowie;New York's In Love;flames
David Bowie;New York's In Love;new
David Bowie;New York's In Love;york's
David Bowie;New York's In Love;in
David Bowie;New York's In Love;love
David Bowie;New York's In Love;new
David Bowie;New York's In Love;york,
David Bowie;New York's In Love;new
David Bowie;New York's In Love;york
