artist_name;song_title;token
David Bowie;Rebel Rebel;doo
David Bowie;Rebel Rebel;doo
David Bowie;Rebel Rebel;doo-doo
David Bowie;Rebel Rebel;doo
David Bowie;Rebel Rebel;doo
David Bowie;Rebel Rebel;doo
David Bowie;Rebel Rebel;doo
David Bowie;Rebel Rebel;doo
David Bowie;Rebel Rebel;doo
David Bowie;Rebel Rebel;doo-doo
David Bowie;Rebel Rebel;doo
David Bowie;Rebel Rebel;doo
David Bowie;Rebel Rebel;doo
David Bowie;Rebel Rebel;doo
David Bowie;Rebel Rebel;doo
David Bowie;Rebel Rebel;doo
David Bowie;Rebel Rebel;doo-doo
David Bowie;Rebel Rebel;doo
David Bowie;Rebel Rebel;doo
David Bowie;Rebel Rebel;doo
David Bowie;Rebel Rebel;doo
David Bowie;Rebel Rebel;you've
David Bowie;Rebel Rebel;got
David Bowie;Rebel Rebel;your
David Bowie;Rebel Rebel;mother
David Bowie;Rebel Rebel;in
David Bowie;Rebel Rebel;a
David Bowie;Rebel Rebel;whirl
David Bowie;Rebel Rebel;she's
David Bowie;Rebel Rebel;not
David Bowie;Rebel Rebel;sure
David Bowie;Rebel Rebel;if
David Bowie;Rebel Rebel;you're
David Bowie;Rebel Rebel;a
David Bowie;Rebel Rebel;boy
David Bowie;Rebel Rebel;or
David Bowie;Rebel Rebel;a
David Bowie;Rebel Rebel;girl
David Bowie;Rebel Rebel;hey
David Bowie;Rebel Rebel;babe,
David Bowie;Rebel Rebel;your
David Bowie;Rebel Rebel;hair's
David Bowie;Rebel Rebel;alright
David Bowie;Rebel Rebel;hey
David Bowie;Rebel Rebel;babe,
David Bowie;Rebel Rebel;let's
David Bowie;Rebel Rebel;go
David Bowie;Rebel Rebel;out
David Bowie;Rebel Rebel;tonight
David Bowie;Rebel Rebel;you
David Bowie;Rebel Rebel;like
David Bowie;Rebel Rebel;me,
David Bowie;Rebel Rebel;and
David Bowie;Rebel Rebel;i
David Bowie;Rebel Rebel;like
David Bowie;Rebel Rebel;it
David Bowie;Rebel Rebel;all
David Bowie;Rebel Rebel;we
David Bowie;Rebel Rebel;like
