artist_name;song_title;token
David Bowie;What's Really Happening;grown
David Bowie;What's Really Happening;inside
David Bowie;What's Really Happening;a
David Bowie;What's Really Happening;plastic
David Bowie;What's Really Happening;box
David Bowie;What's Really Happening;micro
David Bowie;What's Really Happening;thoughts
David Bowie;What's Really Happening;and
David Bowie;What's Really Happening;safety
David Bowie;What's Really Happening;locks
David Bowie;What's Really Happening;hearts
David Bowie;What's Really Happening;become
David Bowie;What's Really Happening;outdated
David Bowie;What's Really Happening;clocks
David Bowie;What's Really Happening;tickin'
David Bowie;What's Really Happening;in
David Bowie;What's Really Happening;your
David Bowie;What's Really Happening;mind
David Bowie;What's Really Happening;now
David Bowie;What's Really Happening;it's
David Bowie;What's Really Happening;time
David Bowie;What's Really Happening;to
David Bowie;What's Really Happening;close
David Bowie;What's Really Happening;our
David Bowie;What's Really Happening;eyes
David Bowie;What's Really Happening;(ahh)
David Bowie;What's Really Happening;now
David Bowie;What's Really Happening;it's
David Bowie;What's Really Happening;time
David Bowie;What's Really Happening;to
David Bowie;What's Really Happening;say
David Bowie;What's Really Happening;goodbye
David Bowie;What's Really Happening;(ahh)
David Bowie;What's Really Happening;now
David Bowie;What's Really Happening;it's
David Bowie;What's Really Happening;time
David Bowie;What's Really Happening;to
David Bowie;What's Really Happening;face
David Bowie;What's Really Happening;the
David Bowie;What's Really Happening;lie
David Bowie;What's Really Happening;(ahh)
David Bowie;What's Really Happening;that
David Bowie;What's Really Happening;we'd
David Bowie;What's Really Happening;never
David Bowie;What's Really Happening;cry
David Bowie;What's Really Happening;what's
David Bowie;What's Really Happening;really
David Bowie;What's Really Happening;happening?
David Bowie;What's Really Happening;(ya,
David Bowie;What's Really Happening;ya)
David Bowie;What's Really Happening;what
David Bowie;What's Really Happening;tore
David Bowie;What's Really Happening;us
David Bowie;What's Really Happening;apart?
David Bowie;What's Really Happening;(ya,
David Bowie;What's Really Happening;ya)
David Bowie;What's Really Happening;grown
David Bowie;What's Really Happening;inside
David Bowie;What's Really Happening;a
David Bowie;What's Really Happening;plastic
David Bowie;What's Really Happening;box
David Bowie;What's Really Happening;micro
David Bowie;What's Really Happening;thoughts
David Bowie;What's Really Happening;and
David Bowie;What's Really Happening;safety
David Bowie;What's Really Happening;locks
David Bowie;What's Really Happening;hearts
David Bowie;What's Really Happening;become
David Bowie;What's Really Happening;outdated
David Bowie;What's Really Happening;clocks
David Bowie;What's Really Happening;tickin'
David Bowie;What's Really Happening;in
David Bowie;What's Really Happening;your
David Bowie;What's Really Happening;mind
David Bowie;What's Really Happening;now
David Bowie;What's Really Happening;it's
David Bowie;What's Really Happening;time
