artist_name;song_title;token
Backstreet Boys;Drowning;don't
Backstreet Boys;Drowning;pretend
Backstreet Boys;Drowning;you're
Backstreet Boys;Drowning;sorry
Backstreet Boys;Drowning;i
Backstreet Boys;Drowning;know
Backstreet Boys;Drowning;you're
Backstreet Boys;Drowning;not
Backstreet Boys;Drowning;you
Backstreet Boys;Drowning;know
Backstreet Boys;Drowning;you've
Backstreet Boys;Drowning;got
Backstreet Boys;Drowning;the
Backstreet Boys;Drowning;power
Backstreet Boys;Drowning;to
Backstreet Boys;Drowning;make
Backstreet Boys;Drowning;me
Backstreet Boys;Drowning;weak
Backstreet Boys;Drowning;inside
Backstreet Boys;Drowning;and
Backstreet Boys;Drowning;girl,
Backstreet Boys;Drowning;you
Backstreet Boys;Drowning;leave
Backstreet Boys;Drowning;me
Backstreet Boys;Drowning;breathless
Backstreet Boys;Drowning;but
Backstreet Boys;Drowning;it's
Backstreet Boys;Drowning;okay
Backstreet Boys;Drowning;'cause
Backstreet Boys;Drowning;you
Backstreet Boys;Drowning;are
Backstreet Boys;Drowning;my
Backstreet Boys;Drowning;survival
Backstreet Boys;Drowning;now
Backstreet Boys;Drowning;hear
Backstreet Boys;Drowning;me
Backstreet Boys;Drowning;say
Backstreet Boys;Drowning;i
Backstreet Boys;Drowning;can't
Backstreet Boys;Drowning;imagine
Backstreet Boys;Drowning;life
Backstreet Boys;Drowning;without
Backstreet Boys;Drowning;your
Backstreet Boys;Drowning;love
Backstreet Boys;Drowning;and
Backstreet Boys;Drowning;even
Backstreet Boys;Drowning;forever
Backstreet Boys;Drowning;don't
Backstreet Boys;Drowning;seem
Backstreet Boys;Drowning;like
Backstreet Boys;Drowning;long
Backstreet Boys;Drowning;enough
Backstreet Boys;Drowning;every
Backstreet Boys;Drowning;time
Backstreet Boys;Drowning;i
Backstreet Boys;Drowning;breathe,
Backstreet Boys;Drowning;i
Backstreet Boys;Drowning;take
Backstreet Boys;Drowning;you
Backstreet Boys;Drowning;in
Backstreet Boys;Drowning;don't
Backstreet Boys;Drowning;pretend
Backstreet Boys;Drowning;you're
Backstreet Boys;Drowning;sorry
Backstreet Boys;Drowning;i
Backstreet Boys;Drowning;know
Backstreet Boys;Drowning;you're
Backstreet Boys;Drowning;not
Backstreet Boys;Drowning;you
Backstreet Boys;Drowning;know
Backstreet Boys;Drowning;you've
Backstreet Boys;Drowning;got
Backstreet Boys;Drowning;the
Backstreet Boys;Drowning;power
Backstreet Boys;Drowning;to
Backstreet Boys;Drowning;make
Backstreet Boys;Drowning;me
Backstreet Boys;Drowning;weak
Backstreet Boys;Drowning;inside
Backstreet Boys;Drowning;and
Backstreet Boys;Drowning;girl,
Backstreet Boys;Drowning;you
Backstreet Boys;Drowning;leave
Backstreet Boys;Drowning;me
Backstreet Boys;Drowning;breathless
Backstreet Boys;Drowning;but
Backstreet Boys;Drowning;it's
Backstreet Boys;Drowning;okay
Backstreet Boys;Drowning;'cause
Backstreet Boys;Drowning;you
Backstreet Boys;Drowning;are
Backstreet Boys;Drowning;my
Backstreet Boys;Drowning;survival
Backstreet Boys;Drowning;now
Backstreet Boys;Drowning;hear
Backstreet Boys;Drowning;me
Backstreet Boys;Drowning;say
Backstreet Boys;Drowning;i
Backstreet Boys;Drowning;can't
Backstreet Boys;Drowning;imagine
Backstreet Boys;Drowning;life
Backstreet Boys;Drowning;without
Backstreet Boys;Drowning;your
Backstreet Boys;Drowning;love
Backstreet Boys;Drowning;and
Backstreet Boys;Drowning;even
Backstreet Boys;Drowning;forever
Backstreet Boys;Drowning;don't
Backstreet Boys;Drowning;seem
Backstreet Boys;Drowning;like
Backstreet Boys;Drowning;long
Backstreet Boys;Drowning;enough
