artist_name;song_title;token
Backstreet Boys;Love Will Keep You Up All Night;i
Backstreet Boys;Love Will Keep You Up All Night;won't
Backstreet Boys;Love Will Keep You Up All Night;tell
Backstreet Boys;Love Will Keep You Up All Night;nobody
Backstreet Boys;Love Will Keep You Up All Night;i'll
Backstreet Boys;Love Will Keep You Up All Night;just
Backstreet Boys;Love Will Keep You Up All Night;scream
Backstreet Boys;Love Will Keep You Up All Night;it
Backstreet Boys;Love Will Keep You Up All Night;in
Backstreet Boys;Love Will Keep You Up All Night;my
Backstreet Boys;Love Will Keep You Up All Night;mind
Backstreet Boys;Love Will Keep You Up All Night;nothing
Backstreet Boys;Love Will Keep You Up All Night;good
Backstreet Boys;Love Will Keep You Up All Night;in
Backstreet Boys;Love Will Keep You Up All Night;life
Backstreet Boys;Love Will Keep You Up All Night;is
Backstreet Boys;Love Will Keep You Up All Night;scripted
Backstreet Boys;Love Will Keep You Up All Night;it's
Backstreet Boys;Love Will Keep You Up All Night;not
Backstreet Boys;Love Will Keep You Up All Night;like
Backstreet Boys;Love Will Keep You Up All Night;we
Backstreet Boys;Love Will Keep You Up All Night;predicted
Backstreet Boys;Love Will Keep You Up All Night;that
Backstreet Boys;Love Will Keep You Up All Night;the
Backstreet Boys;Love Will Keep You Up All Night;one
Backstreet Boys;Love Will Keep You Up All Night;you
Backstreet Boys;Love Will Keep You Up All Night;want
Backstreet Boys;Love Will Keep You Up All Night;is
Backstreet Boys;Love Will Keep You Up All Night;gonna
Backstreet Boys;Love Will Keep You Up All Night;be
Backstreet Boys;Love Will Keep You Up All Night;the
Backstreet Boys;Love Will Keep You Up All Night;one
Backstreet Boys;Love Will Keep You Up All Night;you
Backstreet Boys;Love Will Keep You Up All Night;thought
Backstreet Boys;Love Will Keep You Up All Night;i
Backstreet Boys;Love Will Keep You Up All Night;won't
Backstreet Boys;Love Will Keep You Up All Night;tell
Backstreet Boys;Love Will Keep You Up All Night;nobody
Backstreet Boys;Love Will Keep You Up All Night;but
Backstreet Boys;Love Will Keep You Up All Night;i
Backstreet Boys;Love Will Keep You Up All Night;won't
Backstreet Boys;Love Will Keep You Up All Night;live
Backstreet Boys;Love Will Keep You Up All Night;like
Backstreet Boys;Love Will Keep You Up All Night;a
Backstreet Boys;Love Will Keep You Up All Night;prisoner
Backstreet Boys;Love Will Keep You Up All Night;nothing
Backstreet Boys;Love Will Keep You Up All Night;has
Backstreet Boys;Love Will Keep You Up All Night;to
Backstreet Boys;Love Will Keep You Up All Night;be
Backstreet Boys;Love Will Keep You Up All Night;so
Backstreet Boys;Love Will Keep You Up All Night;perfect
Backstreet Boys;Love Will Keep You Up All Night;can
Backstreet Boys;Love Will Keep You Up All Night;you
Backstreet Boys;Love Will Keep You Up All Night;tell
Backstreet Boys;Love Will Keep You Up All Night;me
Backstreet Boys;Love Will Keep You Up All Night;was
Backstreet Boys;Love Will Keep You Up All Night;it
Backstreet Boys;Love Will Keep You Up All Night;worth
Backstreet Boys;Love Will Keep You Up All Night;it
Backstreet Boys;Love Will Keep You Up All Night;because
Backstreet Boys;Love Will Keep You Up All Night;her
Backstreet Boys;Love Will Keep You Up All Night;heart
Backstreet Boys;Love Will Keep You Up All Night;can't
Backstreet Boys;Love Will Keep You Up All Night;lie
Backstreet Boys;Love Will Keep You Up All Night;i
Backstreet Boys;Love Will Keep You Up All Night;won't
Backstreet Boys;Love Will Keep You Up All Night;tell
Backstreet Boys;Love Will Keep You Up All Night;nobody
Backstreet Boys;Love Will Keep You Up All Night;i'll
Backstreet Boys;Love Will Keep You Up All Night;just
Backstreet Boys;Love Will Keep You Up All Night;scream
Backstreet Boys;Love Will Keep You Up All Night;it
Backstreet Boys;Love Will Keep You Up All Night;in
Backstreet Boys;Love Will Keep You Up All Night;my
Backstreet Boys;Love Will Keep You Up All Night;mind
Backstreet Boys;Love Will Keep You Up All Night;nothing
Backstreet Boys;Love Will Keep You Up All Night;good
Backstreet Boys;Love Will Keep You Up All Night;in
Backstreet Boys;Love Will Keep You Up All Night;life
Backstreet Boys;Love Will Keep You Up All Night;is
Backstreet Boys;Love Will Keep You Up All Night;scripted
Backstreet Boys;Love Will Keep You Up All Night;it's
Backstreet Boys;Love Will Keep You Up All Night;not
Backstreet Boys;Love Will Keep You Up All Night;like
Backstreet Boys;Love Will Keep You Up All Night;we
Backstreet Boys;Love Will Keep You Up All Night;predicted
Backstreet Boys;Love Will Keep You Up All Night;that
Backstreet Boys;Love Will Keep You Up All Night;the
Backstreet Boys;Love Will Keep You Up All Night;one
Backstreet Boys;Love Will Keep You Up All Night;you
Backstreet Boys;Love Will Keep You Up All Night;want
Backstreet Boys;Love Will Keep You Up All Night;is
Backstreet Boys;Love Will Keep You Up All Night;gonna
Backstreet Boys;Love Will Keep You Up All Night;be
Backstreet Boys;Love Will Keep You Up All Night;the
Backstreet Boys;Love Will Keep You Up All Night;one
Backstreet Boys;Love Will Keep You Up All Night;you
Backstreet Boys;Love Will Keep You Up All Night;thought
Backstreet Boys;Love Will Keep You Up All Night;i
Backstreet Boys;Love Will Keep You Up All Night;won't
Backstreet Boys;Love Will Keep You Up All Night;tell
Backstreet Boys;Love Will Keep You Up All Night;nobody
Backstreet Boys;Love Will Keep You Up All Night;but
Backstreet Boys;Love Will Keep You Up All Night;i
Backstreet Boys;Love Will Keep You Up All Night;won't
Backstreet Boys;Love Will Keep You Up All Night;live
Backstreet Boys;Love Will Keep You Up All Night;like
Backstreet Boys;Love Will Keep You Up All Night;a
Backstreet Boys;Love Will Keep You Up All Night;prisoner
Backstreet Boys;Love Will Keep You Up All Night;nothing
Backstreet Boys;Love Will Keep You Up All Night;has
Backstreet Boys;Love Will Keep You Up All Night;to
Backstreet Boys;Love Will Keep You Up All Night;be
Backstreet Boys;Love Will Keep You Up All Night;so
Backstreet Boys;Love Will Keep You Up All Night;perfect
Backstreet Boys;Love Will Keep You Up All Night;can
