artist_name;song_title;token
Backstreet Boys;Loving You;i
Backstreet Boys;Loving You;let
Backstreet Boys;Loving You;the
Backstreet Boys;Loving You;heat,
Backstreet Boys;Loving You;let
Backstreet Boys;Loving You;the
Backstreet Boys;Loving You;moment
Backstreet Boys;Loving You;let
Backstreet Boys;Loving You;it
Backstreet Boys;Loving You;take
Backstreet Boys;Loving You;control
Backstreet Boys;Loving You;of
Backstreet Boys;Loving You;me
Backstreet Boys;Loving You;a
Backstreet Boys;Loving You;couple
Backstreet Boys;Loving You;drinks
Backstreet Boys;Loving You;had
Backstreet Boys;Loving You;me
Backstreet Boys;Loving You;zone
Backstreet Boys;Loving You;in
Backstreet Boys;Loving You;might
Backstreet Boys;Loving You;have
Backstreet Boys;Loving You;said
Backstreet Boys;Loving You;a
Backstreet Boys;Loving You;couple
Backstreet Boys;Loving You;things
Backstreet Boys;Loving You;that
Backstreet Boys;Loving You;i
Backstreet Boys;Loving You;didn't
Backstreet Boys;Loving You;mean
Backstreet Boys;Loving You;to
Backstreet Boys;Loving You;say,
Backstreet Boys;Loving You;i
Backstreet Boys;Loving You;probably
Backstreet Boys;Loving You;should
Backstreet Boys;Loving You;explain
Backstreet Boys;Loving You;so,
Backstreet Boys;Loving You;you
Backstreet Boys;Loving You;don't
Backstreet Boys;Loving You;think
Backstreet Boys;Loving You;it's
Backstreet Boys;Loving You;just
Backstreet Boys;Loving You;the
Backstreet Boys;Loving You;liquor
Backstreet Boys;Loving You;talking?
Backstreet Boys;Loving You;yeah,
Backstreet Boys;Loving You;you
Backstreet Boys;Loving You;give
Backstreet Boys;Loving You;me
Backstreet Boys;Loving You;feels,
Backstreet Boys;Loving You;but
Backstreet Boys;Loving You;you
Backstreet Boys;Loving You;should
Backstreet Boys;Loving You;know
Backstreet Boys;Loving You;the
Backstreet Boys;Loving You;real
Backstreet Boys;Loving You;i
Backstreet Boys;Loving You;hope
Backstreet Boys;Loving You;you
Backstreet Boys;Loving You;don't
Backstreet Boys;Loving You;get
Backstreet Boys;Loving You;mad
Backstreet Boys;Loving You;when
Backstreet Boys;Loving You;i
Backstreet Boys;Loving You;say
Backstreet Boys;Loving You;i
Backstreet Boys;Loving You;i
Backstreet Boys;Loving You;let
Backstreet Boys;Loving You;the
Backstreet Boys;Loving You;heat,
Backstreet Boys;Loving You;let
Backstreet Boys;Loving You;the
Backstreet Boys;Loving You;moment
Backstreet Boys;Loving You;let
Backstreet Boys;Loving You;it
Backstreet Boys;Loving You;take
Backstreet Boys;Loving You;control
Backstreet Boys;Loving You;of
Backstreet Boys;Loving You;me
Backstreet Boys;Loving You;a
Backstreet Boys;Loving You;couple
Backstreet Boys;Loving You;drinks
Backstreet Boys;Loving You;had
Backstreet Boys;Loving You;me
Backstreet Boys;Loving You;zone
Backstreet Boys;Loving You;in
Backstreet Boys;Loving You;might
Backstreet Boys;Loving You;have
Backstreet Boys;Loving You;said
Backstreet Boys;Loving You;a
Backstreet Boys;Loving You;couple
Backstreet Boys;Loving You;things
Backstreet Boys;Loving You;that
Backstreet Boys;Loving You;i
Backstreet Boys;Loving You;didn't
Backstreet Boys;Loving You;mean
Backstreet Boys;Loving You;to
Backstreet Boys;Loving You;say,
Backstreet Boys;Loving You;i
