artist_name;song_title;token
Backstreet Boys;Rebel;ooh
Backstreet Boys;Rebel;how
Backstreet Boys;Rebel;many
Backstreet Boys;Rebel;times
Backstreet Boys;Rebel;am
Backstreet Boys;Rebel;i
Backstreet Boys;Rebel;gonna
Backstreet Boys;Rebel;let
Backstreet Boys;Rebel;you
Backstreet Boys;Rebel;walk
Backstreet Boys;Rebel;right
Backstreet Boys;Rebel;past
Backstreet Boys;Rebel;i
Backstreet Boys;Rebel;swear
Backstreet Boys;Rebel;sometimes
Backstreet Boys;Rebel;i
Backstreet Boys;Rebel;think
Backstreet Boys;Rebel;i'm
Backstreet Boys;Rebel;moving
Backstreet Boys;Rebel;too
Backstreet Boys;Rebel;fast
Backstreet Boys;Rebel;you
Backstreet Boys;Rebel;never
Backstreet Boys;Rebel;know
Backstreet Boys;Rebel;if
Backstreet Boys;Rebel;it's
Backstreet Boys;Rebel;gonna
Backstreet Boys;Rebel;last
Backstreet Boys;Rebel;i
Backstreet Boys;Rebel;guess
Backstreet Boys;Rebel;that's
Backstreet Boys;Rebel;what
Backstreet Boys;Rebel;scares
Backstreet Boys;Rebel;me
Backstreet Boys;Rebel;sometimes
Backstreet Boys;Rebel;ooh
Backstreet Boys;Rebel;i
Backstreet Boys;Rebel;know
Backstreet Boys;Rebel;it
Backstreet Boys;Rebel;ain't
Backstreet Boys;Rebel;right
Backstreet Boys;Rebel;but
Backstreet Boys;Rebel;i
Backstreet Boys;Rebel;don't
Backstreet Boys;Rebel;wanna
Backstreet Boys;Rebel;let
Backstreet Boys;Rebel;me
Backstreet Boys;Rebel;care
Backstreet Boys;Rebel;i
Backstreet Boys;Rebel;wanna
Backstreet Boys;Rebel;know
Backstreet Boys;Rebel;love
Backstreet Boys;Rebel;but
Backstreet Boys;Rebel;i'm
Backstreet Boys;Rebel;a
Backstreet Boys;Rebel;little
Backstreet Boys;Rebel;scared
Backstreet Boys;Rebel;you
Backstreet Boys;Rebel;never
Backstreet Boys;Rebel;know
Backstreet Boys;Rebel;what
Backstreet Boys;Rebel;you're
Backstreet Boys;Rebel;gonna
Backstreet Boys;Rebel;get
Backstreet Boys;Rebel;ooh
Backstreet Boys;Rebel;how
Backstreet Boys;Rebel;many
Backstreet Boys;Rebel;times
Backstreet Boys;Rebel;am
Backstreet Boys;Rebel;i
Backstreet Boys;Rebel;gonna
