artist_name;song_title;token
Backstreet Boys;That's The Way I Like It;hey,
Backstreet Boys;That's The Way I Like It;yeah
Backstreet Boys;That's The Way I Like It;(that's
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;way
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;like
Backstreet Boys;That's The Way I Like It;it,
Backstreet Boys;That's The Way I Like It;baby,
Backstreet Boys;That's The Way I Like It;that's
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;way
Backstreet Boys;That's The Way I Like It;i)
Backstreet Boys;That's The Way I Like It;that's
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;way
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;like
Backstreet Boys;That's The Way I Like It;it
Backstreet Boys;That's The Way I Like It;(that's
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;way
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;like
Backstreet Boys;That's The Way I Like It;it,
Backstreet Boys;That's The Way I Like It;baby,
Backstreet Boys;That's The Way I Like It;that's
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;way
Backstreet Boys;That's The Way I Like It;i)
Backstreet Boys;That's The Way I Like It;(that's
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;way
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;like
Backstreet Boys;That's The Way I Like It;it)
Backstreet Boys;That's The Way I Like It;somebody
Backstreet Boys;That's The Way I Like It;told
Backstreet Boys;That's The Way I Like It;me
Backstreet Boys;That's The Way I Like It;that
Backstreet Boys;That's The Way I Like It;you're
Backstreet Boys;That's The Way I Like It;not
Backstreet Boys;That's The Way I Like It;my
Backstreet Boys;That's The Way I Like It;kind
Backstreet Boys;That's The Way I Like It;so
Backstreet Boys;That's The Way I Like It;have
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;lost
Backstreet Boys;That's The Way I Like It;my
Backstreet Boys;That's The Way I Like It;mind?
Backstreet Boys;That's The Way I Like It;(that's
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;way
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;like
Backstreet Boys;That's The Way I Like It;it)
Backstreet Boys;That's The Way I Like It;you
Backstreet Boys;That's The Way I Like It;keep
Backstreet Boys;That's The Way I Like It;on
Backstreet Boys;That's The Way I Like It;doing
Backstreet Boys;That's The Way I Like It;all
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;things
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;like
Backstreet Boys;That's The Way I Like It;hey,
Backstreet Boys;That's The Way I Like It;yeah
Backstreet Boys;That's The Way I Like It;(that's
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;way
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;like
Backstreet Boys;That's The Way I Like It;it,
Backstreet Boys;That's The Way I Like It;baby,
Backstreet Boys;That's The Way I Like It;that's
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;way
Backstreet Boys;That's The Way I Like It;i)
Backstreet Boys;That's The Way I Like It;that's
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;way
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;like
Backstreet Boys;That's The Way I Like It;it
Backstreet Boys;That's The Way I Like It;(that's
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;way
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;like
Backstreet Boys;That's The Way I Like It;it,
Backstreet Boys;That's The Way I Like It;baby,
Backstreet Boys;That's The Way I Like It;that's
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;way
Backstreet Boys;That's The Way I Like It;i)
Backstreet Boys;That's The Way I Like It;(that's
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;way
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;like
Backstreet Boys;That's The Way I Like It;it)
Backstreet Boys;That's The Way I Like It;somebody
Backstreet Boys;That's The Way I Like It;told
Backstreet Boys;That's The Way I Like It;me
Backstreet Boys;That's The Way I Like It;that
Backstreet Boys;That's The Way I Like It;you're
Backstreet Boys;That's The Way I Like It;not
Backstreet Boys;That's The Way I Like It;my
Backstreet Boys;That's The Way I Like It;kind
Backstreet Boys;That's The Way I Like It;so
Backstreet Boys;That's The Way I Like It;have
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;lost
Backstreet Boys;That's The Way I Like It;my
Backstreet Boys;That's The Way I Like It;mind?
Backstreet Boys;That's The Way I Like It;(that's
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;way
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;like
Backstreet Boys;That's The Way I Like It;it)
Backstreet Boys;That's The Way I Like It;you
Backstreet Boys;That's The Way I Like It;keep
Backstreet Boys;That's The Way I Like It;on
Backstreet Boys;That's The Way I Like It;doing
Backstreet Boys;That's The Way I Like It;all
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;things
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;like
Backstreet Boys;That's The Way I Like It;you've
Backstreet Boys;That's The Way I Like It;got
Backstreet Boys;That's The Way I Like It;me
Backstreet Boys;That's The Way I Like It;hypnotized
Backstreet Boys;That's The Way I Like It;but
Backstreet Boys;That's The Way I Like It;that's
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;way
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;like
Backstreet Boys;That's The Way I Like It;it
Backstreet Boys;That's The Way I Like It;girl
Backstreet Boys;That's The Way I Like It;you
Backstreet Boys;That's The Way I Like It;make
Backstreet Boys;That's The Way I Like It;me
Backstreet Boys;That's The Way I Like It;wanna
Backstreet Boys;That's The Way I Like It;move
Backstreet Boys;That's The Way I Like It;it's
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;price
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;got
Backstreet Boys;That's The Way I Like It;to
Backstreet Boys;That's The Way I Like It;pay
Backstreet Boys;That's The Way I Like It;for
Backstreet Boys;That's The Way I Like It;all
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;things
Backstreet Boys;That's The Way I Like It;you
Backstreet Boys;That's The Way I Like It;do
Backstreet Boys;That's The Way I Like It;but
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;like
Backstreet Boys;That's The Way I Like It;it
Backstreet Boys;That's The Way I Like It;you
Backstreet Boys;That's The Way I Like It;gotta
Backstreet Boys;That's The Way I Like It;listen
Backstreet Boys;That's The Way I Like It;to
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;groove
Backstreet Boys;That's The Way I Like It;and
Backstreet Boys;That's The Way I Like It;you
Backstreet Boys;That's The Way I Like It;gotta
Backstreet Boys;That's The Way I Like It;listen
Backstreet Boys;That's The Way I Like It;well
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;way
Backstreet Boys;That's The Way I Like It;you
Backstreet Boys;That's The Way I Like It;do
Backstreet Boys;That's The Way I Like It;it
Backstreet Boys;That's The Way I Like It;that's
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;way
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;like
Backstreet Boys;That's The Way I Like It;it
Backstreet Boys;That's The Way I Like It;everybody
Backstreet Boys;That's The Way I Like It;now
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;like
Backstreet Boys;That's The Way I Like It;it
Backstreet Boys;That's The Way I Like It;everybody
Backstreet Boys;That's The Way I Like It;now
Backstreet Boys;That's The Way I Like It;that's
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;way
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;like
Backstreet Boys;That's The Way I Like It;it
Backstreet Boys;That's The Way I Like It;everybody
Backstreet Boys;That's The Way I Like It;come
Backstreet Boys;That's The Way I Like It;on
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;like
Backstreet Boys;That's The Way I Like It;it
Backstreet Boys;That's The Way I Like It;everybody
Backstreet Boys;That's The Way I Like It;come
Backstreet Boys;That's The Way I Like It;on
Backstreet Boys;That's The Way I Like It;that's
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;way
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;like
Backstreet Boys;That's The Way I Like It;it
Backstreet Boys;That's The Way I Like It;oh,
Backstreet Boys;That's The Way I Like It;mystery
Backstreet Boys;That's The Way I Like It;lady,
Backstreet Boys;That's The Way I Like It;you've
Backstreet Boys;That's The Way I Like It;got
Backstreet Boys;That's The Way I Like It;somethin'
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;like
Backstreet Boys;That's The Way I Like It;tell
Backstreet Boys;That's The Way I Like It;me
Backstreet Boys;That's The Way I Like It;you're
Backstreet Boys;That's The Way I Like It;here
Backstreet Boys;That's The Way I Like It;to
Backstreet Boys;That's The Way I Like It;stay
Backstreet Boys;That's The Way I Like It;(ooh
Backstreet Boys;That's The Way I Like It;yeah)
Backstreet Boys;That's The Way I Like It;you're
Backstreet Boys;That's The Way I Like It;dangerous,
Backstreet Boys;That's The Way I Like It;oh
Backstreet Boys;That's The Way I Like It;baby
Backstreet Boys;That's The Way I Like It;could
Backstreet Boys;That's The Way I Like It;you
Backstreet Boys;That's The Way I Like It;do
Backstreet Boys;That's The Way I Like It;me
Backstreet Boys;That's The Way I Like It;right?
Backstreet Boys;That's The Way I Like It;will
Backstreet Boys;That's The Way I Like It;you
Backstreet Boys;That's The Way I Like It;come
Backstreet Boys;That's The Way I Like It;out
Backstreet Boys;That's The Way I Like It;to
Backstreet Boys;That's The Way I Like It;play?
Backstreet Boys;That's The Way I Like It;'cause
Backstreet Boys;That's The Way I Like It;that's
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;way
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;like
Backstreet Boys;That's The Way I Like It;it
Backstreet Boys;That's The Way I Like It;gotta
Backstreet Boys;That's The Way I Like It;listen
Backstreet Boys;That's The Way I Like It;to
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;groove
Backstreet Boys;That's The Way I Like It;and
Backstreet Boys;That's The Way I Like It;you
Backstreet Boys;That's The Way I Like It;gotta
Backstreet Boys;That's The Way I Like It;listen
Backstreet Boys;That's The Way I Like It;well
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;way
Backstreet Boys;That's The Way I Like It;you
Backstreet Boys;That's The Way I Like It;do
Backstreet Boys;That's The Way I Like It;it
Backstreet Boys;That's The Way I Like It;that's
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;way
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;like
Backstreet Boys;That's The Way I Like It;it
Backstreet Boys;That's The Way I Like It;everybody
Backstreet Boys;That's The Way I Like It;now
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;like
Backstreet Boys;That's The Way I Like It;it
Backstreet Boys;That's The Way I Like It;everybody
Backstreet Boys;That's The Way I Like It;now
Backstreet Boys;That's The Way I Like It;that's
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;way
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;like
Backstreet Boys;That's The Way I Like It;it
Backstreet Boys;That's The Way I Like It;everybody
Backstreet Boys;That's The Way I Like It;come
Backstreet Boys;That's The Way I Like It;on
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;like
Backstreet Boys;That's The Way I Like It;it
Backstreet Boys;That's The Way I Like It;everybody
Backstreet Boys;That's The Way I Like It;come
Backstreet Boys;That's The Way I Like It;on
Backstreet Boys;That's The Way I Like It;that's
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;way
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;like
Backstreet Boys;That's The Way I Like It;it
Backstreet Boys;That's The Way I Like It;everybody
Backstreet Boys;That's The Way I Like It;come
Backstreet Boys;That's The Way I Like It;on
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;like
Backstreet Boys;That's The Way I Like It;it
Backstreet Boys;That's The Way I Like It;everybody
Backstreet Boys;That's The Way I Like It;come
Backstreet Boys;That's The Way I Like It;on
Backstreet Boys;That's The Way I Like It;you
Backstreet Boys;That's The Way I Like It;gotta
Backstreet Boys;That's The Way I Like It;listen
Backstreet Boys;That's The Way I Like It;to
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;groove
Backstreet Boys;That's The Way I Like It;and
Backstreet Boys;That's The Way I Like It;you
Backstreet Boys;That's The Way I Like It;gotta
Backstreet Boys;That's The Way I Like It;listen
Backstreet Boys;That's The Way I Like It;well
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;way
Backstreet Boys;That's The Way I Like It;you
Backstreet Boys;That's The Way I Like It;do
Backstreet Boys;That's The Way I Like It;it
Backstreet Boys;That's The Way I Like It;hey,
Backstreet Boys;That's The Way I Like It;yeah!
Backstreet Boys;That's The Way I Like It;that's
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;way
Backstreet Boys;That's The Way I Like It;that
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;like
Backstreet Boys;That's The Way I Like It;it,
Backstreet Boys;That's The Way I Like It;that
Backstreet Boys;That's The Way I Like It;is
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;way
Backstreet Boys;That's The Way I Like It;i
Backstreet Boys;That's The Way I Like It;like
Backstreet Boys;That's The Way I Like It;it
Backstreet Boys;That's The Way I Like It;that's
Backstreet Boys;That's The Way I Like It;the
Backstreet Boys;That's The Way I Like It;way
Backstreet Boys;That's The Way I Like It;that
