artist_name;song_title;token
Johnny Cash;Baby Ride Easy;if
Johnny Cash;Baby Ride Easy;i
Johnny Cash;Baby Ride Easy;drove
Johnny Cash;Baby Ride Easy;a
Johnny Cash;Baby Ride Easy;truck
Johnny Cash;Baby Ride Easy;and
Johnny Cash;Baby Ride Easy;i
Johnny Cash;Baby Ride Easy;were
Johnny Cash;Baby Ride Easy;a
Johnny Cash;Baby Ride Easy;waitress
Johnny Cash;Baby Ride Easy;and
Johnny Cash;Baby Ride Easy;i
Johnny Cash;Baby Ride Easy;ordered
Johnny Cash;Baby Ride Easy;coffee
Johnny Cash;Baby Ride Easy;and
Johnny Cash;Baby Ride Easy;i
Johnny Cash;Baby Ride Easy;poured
Johnny Cash;Baby Ride Easy;you
Johnny Cash;Baby Ride Easy;some
Johnny Cash;Baby Ride Easy;then
Johnny Cash;Baby Ride Easy;you'd
Johnny Cash;Baby Ride Easy;stop
Johnny Cash;Baby Ride Easy;by
Johnny Cash;Baby Ride Easy;on
Johnny Cash;Baby Ride Easy;your
Johnny Cash;Baby Ride Easy;way
Johnny Cash;Baby Ride Easy;sometimes
Johnny Cash;Baby Ride Easy;later
Johnny Cash;Baby Ride Easy;and
Johnny Cash;Baby Ride Easy;if
Johnny Cash;Baby Ride Easy;we
Johnny Cash;Baby Ride Easy;arm-wrestled
Johnny Cash;Baby Ride Easy;i'd
Johnny Cash;Baby Ride Easy;say
Johnny Cash;Baby Ride Easy;that
Johnny Cash;Baby Ride Easy;you
Johnny Cash;Baby Ride Easy;won
Johnny Cash;Baby Ride Easy;i
Johnny Cash;Baby Ride Easy;need
Johnny Cash;Baby Ride Easy;my
Johnny Cash;Baby Ride Easy;baby
Johnny Cash;Baby Ride Easy;ride
Johnny Cash;Baby Ride Easy;easy
Johnny Cash;Baby Ride Easy;ride
Johnny Cash;Baby Ride Easy;high
Johnny Cash;Baby Ride Easy;in
Johnny Cash;Baby Ride Easy;the
Johnny Cash;Baby Ride Easy;saddle
Johnny Cash;Baby Ride Easy;all
Johnny Cash;Baby Ride Easy;day
Johnny Cash;Baby Ride Easy;if
Johnny Cash;Baby Ride Easy;your
Johnny Cash;Baby Ride Easy;loving
Johnny Cash;Baby Ride Easy;is
Johnny Cash;Baby Ride Easy;good
Johnny Cash;Baby Ride Easy;and
Johnny Cash;Baby Ride Easy;your
Johnny Cash;Baby Ride Easy;cooking
Johnny Cash;Baby Ride Easy;ain't
Johnny Cash;Baby Ride Easy;greasy
Johnny Cash;Baby Ride Easy;if
Johnny Cash;Baby Ride Easy;i
Johnny Cash;Baby Ride Easy;drove
Johnny Cash;Baby Ride Easy;a
Johnny Cash;Baby Ride Easy;truck
Johnny Cash;Baby Ride Easy;and
Johnny Cash;Baby Ride Easy;i
