artist_name;song_title;token
Johnny Cash;Have You Ever Seen The Rain?;someone
Johnny Cash;Have You Ever Seen The Rain?;told
Johnny Cash;Have You Ever Seen The Rain?;me
Johnny Cash;Have You Ever Seen The Rain?;long
Johnny Cash;Have You Ever Seen The Rain?;ago
Johnny Cash;Have You Ever Seen The Rain?;there's
Johnny Cash;Have You Ever Seen The Rain?;a
Johnny Cash;Have You Ever Seen The Rain?;calm
Johnny Cash;Have You Ever Seen The Rain?;before
Johnny Cash;Have You Ever Seen The Rain?;the
Johnny Cash;Have You Ever Seen The Rain?;storm
Johnny Cash;Have You Ever Seen The Rain?;i
Johnny Cash;Have You Ever Seen The Rain?;know,
Johnny Cash;Have You Ever Seen The Rain?;and
Johnny Cash;Have You Ever Seen The Rain?;it's
Johnny Cash;Have You Ever Seen The Rain?;been
Johnny Cash;Have You Ever Seen The Rain?;comin'
Johnny Cash;Have You Ever Seen The Rain?;for
Johnny Cash;Have You Ever Seen The Rain?;some
Johnny Cash;Have You Ever Seen The Rain?;time
Johnny Cash;Have You Ever Seen The Rain?;when
Johnny Cash;Have You Ever Seen The Rain?;it's
Johnny Cash;Have You Ever Seen The Rain?;over,
Johnny Cash;Have You Ever Seen The Rain?;so
Johnny Cash;Have You Ever Seen The Rain?;they
Johnny Cash;Have You Ever Seen The Rain?;say
Johnny Cash;Have You Ever Seen The Rain?;it'll
Johnny Cash;Have You Ever Seen The Rain?;rain
Johnny Cash;Have You Ever Seen The Rain?;a
Johnny Cash;Have You Ever Seen The Rain?;sunny
Johnny Cash;Have You Ever Seen The Rain?;day
Johnny Cash;Have You Ever Seen The Rain?;i
Johnny Cash;Have You Ever Seen The Rain?;know,
Johnny Cash;Have You Ever Seen The Rain?;shinin'
Johnny Cash;Have You Ever Seen The Rain?;down
Johnny Cash;Have You Ever Seen The Rain?;like
Johnny Cash;Have You Ever Seen The Rain?;water
Johnny Cash;Have You Ever Seen The Rain?;i
Johnny Cash;Have You Ever Seen The Rain?;wanna
Johnny Cash;Have You Ever Seen The Rain?;know,
Johnny Cash;Have You Ever Seen The Rain?;have
Johnny Cash;Have You Ever Seen The Rain?;you
Johnny Cash;Have You Ever Seen The Rain?;ever
Johnny Cash;Have You Ever Seen The Rain?;seen
Johnny Cash;Have You Ever Seen The Rain?;the
Johnny Cash;Have You Ever Seen The Rain?;rain?
Johnny Cash;Have You Ever Seen The Rain?;i
Johnny Cash;Have You Ever Seen The Rain?;wanna
Johnny Cash;Have You Ever Seen The Rain?;know,
Johnny Cash;Have You Ever Seen The Rain?;have
Johnny Cash;Have You Ever Seen The Rain?;you
Johnny Cash;Have You Ever Seen The Rain?;ever
Johnny Cash;Have You Ever Seen The Rain?;seen
Johnny Cash;Have You Ever Seen The Rain?;the
Johnny Cash;Have You Ever Seen The Rain?;rain
Johnny Cash;Have You Ever Seen The Rain?;comin'
Johnny Cash;Have You Ever Seen The Rain?;down
Johnny Cash;Have You Ever Seen The Rain?;sunny
Johnny Cash;Have You Ever Seen The Rain?;day?
Johnny Cash;Have You Ever Seen The Rain?;someone
Johnny Cash;Have You Ever Seen The Rain?;told
Johnny Cash;Have You Ever Seen The Rain?;me
Johnny Cash;Have You Ever Seen The Rain?;long
Johnny Cash;Have You Ever Seen The Rain?;ago
Johnny Cash;Have You Ever Seen The Rain?;there's
Johnny Cash;Have You Ever Seen The Rain?;a
Johnny Cash;Have You Ever Seen The Rain?;calm
Johnny Cash;Have You Ever Seen The Rain?;before
Johnny Cash;Have You Ever Seen The Rain?;the
Johnny Cash;Have You Ever Seen The Rain?;storm
Johnny Cash;Have You Ever Seen The Rain?;i
Johnny Cash;Have You Ever Seen The Rain?;know,
Johnny Cash;Have You Ever Seen The Rain?;and
Johnny Cash;Have You Ever Seen The Rain?;it's
