artist_name;song_title;token
Johnny Cash;(I'm Proud) The Baby Is Mine;now
Johnny Cash;(I'm Proud) The Baby Is Mine;don't
Johnny Cash;(I'm Proud) The Baby Is Mine;laugh
Johnny Cash;(I'm Proud) The Baby Is Mine;at
Johnny Cash;(I'm Proud) The Baby Is Mine;the
Johnny Cash;(I'm Proud) The Baby Is Mine;condition
Johnny Cash;(I'm Proud) The Baby Is Mine;the
Johnny Cash;(I'm Proud) The Baby Is Mine;lady's
Johnny Cash;(I'm Proud) The Baby Is Mine;in
Johnny Cash;(I'm Proud) The Baby Is Mine;she
Johnny Cash;(I'm Proud) The Baby Is Mine;soon
Johnny Cash;(I'm Proud) The Baby Is Mine;could
Johnny Cash;(I'm Proud) The Baby Is Mine;wear
Johnny Cash;(I'm Proud) The Baby Is Mine;a
Johnny Cash;(I'm Proud) The Baby Is Mine;cocktail
Johnny Cash;(I'm Proud) The Baby Is Mine;dress
Johnny Cash;(I'm Proud) The Baby Is Mine;again
Johnny Cash;(I'm Proud) The Baby Is Mine;but
Johnny Cash;(I'm Proud) The Baby Is Mine;we
Johnny Cash;(I'm Proud) The Baby Is Mine;get
Johnny Cash;(I'm Proud) The Baby Is Mine;along
Johnny Cash;(I'm Proud) The Baby Is Mine;without
Johnny Cash;(I'm Proud) The Baby Is Mine;cocktails,
Johnny Cash;(I'm Proud) The Baby Is Mine;mighty
Johnny Cash;(I'm Proud) The Baby Is Mine;fine
Johnny Cash;(I'm Proud) The Baby Is Mine;this
Johnny Cash;(I'm Proud) The Baby Is Mine;will
Johnny Cash;(I'm Proud) The Baby Is Mine;be
Johnny Cash;(I'm Proud) The Baby Is Mine;our
Johnny Cash;(I'm Proud) The Baby Is Mine;first
Johnny Cash;(I'm Proud) The Baby Is Mine;and
Johnny Cash;(I'm Proud) The Baby Is Mine;i'm
Johnny Cash;(I'm Proud) The Baby Is Mine;proud
Johnny Cash;(I'm Proud) The Baby Is Mine;the
Johnny Cash;(I'm Proud) The Baby Is Mine;baby
Johnny Cash;(I'm Proud) The Baby Is Mine;is
Johnny Cash;(I'm Proud) The Baby Is Mine;mine
Johnny Cash;(I'm Proud) The Baby Is Mine;yes,
Johnny Cash;(I'm Proud) The Baby Is Mine;i
Johnny Cash;(I'm Proud) The Baby Is Mine;married
Johnny Cash;(I'm Proud) The Baby Is Mine;her
Johnny Cash;(I'm Proud) The Baby Is Mine;although
Johnny Cash;(I'm Proud) The Baby Is Mine;i
Johnny Cash;(I'm Proud) The Baby Is Mine;knew
Johnny Cash;(I'm Proud) The Baby Is Mine;the
Johnny Cash;(I'm Proud) The Baby Is Mine;kind
Johnny Cash;(I'm Proud) The Baby Is Mine;of
Johnny Cash;(I'm Proud) The Baby Is Mine;life
Johnny Cash;(I'm Proud) The Baby Is Mine;she
Johnny Cash;(I'm Proud) The Baby Is Mine;used
Johnny Cash;(I'm Proud) The Baby Is Mine;to
Johnny Cash;(I'm Proud) The Baby Is Mine;live
Johnny Cash;(I'm Proud) The Baby Is Mine;now
Johnny Cash;(I'm Proud) The Baby Is Mine;don't
Johnny Cash;(I'm Proud) The Baby Is Mine;laugh
Johnny Cash;(I'm Proud) The Baby Is Mine;at
Johnny Cash;(I'm Proud) The Baby Is Mine;the
Johnny Cash;(I'm Proud) The Baby Is Mine;condition
Johnny Cash;(I'm Proud) The Baby Is Mine;the
Johnny Cash;(I'm Proud) The Baby Is Mine;lady's
Johnny Cash;(I'm Proud) The Baby Is Mine;in
Johnny Cash;(I'm Proud) The Baby Is Mine;she
Johnny Cash;(I'm Proud) The Baby Is Mine;soon
Johnny Cash;(I'm Proud) The Baby Is Mine;could
Johnny Cash;(I'm Proud) The Baby Is Mine;wear
Johnny Cash;(I'm Proud) The Baby Is Mine;a
Johnny Cash;(I'm Proud) The Baby Is Mine;cocktail
Johnny Cash;(I'm Proud) The Baby Is Mine;dress
