artist_name;song_title;token
Johnny Cash;Like A Soldier;with
Johnny Cash;Like A Soldier;the
Johnny Cash;Like A Soldier;twilight
Johnny Cash;Like A Soldier;colors
Johnny Cash;Like A Soldier;falling
Johnny Cash;Like A Soldier;and
Johnny Cash;Like A Soldier;the
Johnny Cash;Like A Soldier;evening
Johnny Cash;Like A Soldier;laying
Johnny Cash;Like A Soldier;shadows
Johnny Cash;Like A Soldier;hidden
Johnny Cash;Like A Soldier;memories
Johnny Cash;Like A Soldier;come
Johnny Cash;Like A Soldier;stealing
Johnny Cash;Like A Soldier;from
Johnny Cash;Like A Soldier;my
Johnny Cash;Like A Soldier;mind
Johnny Cash;Like A Soldier;as
Johnny Cash;Like A Soldier;i
Johnny Cash;Like A Soldier;feel
Johnny Cash;Like A Soldier;my
Johnny Cash;Like A Soldier;own
Johnny Cash;Like A Soldier;heart
Johnny Cash;Like A Soldier;beating
Johnny Cash;Like A Soldier;out
Johnny Cash;Like A Soldier;the
Johnny Cash;Like A Soldier;simple
Johnny Cash;Like A Soldier;joy
Johnny Cash;Like A Soldier;of
Johnny Cash;Like A Soldier;living
Johnny Cash;Like A Soldier;i
Johnny Cash;Like A Soldier;wonder
Johnny Cash;Like A Soldier;how
Johnny Cash;Like A Soldier;i
Johnny Cash;Like A Soldier;ever
Johnny Cash;Like A Soldier;was
Johnny Cash;Like A Soldier;that
Johnny Cash;Like A Soldier;kind
Johnny Cash;Like A Soldier;but
Johnny Cash;Like A Soldier;the
Johnny Cash;Like A Soldier;wild
Johnny Cash;Like A Soldier;road
Johnny Cash;Like A Soldier;i
Johnny Cash;Like A Soldier;was
Johnny Cash;Like A Soldier;rambling
Johnny Cash;Like A Soldier;was
Johnny Cash;Like A Soldier;always
Johnny Cash;Like A Soldier;out
Johnny Cash;Like A Soldier;there
Johnny Cash;Like A Soldier;calling
Johnny Cash;Like A Soldier;you
Johnny Cash;Like A Soldier;said
Johnny Cash;Like A Soldier;a
Johnny Cash;Like A Soldier;hundred
Johnny Cash;Like A Soldier;times
Johnny Cash;Like A Soldier;i
