artist_name;song_title;token
Johnny Cash;Looking Back In Anger;a
Johnny Cash;Looking Back In Anger;cold
Johnny Cash;Looking Back In Anger;bitter
Johnny Cash;Looking Back In Anger;mist
Johnny Cash;Looking Back In Anger;covers
Johnny Cash;Looking Back In Anger;your
Johnny Cash;Looking Back In Anger;eyes
Johnny Cash;Looking Back In Anger;torment
Johnny Cash;Looking Back In Anger;is
Johnny Cash;Looking Back In Anger;raging
Johnny Cash;Looking Back In Anger;in
Johnny Cash;Looking Back In Anger;you
Johnny Cash;Looking Back In Anger;but
Johnny Cash;Looking Back In Anger;you
Johnny Cash;Looking Back In Anger;can't
Johnny Cash;Looking Back In Anger;change
Johnny Cash;Looking Back In Anger;the
Johnny Cash;Looking Back In Anger;smallest
Johnny Cash;Looking Back In Anger;part
Johnny Cash;Looking Back In Anger;of
Johnny Cash;Looking Back In Anger;all
Johnny Cash;Looking Back In Anger;the
Johnny Cash;Looking Back In Anger;wrongs
Johnny Cash;Looking Back In Anger;you've
Johnny Cash;Looking Back In Anger;done
Johnny Cash;Looking Back In Anger;looking
Johnny Cash;Looking Back In Anger;back
Johnny Cash;Looking Back In Anger;in
Johnny Cash;Looking Back In Anger;anger
Johnny Cash;Looking Back In Anger;like
Johnny Cash;Looking Back In Anger;you
Johnny Cash;Looking Back In Anger;do
Johnny Cash;Looking Back In Anger;i'm
Johnny Cash;Looking Back In Anger;not
Johnny Cash;Looking Back In Anger;preachin'
Johnny Cash;Looking Back In Anger;i'm
Johnny Cash;Looking Back In Anger;just
Johnny Cash;Looking Back In Anger;talkin'
Johnny Cash;Looking Back In Anger;but
Johnny Cash;Looking Back In Anger;i
Johnny Cash;Looking Back In Anger;believe
Johnny Cash;Looking Back In Anger;in
Johnny Cash;Looking Back In Anger;what
Johnny Cash;Looking Back In Anger;i
Johnny Cash;Looking Back In Anger;say
Johnny Cash;Looking Back In Anger;that
Johnny Cash;Looking Back In Anger;look
Johnny Cash;Looking Back In Anger;of
Johnny Cash;Looking Back In Anger;anger
Johnny Cash;Looking Back In Anger;that
Johnny Cash;Looking Back In Anger;you
Johnny Cash;Looking Back In Anger;keep
Johnny Cash;Looking Back In Anger;flashin'
Johnny Cash;Looking Back In Anger;won't
Johnny Cash;Looking Back In Anger;accomplish
