artist_name;song_title;token
Johnny Cash;Nasty Dan;nasty
Johnny Cash;Nasty Dan;dan
Johnny Cash;Nasty Dan;nasty
Johnny Cash;Nasty Dan;dan
Johnny Cash;Nasty Dan;was
Johnny Cash;Nasty Dan;the
Johnny Cash;Nasty Dan;meanest
Johnny Cash;Nasty Dan;man
Johnny Cash;Nasty Dan;i
Johnny Cash;Nasty Dan;ever
Johnny Cash;Nasty Dan;knew
Johnny Cash;Nasty Dan;he's
Johnny Cash;Nasty Dan;stomp
Johnny Cash;Nasty Dan;and
Johnny Cash;Nasty Dan;scream
Johnny Cash;Nasty Dan;and
Johnny Cash;Nasty Dan;be
Johnny Cash;Nasty Dan;real
Johnny Cash;Nasty Dan;mean
Johnny Cash;Nasty Dan;the
Johnny Cash;Nasty Dan;whole
Johnny Cash;Nasty Dan;day
Johnny Cash;Nasty Dan;through
Johnny Cash;Nasty Dan;he'd
Johnny Cash;Nasty Dan;frown
Johnny Cash;Nasty Dan;a
Johnny Cash;Nasty Dan;bunch
Johnny Cash;Nasty Dan;he
Johnny Cash;Nasty Dan;ate
Johnny Cash;Nasty Dan;nails
Johnny Cash;Nasty Dan;for
Johnny Cash;Nasty Dan;lunch
Johnny Cash;Nasty Dan;and
Johnny Cash;Nasty Dan;he'd
Johnny Cash;Nasty Dan;never
Johnny Cash;Nasty Dan;laugh
Johnny Cash;Nasty Dan;he'd
Johnny Cash;Nasty Dan;growl
Johnny Cash;Nasty Dan;and
Johnny Cash;Nasty Dan;yell
Johnny Cash;Nasty Dan;and
Johnny Cash;Nasty Dan;i
Johnny Cash;Nasty Dan;hard
Johnny Cash;Nasty Dan;tell
Johnny Cash;Nasty Dan;that
Johnny Cash;Nasty Dan;he
Johnny Cash;Nasty Dan;never
Johnny Cash;Nasty Dan;took
Johnny Cash;Nasty Dan;a
Johnny Cash;Nasty Dan;bath
Johnny Cash;Nasty Dan;nasty
Johnny Cash;Nasty Dan;dan
Johnny Cash;Nasty Dan;was
Johnny Cash;Nasty Dan;a
Johnny Cash;Nasty Dan;nasty
Johnny Cash;Nasty Dan;man
Johnny Cash;Nasty Dan;hard
Johnny Cash;Nasty Dan;to
Johnny Cash;Nasty Dan;understand
Johnny Cash;Nasty Dan;that
Johnny Cash;Nasty Dan;nasty
Johnny Cash;Nasty Dan;dan
Johnny Cash;Nasty Dan;nasty
Johnny Cash;Nasty Dan;dan
Johnny Cash;Nasty Dan;nasty
Johnny Cash;Nasty Dan;dan
Johnny Cash;Nasty Dan;was
Johnny Cash;Nasty Dan;the
Johnny Cash;Nasty Dan;meanest
Johnny Cash;Nasty Dan;man
Johnny Cash;Nasty Dan;i
Johnny Cash;Nasty Dan;ever
Johnny Cash;Nasty Dan;knew
Johnny Cash;Nasty Dan;he's
Johnny Cash;Nasty Dan;stomp
Johnny Cash;Nasty Dan;and
Johnny Cash;Nasty Dan;scream
Johnny Cash;Nasty Dan;and
Johnny Cash;Nasty Dan;be
Johnny Cash;Nasty Dan;real
Johnny Cash;Nasty Dan;mean
Johnny Cash;Nasty Dan;the
Johnny Cash;Nasty Dan;whole
Johnny Cash;Nasty Dan;day
Johnny Cash;Nasty Dan;through
Johnny Cash;Nasty Dan;he'd
Johnny Cash;Nasty Dan;frown
Johnny Cash;Nasty Dan;a
Johnny Cash;Nasty Dan;bunch
Johnny Cash;Nasty Dan;he
Johnny Cash;Nasty Dan;ate
Johnny Cash;Nasty Dan;nails
Johnny Cash;Nasty Dan;for
Johnny Cash;Nasty Dan;lunch
Johnny Cash;Nasty Dan;and
Johnny Cash;Nasty Dan;he'd
Johnny Cash;Nasty Dan;never
Johnny Cash;Nasty Dan;laugh
Johnny Cash;Nasty Dan;he'd
Johnny Cash;Nasty Dan;growl
Johnny Cash;Nasty Dan;and
Johnny Cash;Nasty Dan;yell
Johnny Cash;Nasty Dan;and
Johnny Cash;Nasty Dan;i
Johnny Cash;Nasty Dan;hard
Johnny Cash;Nasty Dan;tell
Johnny Cash;Nasty Dan;that
Johnny Cash;Nasty Dan;he
Johnny Cash;Nasty Dan;never
Johnny Cash;Nasty Dan;took
Johnny Cash;Nasty Dan;a
Johnny Cash;Nasty Dan;bath
Johnny Cash;Nasty Dan;nasty
Johnny Cash;Nasty Dan;dan
Johnny Cash;Nasty Dan;was
Johnny Cash;Nasty Dan;a
Johnny Cash;Nasty Dan;nasty
Johnny Cash;Nasty Dan;man
Johnny Cash;Nasty Dan;hard
Johnny Cash;Nasty Dan;to
Johnny Cash;Nasty Dan;understand
Johnny Cash;Nasty Dan;that
Johnny Cash;Nasty Dan;nasty
Johnny Cash;Nasty Dan;dan
Johnny Cash;Nasty Dan;now
Johnny Cash;Nasty Dan;nasty
Johnny Cash;Nasty Dan;dan
Johnny Cash;Nasty Dan;was
Johnny Cash;Nasty Dan;a
Johnny Cash;Nasty Dan;nasty
Johnny Cash;Nasty Dan;man
Johnny Cash;Nasty Dan;the
Johnny Cash;Nasty Dan;whole
Johnny Cash;Nasty Dan;day
Johnny Cash;Nasty Dan;long
Johnny Cash;Nasty Dan;he'd
Johnny Cash;Nasty Dan;go
Johnny Cash;Nasty Dan;where
Johnny Cash;Nasty Dan;he
Johnny Cash;Nasty Dan;could
Johnny Cash;Nasty Dan;he'd
Johnny Cash;Nasty Dan;try
Johnny Cash;Nasty Dan;real
Johnny Cash;Nasty Dan;good
Johnny Cash;Nasty Dan;to
Johnny Cash;Nasty Dan;make
Johnny Cash;Nasty Dan;things
Johnny Cash;Nasty Dan;go
Johnny Cash;Nasty Dan;wrong
Johnny Cash;Nasty Dan;he'd
Johnny Cash;Nasty Dan;jump
Johnny Cash;Nasty Dan;for
Johnny Cash;Nasty Dan;joy
Johnny Cash;Nasty Dan;when
