artist_name;song_title;token
Johnny Cash;Southern Accents;there's
Johnny Cash;Southern Accents;a
Johnny Cash;Southern Accents;southern
Johnny Cash;Southern Accents;accent
Johnny Cash;Southern Accents;where
Johnny Cash;Southern Accents;i
Johnny Cash;Southern Accents;come
Johnny Cash;Southern Accents;from
Johnny Cash;Southern Accents;the
Johnny Cash;Southern Accents;young
Johnny Cash;Southern Accents;'uns
Johnny Cash;Southern Accents;call
Johnny Cash;Southern Accents;it
Johnny Cash;Southern Accents;country
Johnny Cash;Southern Accents;the
Johnny Cash;Southern Accents;yankees
Johnny Cash;Southern Accents;call
Johnny Cash;Southern Accents;it
Johnny Cash;Southern Accents;dumb
Johnny Cash;Southern Accents;i
Johnny Cash;Southern Accents;got
Johnny Cash;Southern Accents;my
Johnny Cash;Southern Accents;own
Johnny Cash;Southern Accents;way
Johnny Cash;Southern Accents;of
Johnny Cash;Southern Accents;talkin'
Johnny Cash;Southern Accents;but
Johnny Cash;Southern Accents;everything
Johnny Cash;Southern Accents;is
Johnny Cash;Southern Accents;done
Johnny Cash;Southern Accents;with
Johnny Cash;Southern Accents;a
Johnny Cash;Southern Accents;southern
Johnny Cash;Southern Accents;accent
Johnny Cash;Southern Accents;where
Johnny Cash;Southern Accents;i
Johnny Cash;Southern Accents;come
Johnny Cash;Southern Accents;from
Johnny Cash;Southern Accents;now
Johnny Cash;Southern Accents;that
Johnny Cash;Southern Accents;drunk
Johnny Cash;Southern Accents;tank
Johnny Cash;Southern Accents;in
Johnny Cash;Southern Accents;atlanta
Johnny Cash;Southern Accents;was
Johnny Cash;Southern Accents;just
Johnny Cash;Southern Accents;a
Johnny Cash;Southern Accents;motel
Johnny Cash;Southern Accents;room
Johnny Cash;Southern Accents;to
Johnny Cash;Southern Accents;me
Johnny Cash;Southern Accents;i
Johnny Cash;Southern Accents;think
Johnny Cash;Southern Accents;i
Johnny Cash;Southern Accents;might
Johnny Cash;Southern Accents;go
Johnny Cash;Southern Accents;work
Johnny Cash;Southern Accents;orlando
Johnny Cash;Southern Accents;if
Johnny Cash;Southern Accents;them
Johnny Cash;Southern Accents;orange
Johnny Cash;Southern Accents;groves
Johnny Cash;Southern Accents;don't
Johnny Cash;Southern Accents;freeze
Johnny Cash;Southern Accents;there's
Johnny Cash;Southern Accents;a
Johnny Cash;Southern Accents;southern
Johnny Cash;Southern Accents;accent
Johnny Cash;Southern Accents;where
Johnny Cash;Southern Accents;i
Johnny Cash;Southern Accents;come
Johnny Cash;Southern Accents;from
Johnny Cash;Southern Accents;the
Johnny Cash;Southern Accents;young
Johnny Cash;Southern Accents;'uns
Johnny Cash;Southern Accents;call
Johnny Cash;Southern Accents;it
Johnny Cash;Southern Accents;country
Johnny Cash;Southern Accents;the
Johnny Cash;Southern Accents;yankees
Johnny Cash;Southern Accents;call
Johnny Cash;Southern Accents;it
Johnny Cash;Southern Accents;dumb
Johnny Cash;Southern Accents;i
Johnny Cash;Southern Accents;got
Johnny Cash;Southern Accents;my
Johnny Cash;Southern Accents;own
Johnny Cash;Southern Accents;way
Johnny Cash;Southern Accents;of
Johnny Cash;Southern Accents;talkin'
Johnny Cash;Southern Accents;but
Johnny Cash;Southern Accents;everything
Johnny Cash;Southern Accents;is
Johnny Cash;Southern Accents;done
Johnny Cash;Southern Accents;with
Johnny Cash;Southern Accents;a
Johnny Cash;Southern Accents;southern
Johnny Cash;Southern Accents;accent
Johnny Cash;Southern Accents;where
Johnny Cash;Southern Accents;i
Johnny Cash;Southern Accents;come
Johnny Cash;Southern Accents;from
Johnny Cash;Southern Accents;now
Johnny Cash;Southern Accents;that
Johnny Cash;Southern Accents;drunk
Johnny Cash;Southern Accents;tank
Johnny Cash;Southern Accents;in
Johnny Cash;Southern Accents;atlanta
Johnny Cash;Southern Accents;was
Johnny Cash;Southern Accents;just
Johnny Cash;Southern Accents;a
Johnny Cash;Southern Accents;motel
Johnny Cash;Southern Accents;room
Johnny Cash;Southern Accents;to
Johnny Cash;Southern Accents;me
Johnny Cash;Southern Accents;i
Johnny Cash;Southern Accents;think
Johnny Cash;Southern Accents;i
Johnny Cash;Southern Accents;might
Johnny Cash;Southern Accents;go
Johnny Cash;Southern Accents;work
Johnny Cash;Southern Accents;orlando
Johnny Cash;Southern Accents;if
Johnny Cash;Southern Accents;them
Johnny Cash;Southern Accents;orange
Johnny Cash;Southern Accents;groves
Johnny Cash;Southern Accents;don't
Johnny Cash;Southern Accents;freeze
Johnny Cash;Southern Accents;i
Johnny Cash;Southern Accents;got
Johnny Cash;Southern Accents;my
Johnny Cash;Southern Accents;own
Johnny Cash;Southern Accents;way
Johnny Cash;Southern Accents;of
Johnny Cash;Southern Accents;workin'
Johnny Cash;Southern Accents;but
Johnny Cash;Southern Accents;everything
Johnny Cash;Southern Accents;is
Johnny Cash;Southern Accents;run
Johnny Cash;Southern Accents;with
Johnny Cash;Southern Accents;a
Johnny Cash;Southern Accents;southern
Johnny Cash;Southern Accents;accent
Johnny Cash;Southern Accents;where
Johnny Cash;Southern Accents;i
Johnny Cash;Southern Accents;come
Johnny Cash;Southern Accents;from
Johnny Cash;Southern Accents;for
Johnny Cash;Southern Accents;just
Johnny Cash;Southern Accents;a
Johnny Cash;Southern Accents;minute
Johnny Cash;Southern Accents;there
Johnny Cash;Southern Accents;i
Johnny Cash;Southern Accents;was
Johnny Cash;Southern Accents;dreaming
Johnny Cash;Southern Accents;for
Johnny Cash;Southern Accents;just
Johnny Cash;Southern Accents;a
Johnny Cash;Southern Accents;minute
Johnny Cash;Southern Accents;it
Johnny Cash;Southern Accents;was
Johnny Cash;Southern Accents;all
Johnny Cash;Southern Accents;so
Johnny Cash;Southern Accents;real
Johnny Cash;Southern Accents;for
Johnny Cash;Southern Accents;just
Johnny Cash;Southern Accents;a
Johnny Cash;Southern Accents;minute
Johnny Cash;Southern Accents;she
Johnny Cash;Southern Accents;was
Johnny Cash;Southern Accents;standing
Johnny Cash;Southern Accents;there,
Johnny Cash;Southern Accents;with
Johnny Cash;Southern Accents;me
Johnny Cash;Southern Accents;there's
Johnny Cash;Southern Accents;a
Johnny Cash;Southern Accents;dream
Johnny Cash;Southern Accents;that
Johnny Cash;Southern Accents;i
Johnny Cash;Southern Accents;keep
Johnny Cash;Southern Accents;having
Johnny Cash;Southern Accents;where
Johnny Cash;Southern Accents;my
Johnny Cash;Southern Accents;mama
Johnny Cash;Southern Accents;comes
Johnny Cash;Southern Accents;to
Johnny Cash;Southern Accents;me
Johnny Cash;Southern Accents;and
Johnny Cash;Southern Accents;she
Johnny Cash;Southern Accents;kneels
Johnny Cash;Southern Accents;down
Johnny Cash;Southern Accents;over
Johnny Cash;Southern Accents;by
Johnny Cash;Southern Accents;the
Johnny Cash;Southern Accents;window
Johnny Cash;Southern Accents;and
Johnny Cash;Southern Accents;says
Johnny Cash;Southern Accents;a
Johnny Cash;Southern Accents;prayer
Johnny Cash;Southern Accents;for
Johnny Cash;Southern Accents;me
Johnny Cash;Southern Accents;i
Johnny Cash;Southern Accents;got
Johnny Cash;Southern Accents;my
Johnny Cash;Southern Accents;own
Johnny Cash;Southern Accents;way
Johnny Cash;Southern Accents;of
Johnny Cash;Southern Accents;prayin'
Johnny Cash;Southern Accents;and
Johnny Cash;Southern Accents;everyone's
Johnny Cash;Southern Accents;begun
Johnny Cash;Southern Accents;with
Johnny Cash;Southern Accents;a
Johnny Cash;Southern Accents;southern
Johnny Cash;Southern Accents;accent
Johnny Cash;Southern Accents;where
Johnny Cash;Southern Accents;i
Johnny Cash;Southern Accents;come
Johnny Cash;Southern Accents;from
Johnny Cash;Southern Accents;we
Johnny Cash;Southern Accents;have
Johnny Cash;Southern Accents;our
Johnny Cash;Southern Accents;own
Johnny Cash;Southern Accents;way
Johnny Cash;Southern Accents;of
Johnny Cash;Southern Accents;livin'
Johnny Cash;Southern Accents;and
Johnny Cash;Southern Accents;everything
Johnny Cash;Southern Accents;is
Johnny Cash;Southern Accents;done
Johnny Cash;Southern Accents;with
Johnny Cash;Southern Accents;a
Johnny Cash;Southern Accents;southern
Johnny Cash;Southern Accents;accent
Johnny Cash;Southern Accents;where
Johnny Cash;Southern Accents;i
Johnny Cash;Southern Accents;come
Johnny Cash;Southern Accents;from
