artist_name;song_title;token
Johnny Cash;Texas, 1947;bein'
Johnny Cash;Texas, 1947;six
Johnny Cash;Texas, 1947;years
Johnny Cash;Texas, 1947;old
Johnny Cash;Texas, 1947;i
Johnny Cash;Texas, 1947;had
Johnny Cash;Texas, 1947;seen
Johnny Cash;Texas, 1947;some
Johnny Cash;Texas, 1947;trains
Johnny Cash;Texas, 1947;before
Johnny Cash;Texas, 1947;so
Johnny Cash;Texas, 1947;it's
Johnny Cash;Texas, 1947;hard
Johnny Cash;Texas, 1947;to
Johnny Cash;Texas, 1947;figure
Johnny Cash;Texas, 1947;out
Johnny Cash;Texas, 1947;what
Johnny Cash;Texas, 1947;i'm
Johnny Cash;Texas, 1947;at
Johnny Cash;Texas, 1947;the
Johnny Cash;Texas, 1947;depot
Johnny Cash;Texas, 1947;for
Johnny Cash;Texas, 1947;things're
Johnny Cash;Texas, 1947;big
Johnny Cash;Texas, 1947;and
Johnny Cash;Texas, 1947;black
Johnny Cash;Texas, 1947;and
Johnny Cash;Texas, 1947;smokin'
Johnny Cash;Texas, 1947;steam
Johnny Cash;Texas, 1947;screamin'
Johnny Cash;Texas, 1947;at
Johnny Cash;Texas, 1947;the
Johnny Cash;Texas, 1947;wheels
Johnny Cash;Texas, 1947;bigger'n
Johnny Cash;Texas, 1947;anything
Johnny Cash;Texas, 1947;there
Johnny Cash;Texas, 1947;is
Johnny Cash;Texas, 1947;last
Johnny Cash;Texas, 1947;that's
Johnny Cash;Texas, 1947;the
Johnny Cash;Texas, 1947;way
Johnny Cash;Texas, 1947;she
Johnny Cash;Texas, 1947;feels
Johnny Cash;Texas, 1947;trains're
Johnny Cash;Texas, 1947;big
Johnny Cash;Texas, 1947;and
Johnny Cash;Texas, 1947;black
Johnny Cash;Texas, 1947;and
Johnny Cash;Texas, 1947;smokin'
Johnny Cash;Texas, 1947;louder'n
Johnny Cash;Texas, 1947;july
Johnny Cash;Texas, 1947;4th
Johnny Cash;Texas, 1947;bein'
Johnny Cash;Texas, 1947;six
Johnny Cash;Texas, 1947;years
Johnny Cash;Texas, 1947;old
Johnny Cash;Texas, 1947;i
Johnny Cash;Texas, 1947;had
Johnny Cash;Texas, 1947;seen
Johnny Cash;Texas, 1947;some
Johnny Cash;Texas, 1947;trains
Johnny Cash;Texas, 1947;before
Johnny Cash;Texas, 1947;so
Johnny Cash;Texas, 1947;it's
Johnny Cash;Texas, 1947;hard
Johnny Cash;Texas, 1947;to
Johnny Cash;Texas, 1947;figure
Johnny Cash;Texas, 1947;out
Johnny Cash;Texas, 1947;what
Johnny Cash;Texas, 1947;i'm
Johnny Cash;Texas, 1947;at
Johnny Cash;Texas, 1947;the
Johnny Cash;Texas, 1947;depot
Johnny Cash;Texas, 1947;for
Johnny Cash;Texas, 1947;things're
Johnny Cash;Texas, 1947;big
Johnny Cash;Texas, 1947;and
Johnny Cash;Texas, 1947;black
Johnny Cash;Texas, 1947;and
Johnny Cash;Texas, 1947;smokin'
Johnny Cash;Texas, 1947;steam
Johnny Cash;Texas, 1947;screamin'
Johnny Cash;Texas, 1947;at
Johnny Cash;Texas, 1947;the
Johnny Cash;Texas, 1947;wheels
Johnny Cash;Texas, 1947;bigger'n
Johnny Cash;Texas, 1947;anything
Johnny Cash;Texas, 1947;there
Johnny Cash;Texas, 1947;is
Johnny Cash;Texas, 1947;last
Johnny Cash;Texas, 1947;that's
Johnny Cash;Texas, 1947;the
Johnny Cash;Texas, 1947;way
Johnny Cash;Texas, 1947;she
Johnny Cash;Texas, 1947;feels
Johnny Cash;Texas, 1947;trains're
Johnny Cash;Texas, 1947;big
Johnny Cash;Texas, 1947;and
Johnny Cash;Texas, 1947;black
Johnny Cash;Texas, 1947;and
Johnny Cash;Texas, 1947;smokin'
Johnny Cash;Texas, 1947;louder'n
Johnny Cash;Texas, 1947;july
Johnny Cash;Texas, 1947;4th
Johnny Cash;Texas, 1947;but
Johnny Cash;Texas, 1947;everybody's
Johnny Cash;Texas, 1947;actin'
Johnny Cash;Texas, 1947;like
Johnny Cash;Texas, 1947;this
Johnny Cash;Texas, 1947;might
Johnny Cash;Texas, 1947;be
Johnny Cash;Texas, 1947;something
Johnny Cash;Texas, 1947;more
Johnny Cash;Texas, 1947;than
Johnny Cash;Texas, 1947;just
Johnny Cash;Texas, 1947;pickin'
Johnny Cash;Texas, 1947;up
Johnny Cash;Texas, 1947;the
Johnny Cash;Texas, 1947;mail
Johnny Cash;Texas, 1947;or
Johnny Cash;Texas, 1947;the
Johnny Cash;Texas, 1947;soldiers
Johnny Cash;Texas, 1947;from
Johnny Cash;Texas, 1947;the
Johnny Cash;Texas, 1947;war
Johnny Cash;Texas, 1947;somethin'
Johnny Cash;Texas, 1947;even
Johnny Cash;Texas, 1947;old
Johnny Cash;Texas, 1947;man
Johnny Cash;Texas, 1947;wileman's
Johnny Cash;Texas, 1947;never
Johnny Cash;Texas, 1947;seen
Johnny Cash;Texas, 1947;before
Johnny Cash;Texas, 1947;and
Johnny Cash;Texas, 1947;it's
Johnny Cash;Texas, 1947;late
Johnny Cash;Texas, 1947;afternoon
Johnny Cash;Texas, 1947;on
Johnny Cash;Texas, 1947;a
Johnny Cash;Texas, 1947;hot
Johnny Cash;Texas, 1947;texas
Johnny Cash;Texas, 1947;day
Johnny Cash;Texas, 1947;somethin'
Johnny Cash;Texas, 1947;strange
Johnny Cash;Texas, 1947;was
Johnny Cash;Texas, 1947;goin'
Johnny Cash;Texas, 1947;on
Johnny Cash;Texas, 1947;and
Johnny Cash;Texas, 1947;we's
Johnny Cash;Texas, 1947;all
Johnny Cash;Texas, 1947;in
Johnny Cash;Texas, 1947;the
Johnny Cash;Texas, 1947;way
Johnny Cash;Texas, 1947;there
Johnny Cash;Texas, 1947;are
Johnny Cash;Texas, 1947;50
Johnny Cash;Texas, 1947;or
Johnny Cash;Texas, 1947;60
Johnny Cash;Texas, 1947;people
Johnny Cash;Texas, 1947;just
Johnny Cash;Texas, 1947;sittin'
Johnny Cash;Texas, 1947;on
Johnny Cash;Texas, 1947;their
Johnny Cash;Texas, 1947;cars
Johnny Cash;Texas, 1947;and
Johnny Cash;Texas, 1947;the
Johnny Cash;Texas, 1947;ole
Johnny Cash;Texas, 1947;men
Johnny Cash;Texas, 1947;left
Johnny Cash;Texas, 1947;their
Johnny Cash;Texas, 1947;domioes
Johnny Cash;Texas, 1947;and
Johnny Cash;Texas, 1947;come
Johnny Cash;Texas, 1947;down
Johnny Cash;Texas, 1947;from
Johnny Cash;Texas, 1947;the
Johnny Cash;Texas, 1947;bars
Johnny Cash;Texas, 1947;and
Johnny Cash;Texas, 1947;everybody's
Johnny Cash;Texas, 1947;checkin'
