artist_name;song_title;token
Johnny Cash;That Silver Haired Daddy Of Mine;in
Johnny Cash;That Silver Haired Daddy Of Mine;a
Johnny Cash;That Silver Haired Daddy Of Mine;vine-covered
Johnny Cash;That Silver Haired Daddy Of Mine;shack
Johnny Cash;That Silver Haired Daddy Of Mine;in
Johnny Cash;That Silver Haired Daddy Of Mine;the
Johnny Cash;That Silver Haired Daddy Of Mine;mountains
Johnny Cash;That Silver Haired Daddy Of Mine;bravely
Johnny Cash;That Silver Haired Daddy Of Mine;fighting
Johnny Cash;That Silver Haired Daddy Of Mine;the
Johnny Cash;That Silver Haired Daddy Of Mine;battle
Johnny Cash;That Silver Haired Daddy Of Mine;of
Johnny Cash;That Silver Haired Daddy Of Mine;time
Johnny Cash;That Silver Haired Daddy Of Mine;is
Johnny Cash;That Silver Haired Daddy Of Mine;a
Johnny Cash;That Silver Haired Daddy Of Mine;dear
Johnny Cash;That Silver Haired Daddy Of Mine;one
Johnny Cash;That Silver Haired Daddy Of Mine;who's
Johnny Cash;That Silver Haired Daddy Of Mine;weathered
Johnny Cash;That Silver Haired Daddy Of Mine;my
Johnny Cash;That Silver Haired Daddy Of Mine;sorrows
Johnny Cash;That Silver Haired Daddy Of Mine;is
Johnny Cash;That Silver Haired Daddy Of Mine;that
Johnny Cash;That Silver Haired Daddy Of Mine;silver-haired
Johnny Cash;That Silver Haired Daddy Of Mine;daddy
Johnny Cash;That Silver Haired Daddy Of Mine;of
Johnny Cash;That Silver Haired Daddy Of Mine;mine
Johnny Cash;That Silver Haired Daddy Of Mine;if
Johnny Cash;That Silver Haired Daddy Of Mine;i
Johnny Cash;That Silver Haired Daddy Of Mine;could
Johnny Cash;That Silver Haired Daddy Of Mine;recall
Johnny Cash;That Silver Haired Daddy Of Mine;all
Johnny Cash;That Silver Haired Daddy Of Mine;the
Johnny Cash;That Silver Haired Daddy Of Mine;heartaches
Johnny Cash;That Silver Haired Daddy Of Mine;dear
Johnny Cash;That Silver Haired Daddy Of Mine;old
Johnny Cash;That Silver Haired Daddy Of Mine;daddy,
Johnny Cash;That Silver Haired Daddy Of Mine;i've
Johnny Cash;That Silver Haired Daddy Of Mine;caused
Johnny Cash;That Silver Haired Daddy Of Mine;you
Johnny Cash;That Silver Haired Daddy Of Mine;to
Johnny Cash;That Silver Haired Daddy Of Mine;bear
Johnny Cash;That Silver Haired Daddy Of Mine;if
Johnny Cash;That Silver Haired Daddy Of Mine;i
Johnny Cash;That Silver Haired Daddy Of Mine;could
Johnny Cash;That Silver Haired Daddy Of Mine;erase
Johnny Cash;That Silver Haired Daddy Of Mine;those
Johnny Cash;That Silver Haired Daddy Of Mine;lines
Johnny Cash;That Silver Haired Daddy Of Mine;from
Johnny Cash;That Silver Haired Daddy Of Mine;your
Johnny Cash;That Silver Haired Daddy Of Mine;face
Johnny Cash;That Silver Haired Daddy Of Mine;and
Johnny Cash;That Silver Haired Daddy Of Mine;bring
Johnny Cash;That Silver Haired Daddy Of Mine;back
Johnny Cash;That Silver Haired Daddy Of Mine;the
Johnny Cash;That Silver Haired Daddy Of Mine;gold
Johnny Cash;That Silver Haired Daddy Of Mine;to
Johnny Cash;That Silver Haired Daddy Of Mine;your
Johnny Cash;That Silver Haired Daddy Of Mine;hair
Johnny Cash;That Silver Haired Daddy Of Mine;in
Johnny Cash;That Silver Haired Daddy Of Mine;a
Johnny Cash;That Silver Haired Daddy Of Mine;vine-covered
Johnny Cash;That Silver Haired Daddy Of Mine;shack
Johnny Cash;That Silver Haired Daddy Of Mine;in
Johnny Cash;That Silver Haired Daddy Of Mine;the
Johnny Cash;That Silver Haired Daddy Of Mine;mountains
Johnny Cash;That Silver Haired Daddy Of Mine;bravely
Johnny Cash;That Silver Haired Daddy Of Mine;fighting
Johnny Cash;That Silver Haired Daddy Of Mine;the
Johnny Cash;That Silver Haired Daddy Of Mine;battle
Johnny Cash;That Silver Haired Daddy Of Mine;of
Johnny Cash;That Silver Haired Daddy Of Mine;time
Johnny Cash;That Silver Haired Daddy Of Mine;is
Johnny Cash;That Silver Haired Daddy Of Mine;a
Johnny Cash;That Silver Haired Daddy Of Mine;dear
Johnny Cash;That Silver Haired Daddy Of Mine;one
Johnny Cash;That Silver Haired Daddy Of Mine;who's
Johnny Cash;That Silver Haired Daddy Of Mine;weathered
Johnny Cash;That Silver Haired Daddy Of Mine;my
Johnny Cash;That Silver Haired Daddy Of Mine;sorrows
Johnny Cash;That Silver Haired Daddy Of Mine;is
Johnny Cash;That Silver Haired Daddy Of Mine;that
Johnny Cash;That Silver Haired Daddy Of Mine;silver-haired
Johnny Cash;That Silver Haired Daddy Of Mine;daddy
Johnny Cash;That Silver Haired Daddy Of Mine;of
Johnny Cash;That Silver Haired Daddy Of Mine;mine
Johnny Cash;That Silver Haired Daddy Of Mine;if
Johnny Cash;That Silver Haired Daddy Of Mine;i
Johnny Cash;That Silver Haired Daddy Of Mine;could
Johnny Cash;That Silver Haired Daddy Of Mine;recall
Johnny Cash;That Silver Haired Daddy Of Mine;all
Johnny Cash;That Silver Haired Daddy Of Mine;the
Johnny Cash;That Silver Haired Daddy Of Mine;heartaches
Johnny Cash;That Silver Haired Daddy Of Mine;dear
Johnny Cash;That Silver Haired Daddy Of Mine;old
Johnny Cash;That Silver Haired Daddy Of Mine;daddy,
Johnny Cash;That Silver Haired Daddy Of Mine;i've
Johnny Cash;That Silver Haired Daddy Of Mine;caused
Johnny Cash;That Silver Haired Daddy Of Mine;you
Johnny Cash;That Silver Haired Daddy Of Mine;to
Johnny Cash;That Silver Haired Daddy Of Mine;bear
