artist_name;song_title;token
Johnny Cash;The Caretaker;i
Johnny Cash;The Caretaker;live
Johnny Cash;The Caretaker;in
Johnny Cash;The Caretaker;the
Johnny Cash;The Caretaker;cemetery
Johnny Cash;The Caretaker;'old
Johnny Cash;The Caretaker;caretaker'
Johnny Cash;The Caretaker;they
Johnny Cash;The Caretaker;call
Johnny Cash;The Caretaker;me
Johnny Cash;The Caretaker;in
Johnny Cash;The Caretaker;the
Johnny Cash;The Caretaker;wintertime
Johnny Cash;The Caretaker;i
Johnny Cash;The Caretaker;rake
Johnny Cash;The Caretaker;the
Johnny Cash;The Caretaker;leaves
Johnny Cash;The Caretaker;and
Johnny Cash;The Caretaker;in
Johnny Cash;The Caretaker;the
Johnny Cash;The Caretaker;summer
Johnny Cash;The Caretaker;i
Johnny Cash;The Caretaker;cut
Johnny Cash;The Caretaker;the
Johnny Cash;The Caretaker;weeds
Johnny Cash;The Caretaker;when
Johnny Cash;The Caretaker;a
Johnny Cash;The Caretaker;funeral
Johnny Cash;The Caretaker;comes
Johnny Cash;The Caretaker;the
Johnny Cash;The Caretaker;people
Johnny Cash;The Caretaker;cry
Johnny Cash;The Caretaker;and
Johnny Cash;The Caretaker;pray
Johnny Cash;The Caretaker;they
Johnny Cash;The Caretaker;bury
Johnny Cash;The Caretaker;their
Johnny Cash;The Caretaker;dead
Johnny Cash;The Caretaker;then
Johnny Cash;The Caretaker;they
Johnny Cash;The Caretaker;all
Johnny Cash;The Caretaker;go
Johnny Cash;The Caretaker;away
Johnny Cash;The Caretaker;and
Johnny Cash;The Caretaker;here
Johnny Cash;The Caretaker;i
Johnny Cash;The Caretaker;work
Johnny Cash;The Caretaker;and
Johnny Cash;The Caretaker;i
Johnny Cash;The Caretaker;somehow
Johnny Cash;The Caretaker;hide
Johnny Cash;The Caretaker;from
Johnny Cash;The Caretaker;a
Johnny Cash;The Caretaker;world
Johnny Cash;The Caretaker;that
Johnny Cash;The Caretaker;rushes
Johnny Cash;The Caretaker;by
Johnny Cash;The Caretaker;outside
Johnny Cash;The Caretaker;but
Johnny Cash;The Caretaker;each
Johnny Cash;The Caretaker;night
Johnny Cash;The Caretaker;when
Johnny Cash;The Caretaker;i
Johnny Cash;The Caretaker;rest
Johnny Cash;The Caretaker;my
Johnny Cash;The Caretaker;head
Johnny Cash;The Caretaker;i
Johnny Cash;The Caretaker;live
Johnny Cash;The Caretaker;in
Johnny Cash;The Caretaker;the
Johnny Cash;The Caretaker;cemetery
Johnny Cash;The Caretaker;'old
Johnny Cash;The Caretaker;caretaker'
Johnny Cash;The Caretaker;they
Johnny Cash;The Caretaker;call
Johnny Cash;The Caretaker;me
Johnny Cash;The Caretaker;in
Johnny Cash;The Caretaker;the
Johnny Cash;The Caretaker;wintertime
Johnny Cash;The Caretaker;i
Johnny Cash;The Caretaker;rake
Johnny Cash;The Caretaker;the
Johnny Cash;The Caretaker;leaves
Johnny Cash;The Caretaker;and
Johnny Cash;The Caretaker;in
Johnny Cash;The Caretaker;the
Johnny Cash;The Caretaker;summer
Johnny Cash;The Caretaker;i
Johnny Cash;The Caretaker;cut
Johnny Cash;The Caretaker;the
Johnny Cash;The Caretaker;weeds
Johnny Cash;The Caretaker;when
Johnny Cash;The Caretaker;a
Johnny Cash;The Caretaker;funeral
Johnny Cash;The Caretaker;comes
Johnny Cash;The Caretaker;the
Johnny Cash;The Caretaker;people
Johnny Cash;The Caretaker;cry
Johnny Cash;The Caretaker;and
Johnny Cash;The Caretaker;pray
Johnny Cash;The Caretaker;they
Johnny Cash;The Caretaker;bury
Johnny Cash;The Caretaker;their
Johnny Cash;The Caretaker;dead
Johnny Cash;The Caretaker;then
Johnny Cash;The Caretaker;they
Johnny Cash;The Caretaker;all
Johnny Cash;The Caretaker;go
Johnny Cash;The Caretaker;away
Johnny Cash;The Caretaker;and
Johnny Cash;The Caretaker;here
Johnny Cash;The Caretaker;i
Johnny Cash;The Caretaker;work
Johnny Cash;The Caretaker;and
Johnny Cash;The Caretaker;i
Johnny Cash;The Caretaker;somehow
Johnny Cash;The Caretaker;hide
Johnny Cash;The Caretaker;from
Johnny Cash;The Caretaker;a
Johnny Cash;The Caretaker;world
Johnny Cash;The Caretaker;that
Johnny Cash;The Caretaker;rushes
Johnny Cash;The Caretaker;by
Johnny Cash;The Caretaker;outside
Johnny Cash;The Caretaker;but
Johnny Cash;The Caretaker;each
Johnny Cash;The Caretaker;night
Johnny Cash;The Caretaker;when
Johnny Cash;The Caretaker;i
Johnny Cash;The Caretaker;rest
Johnny Cash;The Caretaker;my
Johnny Cash;The Caretaker;head
Johnny Cash;The Caretaker;i'm
Johnny Cash;The Caretaker;contented
Johnny Cash;The Caretaker;as
Johnny Cash;The Caretaker;the
Johnny Cash;The Caretaker;peaceful
Johnny Cash;The Caretaker;death
Johnny Cash;The Caretaker;but
Johnny Cash;The Caretaker;who's
Johnny Cash;The Caretaker;gonna
Johnny Cash;The Caretaker;cry
Johnny Cash;The Caretaker;when
Johnny Cash;The Caretaker;old
Johnny Cash;The Caretaker;john
Johnny Cash;The Caretaker;dies?
Johnny Cash;The Caretaker;who's
Johnny Cash;The Caretaker;gonna
Johnny Cash;The Caretaker;cry
Johnny Cash;The Caretaker;when
Johnny Cash;The Caretaker;old
Johnny Cash;The Caretaker;john
Johnny Cash;The Caretaker;dies?
Johnny Cash;The Caretaker;once
Johnny Cash;The Caretaker;i
Johnny Cash;The Caretaker;was
Johnny Cash;The Caretaker;a
Johnny Cash;The Caretaker;young
Johnny Cash;The Caretaker;man
Johnny Cash;The Caretaker;dashing
Johnny Cash;The Caretaker;with
Johnny Cash;The Caretaker;the
Johnny Cash;The Caretaker;girls
Johnny Cash;The Caretaker;now
Johnny Cash;The Caretaker;no
Johnny Cash;The Caretaker;one
Johnny Cash;The Caretaker;wants
Johnny Cash;The Caretaker;an
Johnny Cash;The Caretaker;old
Johnny Cash;The Caretaker;man
Johnny Cash;The Caretaker;when
Johnny Cash;The Caretaker;i
Johnny Cash;The Caretaker;lost
Johnny Cash;The Caretaker;my
Johnny Cash;The Caretaker;handsome
Johnny Cash;The Caretaker;curls
Johnny Cash;The Caretaker;but
Johnny Cash;The Caretaker;i
Johnny Cash;The Caretaker;wanna
Johnny Cash;The Caretaker;say
Johnny Cash;The Caretaker;when
Johnny Cash;The Caretaker;my
