artist_name;song_title;token
Johnny Cash;The Long Black Veil;ten
Johnny Cash;The Long Black Veil;years
Johnny Cash;The Long Black Veil;ago,
Johnny Cash;The Long Black Veil;on
Johnny Cash;The Long Black Veil;a
Johnny Cash;The Long Black Veil;cold
Johnny Cash;The Long Black Veil;dark
Johnny Cash;The Long Black Veil;night
Johnny Cash;The Long Black Veil;someone
Johnny Cash;The Long Black Veil;was
Johnny Cash;The Long Black Veil;killed,
Johnny Cash;The Long Black Veil;'neath
Johnny Cash;The Long Black Veil;the
Johnny Cash;The Long Black Veil;town
Johnny Cash;The Long Black Veil;hall
Johnny Cash;The Long Black Veil;light
Johnny Cash;The Long Black Veil;there
Johnny Cash;The Long Black Veil;were
Johnny Cash;The Long Black Veil;few
Johnny Cash;The Long Black Veil;at
Johnny Cash;The Long Black Veil;the
Johnny Cash;The Long Black Veil;scene,
Johnny Cash;The Long Black Veil;but
Johnny Cash;The Long Black Veil;they
Johnny Cash;The Long Black Veil;all
Johnny Cash;The Long Black Veil;agreed
Johnny Cash;The Long Black Veil;that
Johnny Cash;The Long Black Veil;the
Johnny Cash;The Long Black Veil;slayer
Johnny Cash;The Long Black Veil;who
Johnny Cash;The Long Black Veil;ran,
Johnny Cash;The Long Black Veil;looked
Johnny Cash;The Long Black Veil;a
Johnny Cash;The Long Black Veil;lot
Johnny Cash;The Long Black Veil;like
Johnny Cash;The Long Black Veil;me
Johnny Cash;The Long Black Veil;the
Johnny Cash;The Long Black Veil;judge
Johnny Cash;The Long Black Veil;said
Johnny Cash;The Long Black Veil;son,
Johnny Cash;The Long Black Veil;what
Johnny Cash;The Long Black Veil;is
Johnny Cash;The Long Black Veil;your
Johnny Cash;The Long Black Veil;alibi
Johnny Cash;The Long Black Veil;if
Johnny Cash;The Long Black Veil;you
Johnny Cash;The Long Black Veil;were
Johnny Cash;The Long Black Veil;somewhere
Johnny Cash;The Long Black Veil;else,
Johnny Cash;The Long Black Veil;then
Johnny Cash;The Long Black Veil;you
Johnny Cash;The Long Black Veil;won't
Johnny Cash;The Long Black Veil;have
Johnny Cash;The Long Black Veil;to
Johnny Cash;The Long Black Veil;die
Johnny Cash;The Long Black Veil;i
Johnny Cash;The Long Black Veil;spoke
Johnny Cash;The Long Black Veil;not
Johnny Cash;The Long Black Veil;a
Johnny Cash;The Long Black Veil;word,
Johnny Cash;The Long Black Veil;thou
Johnny Cash;The Long Black Veil;it
Johnny Cash;The Long Black Veil;meant
Johnny Cash;The Long Black Veil;my
