artist_name;song_title;token
Johnny Cash;The Loving Gift;you
Johnny Cash;The Loving Gift;gave
Johnny Cash;The Loving Gift;me
Johnny Cash;The Loving Gift;a
Johnny Cash;The Loving Gift;blanket
Johnny Cash;The Loving Gift;to
Johnny Cash;The Loving Gift;keep
Johnny Cash;The Loving Gift;me
Johnny Cash;The Loving Gift;from
Johnny Cash;The Loving Gift;the
Johnny Cash;The Loving Gift;cold
Johnny Cash;The Loving Gift;you
Johnny Cash;The Loving Gift;gave
Johnny Cash;The Loving Gift;me
Johnny Cash;The Loving Gift;a
Johnny Cash;The Loving Gift;song
Johnny Cash;The Loving Gift;i
Johnny Cash;The Loving Gift;learned
Johnny Cash;The Loving Gift;to
Johnny Cash;The Loving Gift;sing
Johnny Cash;The Loving Gift;you
Johnny Cash;The Loving Gift;showed
Johnny Cash;The Loving Gift;me
Johnny Cash;The Loving Gift;some
Johnny Cash;The Loving Gift;beauty
Johnny Cash;The Loving Gift;through
Johnny Cash;The Loving Gift;the
Johnny Cash;The Loving Gift;windows
Johnny Cash;The Loving Gift;of
Johnny Cash;The Loving Gift;your
Johnny Cash;The Loving Gift;soul
Johnny Cash;The Loving Gift;and
Johnny Cash;The Loving Gift;you
Johnny Cash;The Loving Gift;showed
Johnny Cash;The Loving Gift;me
Johnny Cash;The Loving Gift;a
Johnny Cash;The Loving Gift;world
Johnny Cash;The Loving Gift;i've
Johnny Cash;The Loving Gift;never
Johnny Cash;The Loving Gift;seen
Johnny Cash;The Loving Gift;each
Johnny Cash;The Loving Gift;giving
Johnny Cash;The Loving Gift;to
Johnny Cash;The Loving Gift;the
Johnny Cash;The Loving Gift;other
Johnny Cash;The Loving Gift;love
Johnny Cash;The Loving Gift;an'
Johnny Cash;The Loving Gift;givin'
Johnny Cash;The Loving Gift;it
Johnny Cash;The Loving Gift;away
Johnny Cash;The Loving Gift;we
Johnny Cash;The Loving Gift;spent
Johnny Cash;The Loving Gift;the
Johnny Cash;The Loving Gift;precious
Johnny Cash;The Loving Gift;time
Johnny Cash;The Loving Gift;we
Johnny Cash;The Loving Gift;knew
Johnny Cash;The Loving Gift;was
Johnny Cash;The Loving Gift;borrowed
Johnny Cash;The Loving Gift;'cause
Johnny Cash;The Loving Gift;you
Johnny Cash;The Loving Gift;gave
Johnny Cash;The Loving Gift;me
Johnny Cash;The Loving Gift;the
Johnny Cash;The Loving Gift;courage
Johnny Cash;The Loving Gift;you
Johnny Cash;The Loving Gift;gave
Johnny Cash;The Loving Gift;me
Johnny Cash;The Loving Gift;a
Johnny Cash;The Loving Gift;blanket
Johnny Cash;The Loving Gift;to
Johnny Cash;The Loving Gift;keep
Johnny Cash;The Loving Gift;me
Johnny Cash;The Loving Gift;from
Johnny Cash;The Loving Gift;the
Johnny Cash;The Loving Gift;cold
Johnny Cash;The Loving Gift;you
Johnny Cash;The Loving Gift;gave
Johnny Cash;The Loving Gift;me
Johnny Cash;The Loving Gift;a
Johnny Cash;The Loving Gift;song
Johnny Cash;The Loving Gift;i
Johnny Cash;The Loving Gift;learned
Johnny Cash;The Loving Gift;to
Johnny Cash;The Loving Gift;sing
Johnny Cash;The Loving Gift;you
Johnny Cash;The Loving Gift;showed
Johnny Cash;The Loving Gift;me
Johnny Cash;The Loving Gift;some
Johnny Cash;The Loving Gift;beauty
Johnny Cash;The Loving Gift;through
Johnny Cash;The Loving Gift;the
Johnny Cash;The Loving Gift;windows
Johnny Cash;The Loving Gift;of
Johnny Cash;The Loving Gift;your
Johnny Cash;The Loving Gift;soul
Johnny Cash;The Loving Gift;and
Johnny Cash;The Loving Gift;you
Johnny Cash;The Loving Gift;showed
Johnny Cash;The Loving Gift;me
Johnny Cash;The Loving Gift;a
Johnny Cash;The Loving Gift;world
Johnny Cash;The Loving Gift;i've
Johnny Cash;The Loving Gift;never
Johnny Cash;The Loving Gift;seen
Johnny Cash;The Loving Gift;each
Johnny Cash;The Loving Gift;giving
Johnny Cash;The Loving Gift;to
Johnny Cash;The Loving Gift;the
Johnny Cash;The Loving Gift;other
Johnny Cash;The Loving Gift;love
Johnny Cash;The Loving Gift;an'
Johnny Cash;The Loving Gift;givin'
Johnny Cash;The Loving Gift;it
