artist_name;song_title;token
Johnny Cash;The Rebel-Johnny Yuma;away,
Johnny Cash;The Rebel-Johnny Yuma;away,
Johnny Cash;The Rebel-Johnny Yuma;away
Johnny Cash;The Rebel-Johnny Yuma;rolled
Johnny Cash;The Rebel-Johnny Yuma;the
Johnny Cash;The Rebel-Johnny Yuma;rebel
Johnny Cash;The Rebel-Johnny Yuma;johnny
Johnny Cash;The Rebel-Johnny Yuma;yuma
Johnny Cash;The Rebel-Johnny Yuma;johnny
Johnny Cash;The Rebel-Johnny Yuma;yuma
Johnny Cash;The Rebel-Johnny Yuma;was
Johnny Cash;The Rebel-Johnny Yuma;a
Johnny Cash;The Rebel-Johnny Yuma;rebel
Johnny Cash;The Rebel-Johnny Yuma;he
Johnny Cash;The Rebel-Johnny Yuma;roamed
Johnny Cash;The Rebel-Johnny Yuma;through
Johnny Cash;The Rebel-Johnny Yuma;the
Johnny Cash;The Rebel-Johnny Yuma;west
Johnny Cash;The Rebel-Johnny Yuma;and
Johnny Cash;The Rebel-Johnny Yuma;johnny
Johnny Cash;The Rebel-Johnny Yuma;yuma,
Johnny Cash;The Rebel-Johnny Yuma;the
Johnny Cash;The Rebel-Johnny Yuma;rebel
Johnny Cash;The Rebel-Johnny Yuma;he
Johnny Cash;The Rebel-Johnny Yuma;wandered
Johnny Cash;The Rebel-Johnny Yuma;alone.
Johnny Cash;The Rebel-Johnny Yuma;he
Johnny Cash;The Rebel-Johnny Yuma;got
Johnny Cash;The Rebel-Johnny Yuma;fightin'
Johnny Cash;The Rebel-Johnny Yuma;mad
Johnny Cash;The Rebel-Johnny Yuma;this
Johnny Cash;The Rebel-Johnny Yuma;rebel
Johnny Cash;The Rebel-Johnny Yuma;lad
Johnny Cash;The Rebel-Johnny Yuma;he
Johnny Cash;The Rebel-Johnny Yuma;packed
Johnny Cash;The Rebel-Johnny Yuma;no
Johnny Cash;The Rebel-Johnny Yuma;star
Johnny Cash;The Rebel-Johnny Yuma;as
Johnny Cash;The Rebel-Johnny Yuma;he
Johnny Cash;The Rebel-Johnny Yuma;wandered
Johnny Cash;The Rebel-Johnny Yuma;far
Johnny Cash;The Rebel-Johnny Yuma;where
Johnny Cash;The Rebel-Johnny Yuma;the
Johnny Cash;The Rebel-Johnny Yuma;only
Johnny Cash;The Rebel-Johnny Yuma;law
Johnny Cash;The Rebel-Johnny Yuma;was
Johnny Cash;The Rebel-Johnny Yuma;a
Johnny Cash;The Rebel-Johnny Yuma;hook
Johnny Cash;The Rebel-Johnny Yuma;and
Johnny Cash;The Rebel-Johnny Yuma;a
Johnny Cash;The Rebel-Johnny Yuma;draw.
Johnny Cash;The Rebel-Johnny Yuma;away,
Johnny Cash;The Rebel-Johnny Yuma;away,
Johnny Cash;The Rebel-Johnny Yuma;away
