artist_name;song_title;token
Johnny Cash;Tony;this
Johnny Cash;Tony;is
Johnny Cash;Tony;the
Johnny Cash;Tony;story
Johnny Cash;Tony;of
Johnny Cash;Tony;tweedle-o-twist
Johnny Cash;Tony;and
Johnny Cash;Tony;a
Johnny Cash;Tony;cowboy
Johnny Cash;Tony;that
Johnny Cash;Tony;i
Johnny Cash;Tony;knew
Johnny Cash;Tony;named
Johnny Cash;Tony;tony
Johnny Cash;Tony;from
Johnny Cash;Tony;blithe
Johnny Cash;Tony;fresno
Johnny Cash;Tony;old
Johnny Cash;Tony;sant
Johnny Cash;Tony;joe
Johnny Cash;Tony;washoe
Johnny Cash;Tony;go
Johnny Cash;Tony;rodeo
Johnny Cash;Tony;pendleton
Johnny Cash;Tony;santa
Johnny Cash;Tony;ana
Johnny Cash;Tony;baker
Johnny Cash;Tony;bozeman
Johnny Cash;Tony;and
Johnny Cash;Tony;burley
Johnny Cash;Tony;from
Johnny Cash;Tony;chambers
Johnny Cash;Tony;to
Johnny Cash;Tony;payson
Johnny Cash;Tony;rapid
Johnny Cash;Tony;city
Johnny Cash;Tony;to
Johnny Cash;Tony;akron
Johnny Cash;Tony;we'd
Johnny Cash;Tony;sing
Johnny Cash;Tony;just
Johnny Cash;Tony;to
Johnny Cash;Tony;ease
Johnny Cash;Tony;all
Johnny Cash;Tony;the
Johnny Cash;Tony;hurts
Johnny Cash;Tony;that
Johnny Cash;Tony;we
Johnny Cash;Tony;gained
Johnny Cash;Tony;a
Johnny Cash;Tony;bandage
Johnny Cash;Tony;to
Johnny Cash;Tony;wrap
Johnny Cash;Tony;the
Johnny Cash;Tony;aches
Johnny Cash;Tony;and
Johnny Cash;Tony;a
Johnny Cash;Tony;few
Johnny Cash;Tony;turns
Johnny Cash;Tony;of
Johnny Cash;Tony;tape
Johnny Cash;Tony;this
Johnny Cash;Tony;is
Johnny Cash;Tony;the
Johnny Cash;Tony;story
Johnny Cash;Tony;of
Johnny Cash;Tony;tweedle-o-twist
Johnny Cash;Tony;and
Johnny Cash;Tony;a
Johnny Cash;Tony;cowboy
Johnny Cash;Tony;that
Johnny Cash;Tony;i
Johnny Cash;Tony;knew
Johnny Cash;Tony;named
Johnny Cash;Tony;tony
Johnny Cash;Tony;from
Johnny Cash;Tony;blithe
Johnny Cash;Tony;fresno
Johnny Cash;Tony;old
Johnny Cash;Tony;sant
Johnny Cash;Tony;joe
Johnny Cash;Tony;washoe
Johnny Cash;Tony;go
Johnny Cash;Tony;rodeo
Johnny Cash;Tony;pendleton
Johnny Cash;Tony;santa
Johnny Cash;Tony;ana
Johnny Cash;Tony;baker
Johnny Cash;Tony;bozeman
Johnny Cash;Tony;and
Johnny Cash;Tony;burley
Johnny Cash;Tony;from
Johnny Cash;Tony;chambers
Johnny Cash;Tony;to
Johnny Cash;Tony;payson
Johnny Cash;Tony;rapid
Johnny Cash;Tony;city
Johnny Cash;Tony;to
Johnny Cash;Tony;akron
Johnny Cash;Tony;we'd
Johnny Cash;Tony;sing
Johnny Cash;Tony;just
Johnny Cash;Tony;to
Johnny Cash;Tony;ease
Johnny Cash;Tony;all
Johnny Cash;Tony;the
Johnny Cash;Tony;hurts
Johnny Cash;Tony;that
Johnny Cash;Tony;we
Johnny Cash;Tony;gained
Johnny Cash;Tony;a
Johnny Cash;Tony;bandage
Johnny Cash;Tony;to
Johnny Cash;Tony;wrap
Johnny Cash;Tony;the
Johnny Cash;Tony;aches
Johnny Cash;Tony;and
Johnny Cash;Tony;a
Johnny Cash;Tony;few
Johnny Cash;Tony;turns
Johnny Cash;Tony;of
Johnny Cash;Tony;tape
Johnny Cash;Tony;held
Johnny Cash;Tony;us
Johnny Cash;Tony;together
Johnny Cash;Tony;and
Johnny Cash;Tony;stopped
Johnny Cash;Tony;the
Johnny Cash;Tony;blood
Johnny Cash;Tony;stains
Johnny Cash;Tony;well
Johnny Cash;Tony;sometimes
Johnny Cash;Tony;we'd
Johnny Cash;Tony;draw
Johnny Cash;Tony;bad
Johnny Cash;Tony;and
Johnny Cash;Tony;the
Johnny Cash;Tony;stock
Johnny Cash;Tony;wouldn't
Johnny Cash;Tony;buck
Johnny Cash;Tony;and
Johnny Cash;Tony;there
Johnny Cash;Tony;was
Johnny Cash;Tony;times
Johnny Cash;Tony;when
Johnny Cash;Tony;the
Johnny Cash;Tony;luck
Johnny Cash;Tony;wasn't
Johnny Cash;Tony;going
Johnny Cash;Tony;our
Johnny Cash;Tony;way
Johnny Cash;Tony;but
Johnny Cash;Tony;a
Johnny Cash;Tony;credit
Johnny Cash;Tony;card
Johnny Cash;Tony;that
Johnny Cash;Tony;i'd
Johnny Cash;Tony;found
Johnny Cash;Tony;would
Johnny Cash;Tony;get
Johnny Cash;Tony;us
Johnny Cash;Tony;to
Johnny Cash;Tony;the
Johnny Cash;Tony;next
Johnny Cash;Tony;town
Johnny Cash;Tony;with
Johnny Cash;Tony;just
Johnny Cash;Tony;a
Johnny Cash;Tony;switch
Johnny Cash;Tony;of
Johnny Cash;Tony;his
Johnny Cash;Tony;montana
Johnny Cash;Tony;plates
Johnny Cash;Tony;i
Johnny Cash;Tony;remember
Johnny Cash;Tony;at
Johnny Cash;Tony;evanston
Johnny Cash;Tony;when
Johnny Cash;Tony;a
Johnny Cash;Tony;bull
Johnny Cash;Tony;broke
Johnny Cash;Tony;his
Johnny Cash;Tony;arm
Johnny Cash;Tony;and
Johnny Cash;Tony;we
Johnny Cash;Tony;had
