artist_name;song_title;token
Johnny Cash;Waiting For A Train;all
Johnny Cash;Waiting For A Train;around
Johnny Cash;Waiting For A Train;the
Johnny Cash;Waiting For A Train;water
Johnny Cash;Waiting For A Train;tank
Johnny Cash;Waiting For A Train;waitin'
Johnny Cash;Waiting For A Train;for
Johnny Cash;Waiting For A Train;a
Johnny Cash;Waiting For A Train;train
Johnny Cash;Waiting For A Train;a
Johnny Cash;Waiting For A Train;thousand
Johnny Cash;Waiting For A Train;miles
Johnny Cash;Waiting For A Train;away
Johnny Cash;Waiting For A Train;from
Johnny Cash;Waiting For A Train;home
Johnny Cash;Waiting For A Train;sleeping
Johnny Cash;Waiting For A Train;in
Johnny Cash;Waiting For A Train;the
Johnny Cash;Waiting For A Train;rain
Johnny Cash;Waiting For A Train;i
Johnny Cash;Waiting For A Train;walked
Johnny Cash;Waiting For A Train;up
Johnny Cash;Waiting For A Train;to
Johnny Cash;Waiting For A Train;a
Johnny Cash;Waiting For A Train;brakeman
Johnny Cash;Waiting For A Train;just
Johnny Cash;Waiting For A Train;to
Johnny Cash;Waiting For A Train;give
Johnny Cash;Waiting For A Train;him
Johnny Cash;Waiting For A Train;a
Johnny Cash;Waiting For A Train;line
Johnny Cash;Waiting For A Train;of
Johnny Cash;Waiting For A Train;talk
Johnny Cash;Waiting For A Train;he
Johnny Cash;Waiting For A Train;said
Johnny Cash;Waiting For A Train;if
Johnny Cash;Waiting For A Train;you've
Johnny Cash;Waiting For A Train;got
Johnny Cash;Waiting For A Train;money
Johnny Cash;Waiting For A Train;i'll
Johnny Cash;Waiting For A Train;see
Johnny Cash;Waiting For A Train;that
Johnny Cash;Waiting For A Train;you
Johnny Cash;Waiting For A Train;don't
Johnny Cash;Waiting For A Train;walk
Johnny Cash;Waiting For A Train;well
Johnny Cash;Waiting For A Train;i
Johnny Cash;Waiting For A Train;haven't
Johnny Cash;Waiting For A Train;got
Johnny Cash;Waiting For A Train;a
Johnny Cash;Waiting For A Train;nickel
Johnny Cash;Waiting For A Train;not
Johnny Cash;Waiting For A Train;a
Johnny Cash;Waiting For A Train;penny
Johnny Cash;Waiting For A Train;can
Johnny Cash;Waiting For A Train;i
Johnny Cash;Waiting For A Train;show
Johnny Cash;Waiting For A Train;all
Johnny Cash;Waiting For A Train;around
Johnny Cash;Waiting For A Train;the
Johnny Cash;Waiting For A Train;water
Johnny Cash;Waiting For A Train;tank
Johnny Cash;Waiting For A Train;waitin'
Johnny Cash;Waiting For A Train;for
Johnny Cash;Waiting For A Train;a
Johnny Cash;Waiting For A Train;train
Johnny Cash;Waiting For A Train;a
Johnny Cash;Waiting For A Train;thousand
Johnny Cash;Waiting For A Train;miles
Johnny Cash;Waiting For A Train;away
Johnny Cash;Waiting For A Train;from
Johnny Cash;Waiting For A Train;home
Johnny Cash;Waiting For A Train;sleeping
Johnny Cash;Waiting For A Train;in
Johnny Cash;Waiting For A Train;the
Johnny Cash;Waiting For A Train;rain
Johnny Cash;Waiting For A Train;i
Johnny Cash;Waiting For A Train;walked
Johnny Cash;Waiting For A Train;up
Johnny Cash;Waiting For A Train;to
Johnny Cash;Waiting For A Train;a
Johnny Cash;Waiting For A Train;brakeman
Johnny Cash;Waiting For A Train;just
Johnny Cash;Waiting For A Train;to
Johnny Cash;Waiting For A Train;give
Johnny Cash;Waiting For A Train;him
Johnny Cash;Waiting For A Train;a
Johnny Cash;Waiting For A Train;line
Johnny Cash;Waiting For A Train;of
Johnny Cash;Waiting For A Train;talk
Johnny Cash;Waiting For A Train;he
Johnny Cash;Waiting For A Train;said
Johnny Cash;Waiting For A Train;if
Johnny Cash;Waiting For A Train;you've
Johnny Cash;Waiting For A Train;got
Johnny Cash;Waiting For A Train;money
Johnny Cash;Waiting For A Train;i'll
Johnny Cash;Waiting For A Train;see
Johnny Cash;Waiting For A Train;that
Johnny Cash;Waiting For A Train;you
Johnny Cash;Waiting For A Train;don't
Johnny Cash;Waiting For A Train;walk
Johnny Cash;Waiting For A Train;well
Johnny Cash;Waiting For A Train;i
Johnny Cash;Waiting For A Train;haven't
Johnny Cash;Waiting For A Train;got
Johnny Cash;Waiting For A Train;a
Johnny Cash;Waiting For A Train;nickel
Johnny Cash;Waiting For A Train;not
Johnny Cash;Waiting For A Train;a
Johnny Cash;Waiting For A Train;penny
Johnny Cash;Waiting For A Train;can
Johnny Cash;Waiting For A Train;i
Johnny Cash;Waiting For A Train;show
Johnny Cash;Waiting For A Train;he
Johnny Cash;Waiting For A Train;said
Johnny Cash;Waiting For A Train;get
Johnny Cash;Waiting For A Train;off
Johnny Cash;Waiting For A Train;you
Johnny Cash;Waiting For A Train;railroad
Johnny Cash;Waiting For A Train;bum
Johnny Cash;Waiting For A Train;and
Johnny Cash;Waiting For A Train;he
Johnny Cash;Waiting For A Train;slammed
Johnny Cash;Waiting For A Train;the
Johnny Cash;Waiting For A Train;boxcar
Johnny Cash;Waiting For A Train;door
Johnny Cash;Waiting For A Train;well
Johnny Cash;Waiting For A Train;he
Johnny Cash;Waiting For A Train;put
Johnny Cash;Waiting For A Train;me
Johnny Cash;Waiting For A Train;off
Johnny Cash;Waiting For A Train;in
Johnny Cash;Waiting For A Train;texas
Johnny Cash;Waiting For A Train;a
Johnny Cash;Waiting For A Train;place
Johnny Cash;Waiting For A Train;i
Johnny Cash;Waiting For A Train;dearly
Johnny Cash;Waiting For A Train;love
Johnny Cash;Waiting For A Train;the
Johnny Cash;Waiting For A Train;wide
Johnny Cash;Waiting For A Train;open
Johnny Cash;Waiting For A Train;spaces
Johnny Cash;Waiting For A Train;all
Johnny Cash;Waiting For A Train;around
Johnny Cash;Waiting For A Train;me
Johnny Cash;Waiting For A Train;the
Johnny Cash;Waiting For A Train;moon
Johnny Cash;Waiting For A Train;and
Johnny Cash;Waiting For A Train;stars
Johnny Cash;Waiting For A Train;above
Johnny Cash;Waiting For A Train;nobody
Johnny Cash;Waiting For A Train;seems
Johnny Cash;Waiting For A Train;to
Johnny Cash;Waiting For A Train;want
Johnny Cash;Waiting For A Train;me
Johnny Cash;Waiting For A Train;nor
Johnny Cash;Waiting For A Train;to
Johnny Cash;Waiting For A Train;lend
Johnny Cash;Waiting For A Train;me
Johnny Cash;Waiting For A Train;a
Johnny Cash;Waiting For A Train;helping
Johnny Cash;Waiting For A Train;hand
Johnny Cash;Waiting For A Train;i'm
Johnny Cash;Waiting For A Train;on
Johnny Cash;Waiting For A Train;my
Johnny Cash;Waiting For A Train;way
Johnny Cash;Waiting For A Train;from
Johnny Cash;Waiting For A Train;frisco
Johnny Cash;Waiting For A Train;headin'
Johnny Cash;Waiting For A Train;back
Johnny Cash;Waiting For A Train;to
Johnny Cash;Waiting For A Train;dixie
Johnny Cash;Waiting For A Train;land
Johnny Cash;Waiting For A Train;my
Johnny Cash;Waiting For A Train;pocketbook
Johnny Cash;Waiting For A Train;is
Johnny Cash;Waiting For A Train;empty
Johnny Cash;Waiting For A Train;my
Johnny Cash;Waiting For A Train;heart
Johnny Cash;Waiting For A Train;is
Johnny Cash;Waiting For A Train;willed
Johnny Cash;Waiting For A Train;with
Johnny Cash;Waiting For A Train;pain
Johnny Cash;Waiting For A Train;i'm
Johnny Cash;Waiting For A Train;a
Johnny Cash;Waiting For A Train;thousand
Johnny Cash;Waiting For A Train;miles
Johnny Cash;Waiting For A Train;away
Johnny Cash;Waiting For A Train;from
Johnny Cash;Waiting For A Train;home,
Johnny Cash;Waiting For A Train;waitin'
Johnny Cash;Waiting For A Train;for
Johnny Cash;Waiting For A Train;a
Johnny Cash;Waiting For A Train;train
