artist_name;song_title;token
Johnny Cash;You Remembered Me;you
Johnny Cash;You Remembered Me;were
Johnny Cash;You Remembered Me;young
Johnny Cash;You Remembered Me;and
Johnny Cash;You Remembered Me;needed
Johnny Cash;You Remembered Me;love
Johnny Cash;You Remembered Me;and
Johnny Cash;You Remembered Me;i
Johnny Cash;You Remembered Me;was
Johnny Cash;You Remembered Me;wild
Johnny Cash;You Remembered Me;and
Johnny Cash;You Remembered Me;free
Johnny Cash;You Remembered Me;but
Johnny Cash;You Remembered Me;every
Johnny Cash;You Remembered Me;time
Johnny Cash;You Remembered Me;you
Johnny Cash;You Remembered Me;said
Johnny Cash;You Remembered Me;a
Johnny Cash;You Remembered Me;prayer
Johnny Cash;You Remembered Me;you
Johnny Cash;You Remembered Me;said
Johnny Cash;You Remembered Me;a
Johnny Cash;You Remembered Me;prayer
Johnny Cash;You Remembered Me;for
Johnny Cash;You Remembered Me;me
Johnny Cash;You Remembered Me;why
Johnny Cash;You Remembered Me;the
Johnny Cash;You Remembered Me;ring
Johnny Cash;You Remembered Me;upon
Johnny Cash;You Remembered Me;your
Johnny Cash;You Remembered Me;hand
Johnny Cash;You Remembered Me;we
Johnny Cash;You Remembered Me;vowed
Johnny Cash;You Remembered Me;fidelity
Johnny Cash;You Remembered Me;there
Johnny Cash;You Remembered Me;were
Johnny Cash;You Remembered Me;times
Johnny Cash;You Remembered Me;when
Johnny Cash;You Remembered Me;i
Johnny Cash;You Remembered Me;forgot
Johnny Cash;You Remembered Me;but
Johnny Cash;You Remembered Me;you
Johnny Cash;You Remembered Me;remembered
Johnny Cash;You Remembered Me;me
Johnny Cash;You Remembered Me;(there
Johnny Cash;You Remembered Me;were
Johnny Cash;You Remembered Me;times
Johnny Cash;You Remembered Me;when
Johnny Cash;You Remembered Me;i
Johnny Cash;You Remembered Me;forgot
Johnny Cash;You Remembered Me;but
Johnny Cash;You Remembered Me;you
Johnny Cash;You Remembered Me;remembered
Johnny Cash;You Remembered Me;me)
Johnny Cash;You Remembered Me;you
Johnny Cash;You Remembered Me;remembered
Johnny Cash;You Remembered Me;only
Johnny Cash;You Remembered Me;that
Johnny Cash;You Remembered Me;wedding
Johnny Cash;You Remembered Me;bells
Johnny Cash;You Remembered Me;would
Johnny Cash;You Remembered Me;ring
Johnny Cash;You Remembered Me;you
Johnny Cash;You Remembered Me;were
Johnny Cash;You Remembered Me;young
Johnny Cash;You Remembered Me;and
Johnny Cash;You Remembered Me;needed
Johnny Cash;You Remembered Me;love
Johnny Cash;You Remembered Me;and
Johnny Cash;You Remembered Me;i
Johnny Cash;You Remembered Me;was
Johnny Cash;You Remembered Me;wild
Johnny Cash;You Remembered Me;and
Johnny Cash;You Remembered Me;free
Johnny Cash;You Remembered Me;but
Johnny Cash;You Remembered Me;every
Johnny Cash;You Remembered Me;time
Johnny Cash;You Remembered Me;you
Johnny Cash;You Remembered Me;said
Johnny Cash;You Remembered Me;a
Johnny Cash;You Remembered Me;prayer
Johnny Cash;You Remembered Me;you
Johnny Cash;You Remembered Me;said
Johnny Cash;You Remembered Me;a
Johnny Cash;You Remembered Me;prayer
Johnny Cash;You Remembered Me;for
Johnny Cash;You Remembered Me;me
Johnny Cash;You Remembered Me;why
Johnny Cash;You Remembered Me;the
Johnny Cash;You Remembered Me;ring
Johnny Cash;You Remembered Me;upon
Johnny Cash;You Remembered Me;your
Johnny Cash;You Remembered Me;hand
Johnny Cash;You Remembered Me;we
Johnny Cash;You Remembered Me;vowed
Johnny Cash;You Remembered Me;fidelity
Johnny Cash;You Remembered Me;there
Johnny Cash;You Remembered Me;were
Johnny Cash;You Remembered Me;times
Johnny Cash;You Remembered Me;when
Johnny Cash;You Remembered Me;i
Johnny Cash;You Remembered Me;forgot
Johnny Cash;You Remembered Me;but
Johnny Cash;You Remembered Me;you
Johnny Cash;You Remembered Me;remembered
Johnny Cash;You Remembered Me;me
Johnny Cash;You Remembered Me;(there
Johnny Cash;You Remembered Me;were
Johnny Cash;You Remembered Me;times
Johnny Cash;You Remembered Me;when
Johnny Cash;You Remembered Me;i
Johnny Cash;You Remembered Me;forgot
Johnny Cash;You Remembered Me;but
Johnny Cash;You Remembered Me;you
Johnny Cash;You Remembered Me;remembered
Johnny Cash;You Remembered Me;me)
Johnny Cash;You Remembered Me;you
Johnny Cash;You Remembered Me;remembered
Johnny Cash;You Remembered Me;only
Johnny Cash;You Remembered Me;that
Johnny Cash;You Remembered Me;wedding
Johnny Cash;You Remembered Me;bells
Johnny Cash;You Remembered Me;would
Johnny Cash;You Remembered Me;ring
Johnny Cash;You Remembered Me;you
Johnny Cash;You Remembered Me;remembered
